SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
JKIL,EQ,12-02-2008,110.0,109.0,119.0,84.2,103.5,103.35,100.12,"2,04,51,929","2,04,76,23,613.25",-,"7,71,833",3.77
JKIL,EQ,13-02-2008,103.35,105.0,112.0,98.3,101.35,101.85,106.17,"53,02,931","56,29,91,533.95",-,"2,07,011",3.9
JKIL,EQ,14-02-2008,101.85,107.7,109.0,101.8,103.3,103.8,105.34,"15,21,771","16,03,05,557.40",-,"1,25,239",8.23
JKIL,EQ,15-02-2008,103.8,100.0,102.9,96.7,101.0,100.3,100.7,"10,49,020","10,56,34,318.10",-,"69,711",6.65
JKIL,EQ,18-02-2008,100.3,103.8,119.75,100.05,118.5,118.45,114.27,"50,26,190","57,43,48,351.05",-,"3,87,514",7.71
JKIL,EQ,19-02-2008,118.45,119.9,125.8,109.2,110.35,111.0,118.76,"35,54,039","42,20,70,071.70",-,"3,95,882",11.14
JKIL,EQ,20-02-2008,111.0,111.0,113.6,107.0,108.4,108.25,110.24,"11,59,969","12,78,76,739.60",-,"90,500",7.8
JKIL,EQ,21-02-2008,108.25,111.0,114.7,107.55,109.5,109.5,111.08,"6,17,854","6,86,33,093.40",-,"1,02,338",16.56
JKIL,EQ,22-02-2008,109.5,108.0,109.6,104.0,104.65,105.6,107.08,"2,23,882","2,39,73,803.50",-,"60,283",26.93
JKIL,EQ,25-02-2008,105.6,108.8,108.8,99.5,100.5,100.45,101.5,"2,84,494","2,88,74,783.70",-,"80,792",28.4
JKIL,EQ,26-02-2008,100.45,102.85,110.6,100.5,105.75,104.4,106.99,"10,76,570","11,51,85,975.45",-,"1,12,259",10.43
JKIL,EQ,27-02-2008,104.4,105.3,113.0,104.55,105.6,105.8,109.57,"11,83,534","12,96,85,608.45",-,"1,05,097",8.88
JKIL,EQ,28-02-2008,105.8,107.0,111.0,105.0,107.45,106.85,107.88,"5,00,837","5,40,28,277.90",-,"67,697",13.52
JKIL,EQ,29-02-2008,106.85,105.9,107.95,101.4,102.1,102.85,104.53,"1,78,046","1,86,11,986.00",-,"41,432",23.27
JKIL,EQ,03-03-2008,102.85,100.0,102.5,95.0,96.75,96.3,99.46,"2,36,120","2,34,83,971.05",-,"65,155",27.59
JKIL,EQ,04-03-2008,96.3,100.0,100.0,90.2,93.75,93.2,93.97,"1,92,748","1,81,13,298.70",-,"41,239",21.4
JKIL,EQ,05-03-2008,93.2,93.8,95.0,88.0,91.0,89.5,90.56,"1,05,681","95,70,773.25",-,"19,656",18.6
JKIL,EQ,07-03-2008,89.5,85.1,87.0,78.35,81.0,81.65,81.21,"1,47,241","1,19,57,858.35",-,"41,443",28.15
JKIL,EQ,10-03-2008,81.65,78.25,89.0,74.1,84.2,84.0,81.36,"1,75,549","1,42,82,861.15",-,"33,090",18.85
JKIL,EQ,11-03-2008,84.0,78.45,94.3,78.45,92.0,91.65,90.76,"2,81,179","2,55,20,404.80",-,"43,755",15.56
JKIL,EQ,12-03-2008,91.65,95.0,98.7,86.8,87.3,88.15,92.82,"1,33,579","1,23,98,442.45",-,"30,020",22.47
JKIL,EQ,13-03-2008,88.15,85.0,87.0,80.0,80.9,81.15,83.65,"91,602","76,62,800.65",-,"32,364",35.33
JKIL,EQ,14-03-2008,81.15,79.1,83.95,77.0,82.6,82.05,81.71,"1,26,539","1,03,39,990.90",-,"18,300",14.46
JKIL,EQ,17-03-2008,82.05,79.8,79.8,70.9,75.0,74.75,76.65,"61,480","47,12,667.75",-,"18,468",30.04
JKIL,EQ,18-03-2008,74.75,69.0,78.0,68.3,73.1,73.35,74.18,"58,450","43,35,719.90",-,"23,570",40.33
JKIL,EQ,19-03-2008,73.35,77.95,82.5,71.65,82.5,78.3,77.82,"1,79,171","1,39,42,788.85",-,"68,167",38.05
