SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
JLHL,EQ,18-09-2023,735.00,973.00,"1,108.95",970.00,"1,073.95","1,075.75","1,027.82","1,28,24,837","13,18,16,67,219.40","3,98,361","64,48,657",50.28
JLHL,EQ,20-09-2023,"1,075.75","1,045.00","1,088.70","1,030.10","1,060.50","1,061.75","1,059.75","14,84,025","1,57,26,88,335.25","66,178","5,35,076",36.06
JLHL,EQ,21-09-2023,"1,061.75","1,049.95","1,078.95","1,032.30","1,051.00","1,052.35","1,056.58","6,52,460","68,93,75,266.65","26,059","2,66,835",40.9
JLHL,EQ,22-09-2023,"1,052.35","1,055.00","1,068.85","1,047.95","1,066.00","1,063.80","1,057.85","4,58,605","48,51,33,365.90","14,717","1,96,773",42.91
JLHL,EQ,25-09-2023,"1,063.80","1,065.00","1,120.00","1,049.80","1,085.40","1,078.00","1,091.39","7,76,662","84,76,37,990.65","34,508","1,94,750",25.08
JLHL,EQ,26-09-2023,"1,078.00","1,080.00","1,111.90","1,079.05","1,101.00","1,100.90","1,098.11","2,80,826","30,83,78,918.65","18,408","99,388",35.39
JLHL,EQ,27-09-2023,"1,100.90","1,100.65","1,107.95","1,070.20","1,093.00","1,092.25","1,089.34","2,48,053","27,02,12,837.50","15,955","66,975",27.0
JLHL,EQ,28-09-2023,"1,092.25","1,092.95","1,123.60","1,087.05","1,102.90","1,100.90","1,105.17","2,06,452","22,81,65,095.35","12,832","80,147",38.82
JLHL,EQ,29-09-2023,"1,100.90","1,120.00","1,144.00","1,070.05","1,078.00","1,076.05","1,111.52","2,41,694","26,86,48,540.15","18,632","70,702",29.25
JLHL,EQ,03-10-2023,"1,076.05","1,077.95","1,097.45","1,054.35","1,084.80","1,085.80","1,077.37","2,51,254","27,06,93,274.75","16,891","85,623",34.08
JLHL,EQ,04-10-2023,"1,085.80","1,086.00","1,120.00","1,086.00","1,112.90","1,110.65","1,102.88","2,55,981","28,23,15,725.45","21,105","1,15,378",45.07
JLHL,EQ,05-10-2023,"1,110.65","1,110.00","1,138.60","1,110.00","1,125.10","1,124.70","1,122.40","1,17,981","13,24,21,413.90","9,535","39,626",33.59
JLHL,EQ,06-10-2023,"1,124.70","1,127.00","1,165.05","1,122.90","1,155.00","1,154.25","1,143.07","1,34,120","15,33,08,639.55","9,347","45,474",33.91
JLHL,EQ,09-10-2023,"1,154.25","1,140.00","1,140.00","1,062.10","1,070.00","1,082.10","1,104.38","1,98,187","21,88,72,911.45","18,899","68,824",34.73
JLHL,EQ,10-10-2023,"1,082.10","1,089.75","1,098.80","1,056.00","1,070.00","1,071.00","1,081.95","66,397","7,18,38,080.95","7,128","21,110",31.79
JLHL,EQ,11-10-2023,"1,071.00","1,079.95","1,089.00","1,051.25","1,055.25","1,055.95","1,065.66","54,819","5,84,18,462.70","5,327","25,574",46.65
JLHL,EQ,12-10-2023,"1,055.95","1,055.95","1,082.00","1,054.90","1,072.00","1,073.55","1,069.58","54,870","5,86,87,582.70","5,064","19,372",35.31
JLHL,EQ,13-10-2023,"1,073.55","1,076.90","1,076.90","1,049.00","1,053.50","1,059.00","1,055.04","1,39,060","14,67,14,267.60","8,427","89,591",64.43
JLHL,EQ,16-10-2023,"1,059.00","1,059.00","1,070.85","1,046.50","1,052.00","1,052.05","1,054.35","41,479","4,37,33,282.90","4,157","21,855",52.69
JLHL,EQ,17-10-2023,"1,052.05","1,059.00","1,059.50","1,044.70","1,046.15","1,045.65","1,048.99","36,254","3,80,29,986.85","4,370","19,027",52.48
JLHL,EQ,18-10-2023,"1,045.65","1,044.65","1,068.00","1,044.65","1,049.70","1,047.25","1,050.37","3,01,348","31,65,26,765.90","9,650","2,57,702",85.52
JLHL,EQ,19-10-2023,"1,047.25","1,045.55","1,059.00","1,040.05","1,055.00","1,054.40","1,050.63","72,324","7,59,85,458.40","6,210","44,193",61.1
JLHL,EQ,20-10-2023,"1,054.40","1,045.60","1,060.00","1,025.00","1,039.00","1,034.10","1,039.75","32,483","3,37,74,351.05","3,976","18,260",56.21
JLHL,EQ,23-10-2023,"1,034.10","1,030.00","1,041.20",995.40,"1,006.10","1,004.35","1,014.03","1,24,536","12,62,83,091.45","16,460","72,101",57.9
JLHL,EQ,25-10-2023,"1,004.35","1,014.90","1,031.45","1,006.55","1,022.00","1,021.60","1,022.68","3,43,573","35,13,63,529.00","4,953","3,25,338",94.69
JLHL,EQ,26-10-2023,"1,021.60","1,021.60","1,033.80","1,001.00","1,023.00","1,012.25","1,010.00","53,385","5,39,19,105.40","6,358","32,572",61.01
JLHL,EQ,27-10-2023,"1,012.25","1,022.00","1,048.95","1,013.15","1,038.00","1,029.65","1,027.42","39,186","4,02,60,512.75","6,626","18,490",47.19
JLHL,EQ,30-10-2023,"1,029.65","1,040.95","1,040.95","1,019.00","1,021.00","1,022.85","1,028.82","25,194","2,59,20,076.00","5,099","11,580",45.96
JLHL,EQ,31-10-2023,"1,022.85","1,010.00","1,049.70","1,010.00","1,040.00","1,033.15","1,029.24","43,961","4,52,46,541.30","7,300","18,855",42.89
JLHL,EQ,01-11-2023,"1,033.15","1,033.15","1,041.25",976.90,989.00,987.15,"1,003.04","1,10,080","11,04,14,944.15","16,484","51,430",46.72
JLHL,EQ,02-11-2023,987.15,"1,013.00","1,014.80",992.55,"1,012.00","1,010.60","1,004.23","74,090","7,44,03,619.95","10,937","34,686",46.82
JLHL,EQ,03-11-2023,"1,010.60","1,021.95","1,024.95","1,005.00","1,020.00","1,018.10","1,013.49","33,299","3,37,48,369.80","6,107","14,599",43.84
JLHL,EQ,06-11-2023,"1,018.10","1,018.05","1,026.05","1,000.00","1,004.00","1,003.40","1,006.62","54,363","5,47,23,081.80","4,005","33,649",61.9
JLHL,EQ,07-11-2023,"1,003.40",994.40,"1,040.00",994.40,"1,038.00","1,023.65","1,016.07","77,310","7,85,52,680.15","9,877","28,205",36.48
JLHL,EQ,08-11-2023,"1,023.65","1,020.05","1,033.55","1,003.00","1,006.00","1,007.40","1,017.24","47,257","4,80,71,862.75","9,066","19,985",42.29
JLHL,EQ,09-11-2023,"1,007.40","1,015.00","1,028.70","1,002.70","1,012.00","1,017.80","1,013.66","51,102","5,18,00,068.90","8,691","11,193",21.9
JLHL,EQ,10-11-2023,"1,017.80","1,006.10","1,038.70","1,006.10","1,034.80","1,028.85","1,021.22","71,006","7,25,12,571.35","12,651","17,984",25.33
JLHL,EQ,12-11-2023,"1,028.85","1,040.00","1,044.95","1,016.00","1,020.25","1,025.35","1,026.22","10,025","1,02,87,810.80","1,289","5,171",51.58
JLHL,EQ,13-11-2023,"1,025.35","1,035.60","1,038.00",992.50,998.80,997.15,"1,013.23","74,152","7,51,32,795.20","9,532","22,404",30.21
JLHL,EQ,15-11-2023,997.15,"1,004.80","1,019.15",996.00,"1,016.00","1,007.65","1,001.53","57,395","5,74,82,566.40","8,068","30,511",53.16
JLHL,EQ,16-11-2023,"1,007.65","1,008.45","1,017.25",996.00,996.10,998.25,999.93,"31,099","3,10,96,944.40","5,682","17,673",56.83
JLHL,EQ,17-11-2023,998.25,"1,005.00","1,005.00",994.05,999.00,999.40,998.57,"27,587","2,75,47,497.30","5,782","17,698",64.15
JLHL,EQ,20-11-2023,999.40,"1,007.75","1,007.75",993.15,"1,001.00","1,000.50","1,000.01","1,43,412","14,34,13,970.30","7,991","1,12,255",78.27
JLHL,EQ,21-11-2023,"1,000.50","1,007.00","1,043.70","1,000.05","1,014.00","1,007.00","1,018.10","79,852","8,12,97,539.20","10,668","38,073",47.68
JLHL,EQ,22-11-2023,"1,007.00","1,007.00","1,024.20","1,002.00","1,016.00","1,016.90","1,013.56","34,347","3,48,12,777.55","5,215","17,503",50.96
JLHL,EQ,23-11-2023,"1,016.90","1,015.85","1,078.55","1,013.60","1,070.00","1,064.70","1,055.69","1,40,149","14,79,53,928.80","17,797","62,691",44.73
JLHL,EQ,24-11-2023,"1,064.70","1,076.70","1,076.70","1,048.65","1,059.00","1,055.10","1,060.65","44,040","4,67,10,927.20","6,175","20,391",46.3
JLHL,EQ,28-11-2023,"1,055.10","1,075.00","1,075.00","1,050.50","1,056.00","1,062.75","1,063.61","35,489","3,77,46,613.35","4,940","15,106",42.57
JLHL,EQ,29-11-2023,"1,062.75","1,051.55","1,110.00","1,051.55","1,100.20","1,104.20","1,089.16","1,02,699","11,18,55,763.35","14,603","45,308",44.12
JLHL,EQ,30-11-2023,"1,104.20","1,112.40","1,120.00","1,082.75","1,106.00","1,112.45","1,105.45","1,02,744","11,35,78,489.95","14,641","62,734",61.06
JLHL,EQ,01-12-2023,"1,112.45","1,120.00","1,120.00","1,076.00","1,100.00","1,093.30","1,091.20","42,108","4,59,48,067.70","6,473","18,532",44.01
JLHL,EQ,04-12-2023,"1,093.30","1,093.30","1,108.00","1,091.85","1,100.00","1,099.80","1,099.55","22,629","2,48,81,608.80","4,555","15,669",69.24
JLHL,EQ,05-12-2023,"1,099.80","1,090.00","1,111.00","1,082.70","1,111.00","1,101.95","1,101.83","50,845","5,60,22,394.60","8,970","35,399",69.62
JLHL,EQ,06-12-2023,"1,101.95","1,111.00","1,111.00","1,089.10","1,105.50","1,104.50","1,100.57","23,719","2,61,04,308.35","3,728","15,211",64.13
JLHL,EQ,07-12-2023,"1,104.50","1,105.95","1,109.80","1,094.00","1,109.75","1,105.45","1,103.15","24,625","2,71,65,099.95","6,266","14,428",58.59
