SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
KHAICHEM,EQ,30-10-2020,22.8,23.3,24.3,22.5,23.85,23.85,23.57,"1,94,552","45,85,209.80",717,"1,33,401",68.57
KHAICHEM,EQ,02-11-2020,23.85,24.4,26.2,22.5,22.65,23.0,23.74,"1,40,738","33,41,774.50",572,"90,720",64.46
KHAICHEM,EQ,03-11-2020,23.0,25.0,25.25,22.55,22.9,22.75,23.7,"3,94,448","93,49,225.65","1,709","1,95,296",49.51
KHAICHEM,EQ,04-11-2020,22.75,23.0,23.0,20.5,20.5,20.65,21.41,"4,89,720","1,04,84,839.80","2,363","1,43,369",29.28
KHAICHEM,EQ,05-11-2020,20.65,20.7,21.6,20.5,21.0,20.7,21.07,"5,00,851","1,05,53,972.20","2,689","94,055",18.78
KHAICHEM,EQ,06-11-2020,20.7,20.8,20.9,20.2,20.45,20.35,20.65,"5,24,923","1,08,40,133.15","2,596","47,641",9.08
KHAICHEM,EQ,09-11-2020,20.35,21.2,21.2,19.0,19.2,19.2,19.61,"7,66,461","1,50,34,059.80","3,197","98,358",12.83
KHAICHEM,EQ,10-11-2020,19.2,19.2,19.35,18.0,18.35,18.25,18.47,"1,14,050","21,06,054.85",593,"73,548",64.49
KHAICHEM,EQ,11-11-2020,18.25,18.3,20.05,18.3,20.05,19.65,19.14,"5,36,783","1,02,71,572.10","2,263","1,02,790",19.15
KHAICHEM,EQ,12-11-2020,19.65,21.0,21.5,19.5,20.65,20.85,20.76,"7,06,916","1,46,78,516.65","3,215","94,622",13.39
KHAICHEM,EQ,13-11-2020,20.85,21.5,21.5,19.5,20.75,20.85,20.55,"8,11,739","1,66,83,898.40","4,105","1,08,490",13.37
KHAICHEM,EQ,14-11-2020,20.85,21.4,21.4,19.55,20.95,20.65,20.41,"38,492","7,85,770.65",263,"18,574",48.25
KHAICHEM,EQ,17-11-2020,20.65,21.0,21.15,20.15,20.55,20.7,20.68,"3,49,929","72,34,972.65","1,949","51,999",14.86
KHAICHEM,EQ,18-11-2020,20.7,20.5,20.85,19.8,20.0,20.05,20.33,"4,14,474","84,27,900.80","2,121","1,11,141",26.81
KHAICHEM,EQ,19-11-2020,20.05,20.4,20.5,19.9,20.0,20.05,20.19,"2,01,925","40,76,322.00","1,228","47,086",23.32
KHAICHEM,EQ,20-11-2020,20.05,20.5,20.5,19.2,19.55,19.6,20.01,"2,32,799","46,58,924.00","1,803","55,605",23.89
KHAICHEM,EQ,23-11-2020,19.6,19.85,20.1,18.65,19.2,19.3,19.53,"4,91,184","95,90,545.65","3,051","70,784",14.41
KHAICHEM,EQ,24-11-2020,19.3,19.55,21.2,19.1,21.15,21.1,20.53,"5,31,049","1,09,01,653.25","2,252","2,29,327",43.18
KHAICHEM,EQ,25-11-2020,21.1,21.75,21.75,19.7,20.1,20.3,20.47,"3,23,790","66,29,316.40","2,263","79,755",24.63
KHAICHEM,EQ,26-11-2020,20.3,20.55,20.85,20.0,20.45,20.55,20.31,"2,13,981","43,46,010.30","1,696","26,729",12.49
KHAICHEM,EQ,27-11-2020,20.55,20.25,22.55,20.15,20.55,20.65,20.9,"6,16,391","1,28,84,769.70","3,507","69,019",11.2
KHAICHEM,EQ,01-12-2020,20.65,21.25,21.25,20.2,20.45,20.45,20.55,"3,32,832","68,39,151.45","2,070","62,438",18.76
KHAICHEM,EQ,02-12-2020,20.45,20.7,22.1,20.35,21.9,21.9,21.35,"6,92,725","1,47,92,160.05","2,871","2,10,457",30.38
KHAICHEM,EQ,03-12-2020,21.9,22.85,22.85,21.8,22.2,22.2,22.19,"2,84,607","63,14,211.75","2,357","71,116",24.99
KHAICHEM,EQ,04-12-2020,22.2,22.5,22.7,20.7,21.2,21.2,21.8,"3,53,545","77,08,659.10","2,715","1,01,727",28.77
KHAICHEM,EQ,07-12-2020,21.2,23.0,23.6,22.05,22.9,22.9,23.04,"5,85,053","1,34,78,545.15","2,803","2,54,887",43.57
KHAICHEM,EQ,08-12-2020,22.9,23.05,23.8,21.7,22.2,22.2,22.65,"2,71,297","61,45,726.80","1,401","1,33,765",49.31
KHAICHEM,EQ,09-12-2020,22.2,23.0,23.0,22.0,22.05,22.15,22.26,"2,31,877","51,61,042.45","1,476","59,540",25.68
KHAICHEM,EQ,10-12-2020,22.15,22.15,22.4,21.7,22.05,22.05,22.12,"2,42,461","53,62,239.35","1,932","44,850",18.5
KHAICHEM,EQ,11-12-2020,22.05,22.5,22.5,21.6,21.9,21.8,22.03,"1,23,158","27,12,783.15",892,"47,700",38.73
KHAICHEM,EQ,14-12-2020,21.8,22.3,23.5,22.05,22.6,22.85,22.75,"3,34,750","76,16,582.65","1,899","1,63,391",48.81
KHAICHEM,EQ,15-12-2020,22.85,23.4,23.4,22.2,23.0,23.1,22.87,"2,78,461","63,67,373.20","1,584","1,51,491",54.4
KHAICHEM,EQ,16-12-2020,23.1,23.8,23.9,23.0,23.35,23.15,23.51,"1,87,141","44,00,450.10","1,149","1,12,269",59.99
KHAICHEM,EQ,17-12-2020,23.15,23.7,23.7,22.5,22.65,22.7,23.01,"1,93,494","44,53,233.00","1,205","83,129",42.96
KHAICHEM,EQ,18-12-2020,22.7,22.7,26.5,21.85,25.15,25.7,24.99,"15,82,979","3,95,55,207.40","4,981","7,38,191",46.63
KHAICHEM,EQ,21-12-2020,25.7,26.45,28.2,24.0,24.95,24.95,26.95,"23,15,088","6,23,81,404.10","8,630","10,79,577",46.63
KHAICHEM,EQ,22-12-2020,24.95,25.2,26.7,22.0,24.15,24.5,24.29,"4,86,588","1,18,18,297.05","2,854","2,11,805",43.53
