SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
KIRLOSBROS,EQ,20-04-2010,260.55,255.0,375.3,255.0,332.3,337.35,333.16,"41,99,496","1,39,91,11,784.80",-,"1,17,311",2.79
KIRLOSBROS,EQ,21-04-2010,337.35,338.0,338.0,300.05,301.7,306.15,311.32,"11,92,794","37,13,41,359.40",-,"1,13,227",9.49
KIRLOSBROS,EQ,22-04-2010,306.15,300.0,304.65,287.4,291.7,291.1,296.52,"3,91,028","11,59,47,620.85",-,"60,339",15.43
KIRLOSBROS,EQ,23-04-2010,291.1,294.85,300.0,285.1,297.1,298.1,294.0,"3,78,809","11,13,71,733.45",-,"97,809",25.82
KIRLOSBROS,EQ,26-04-2010,298.1,300.0,300.0,286.0,286.0,288.7,292.64,"1,22,349","3,58,04,794.25",-,"27,939",22.84
KIRLOSBROS,EQ,27-04-2010,288.7,288.5,293.8,285.5,288.0,288.1,289.36,"99,279","2,87,27,558.45",-,"31,910",32.14
KIRLOSBROS,EQ,28-04-2010,288.1,282.05,284.4,271.0,274.0,273.95,276.33,"1,35,757","3,75,14,339.35",-,"83,095",61.21
KIRLOSBROS,EQ,29-04-2010,273.95,274.0,287.5,270.9,285.9,284.05,282.3,"1,10,806","3,12,80,959.00",-,"24,451",22.07
KIRLOSBROS,EQ,30-04-2010,284.05,283.5,296.0,282.1,291.15,292.45,290.34,"42,273","1,22,73,383.40",-,"19,077",45.13
KIRLOSBROS,EQ,03-05-2010,292.45,290.0,294.75,285.25,287.65,289.85,289.91,"26,764","77,59,103.35",-,"16,877",63.06
KIRLOSBROS,EQ,04-05-2010,289.85,295.0,300.0,278.1,278.1,281.2,291.03,"42,954","1,25,00,937.65",-,"17,581",40.93
KIRLOSBROS,EQ,05-05-2010,281.2,272.0,278.8,268.6,275.0,276.55,274.97,"31,566","86,79,637.90",-,"16,807",53.24
KIRLOSBROS,EQ,06-05-2010,276.55,278.8,284.0,270.2,275.0,276.05,274.09,"30,296","83,03,782.25",-,"10,901",35.98
KIRLOSBROS,EQ,07-05-2010,276.05,272.0,272.85,265.0,271.8,270.6,269.98,"19,525","52,71,348.95",-,"13,437",68.82
KIRLOSBROS,EQ,10-05-2010,270.6,275.0,275.0,265.15,270.0,270.3,269.93,"11,893","32,10,269.30",-,"6,539",54.98
KIRLOSBROS,EQ,11-05-2010,270.3,275.0,275.0,262.1,263.2,264.85,268.73,"7,860","21,12,236.90",-,"3,252",41.37
KIRLOSBROS,EQ,12-05-2010,264.85,265.0,269.0,255.5,256.1,258.0,260.43,"18,978","49,42,413.35",-,"13,390",70.56
KIRLOSBROS,EQ,13-05-2010,258.0,259.05,266.0,259.05,263.6,264.3,263.07,"10,136","26,66,517.10",-,"6,039",59.58
KIRLOSBROS,EQ,14-05-2010,264.3,265.8,274.7,265.0,267.0,266.55,268.78,"10,810","29,05,545.45",-,"5,118",47.35
KIRLOSBROS,EQ,17-05-2010,266.55,268.0,268.0,261.0,265.5,264.6,263.88,"7,374","19,45,871.35",-,"4,866",65.99
KIRLOSBROS,EQ,18-05-2010,264.6,264.0,270.0,264.0,264.25,265.6,266.45,"3,107","8,27,868.25",-,"1,780",57.29
KIRLOSBROS,EQ,19-05-2010,265.6,263.1,267.8,257.9,260.0,260.25,260.61,"7,994","20,83,322.40",-,"6,189",77.42
KIRLOSBROS,EQ,20-05-2010,260.25,261.8,261.8,252.0,255.0,255.05,254.62,"5,618","14,30,428.70",-,"3,764",67.0
KIRLOSBROS,EQ,21-05-2010,255.05,251.0,253.55,246.5,252.7,252.15,251.5,"5,842","14,69,239.40",-,"4,700",80.45
KIRLOSBROS,EQ,24-05-2010,252.15,253.0,256.85,235.0,254.5,254.7,254.0,"5,732","14,55,901.80",-,"4,669",81.45
