SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
KRITIKA,ST,10-10-2018,32.0,34.1,35.0,32.75,-,33.7,33.74,"8,32,000","2,80,69,800.00",193,-,-
KRITIKA,ST,11-10-2018,33.7,34.0,34.1,34.0,-,34.0,34.05,"16,000","5,44,800.00",4,-,-
KRITIKA,ST,12-10-2018,34.0,34.0,35.7,33.9,-,35.7,34.62,"36,000","12,46,400.00",9,-,-
KRITIKA,ST,15-10-2018,35.7,35.0,35.0,35.0,-,35.0,35.0,"4,000","1,40,000.00",1,-,-
KRITIKA,ST,16-10-2018,35.0,34.0,34.0,33.6,-,33.7,33.75,"16,000","5,40,000.00",4,-,-
KRITIKA,ST,17-10-2018,33.7,32.5,32.5,32.5,-,32.5,32.5,"4,000","1,30,000.00",1,-,-
KRITIKA,ST,19-10-2018,32.5,33.5,34.0,33.5,-,34.0,33.75,"8,000","2,70,000.00",2,-,-
KRITIKA,ST,22-10-2018,34.0,33.5,33.5,33.5,-,33.5,33.5,"4,000","1,34,000.00",1,-,-
KRITIKA,ST,23-10-2018,33.5,33.7,33.7,33.25,-,33.25,33.48,"32,000","10,71,200.00",7,-,-
KRITIKA,ST,24-10-2018,33.25,33.5,33.7,33.5,-,33.7,33.57,"12,000","4,02,800.00",2,-,-
KRITIKA,SM,26-10-2018,33.7,34.0,34.0,33.0,33.90,33.9,33.7,"16,000","5,39,200.00",4,"16,000",100.00
KRITIKA,SM,29-10-2018,33.9,35.0,35.0,35.0,35.00,35.0,35.0,"4,000","1,40,000.00",1,"4,000",100.00
KRITIKA,SM,02-11-2018,35.0,35.0,35.0,35.0,35.00,35.0,35.0,"4,000","1,40,000.00",1,"4,000",100.00
KRITIKA,SM,07-11-2018,35.0,35.65,35.7,35.65,35.70,35.65,35.68,"8,000","2,85,400.00",2,"8,000",100.00
KRITIKA,SM,12-11-2018,35.65,35.0,35.0,35.0,35.00,35.0,35.0,"4,000","1,40,000.00",1,"4,000",100.00
KRITIKA,SM,13-11-2018,35.0,34.5,34.5,34.5,34.50,34.5,34.5,"12,000","4,14,000.00",1,"12,000",100.00
KRITIKA,SM,14-11-2018,34.5,34.5,34.5,34.5,34.50,34.5,34.5,"4,000","1,38,000.00",1,"4,000",100.00
KRITIKA,SM,15-11-2018,34.5,33.5,35.0,33.5,35.00,35.0,34.0,"20,000","6,80,000.00",3,"20,000",100.00
KRITIKA,SM,16-11-2018,35.0,35.0,35.5,35.0,35.50,35.5,35.1,"20,000","7,02,000.00",2,"20,000",100.00
KRITIKA,SM,19-11-2018,35.5,36.0,36.0,36.0,36.00,36.0,36.0,"4,000","1,44,000.00",1,"4,000",100.00
KRITIKA,SM,21-11-2018,36.0,35.3,35.3,35.3,35.30,35.3,35.3,"4,000","1,41,200.00",1,"4,000",100.00
KRITIKA,SM,22-11-2018,35.3,35.5,35.5,35.5,35.50,35.5,35.5,"4,000","1,42,000.00",1,"4,000",100.00
KRITIKA,SM,28-11-2018,35.5,35.0,35.0,35.0,35.00,35.0,35.0,"4,000","1,40,000.00",1,"4,000",100.00
KRITIKA,SM,29-11-2018,35.0,35.0,35.5,35.0,35.50,35.5,35.43,"28,000","9,92,000.00",3,"24,000",85.71
KRITIKA,SM,30-11-2018,35.5,35.7,35.7,35.7,35.70,35.7,35.7,"32,000","11,42,400.00",2,"32,000",100.00
KRITIKA,SM,05-12-2018,35.7,36.0,36.2,36.0,36.20,36.2,36.07,"12,000","4,32,800.00",3,"12,000",100.00
KRITIKA,SM,07-12-2018,36.2,36.5,37.0,36.0,37.00,37.0,36.4,"20,000","7,28,000.00",3,"20,000",100.00
KRITIKA,SM,11-12-2018,37.0,37.0,38.0,37.0,38.00,38.0,37.2,"32,000","11,90,400.00",6,"32,000",100.00
