SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
KSCL,EQ,04-10-2007,170.0,204.0,263.0,204.0,226.15,230.95,238.47,"1,07,19,622","2,55,63,32,168.75",-,"14,99,096",13.98
KSCL,EQ,05-10-2007,230.95,231.0,236.0,200.1,207.6,208.8,222.25,"17,24,545","38,32,88,087.00",-,"3,02,555",17.54
KSCL,EQ,08-10-2007,208.8,210.0,213.8,178.2,190.0,187.55,191.73,"11,72,107","22,47,30,925.45",-,"2,88,504",24.61
KSCL,EQ,09-10-2007,187.55,165.0,197.5,165.0,196.2,192.55,187.9,"8,97,355","16,86,09,644.25",-,"70,209",7.82
KSCL,EQ,10-10-2007,192.55,197.95,209.8,192.0,208.9,204.85,199.26,"4,28,369","8,53,54,737.30",-,"1,04,513",24.40
KSCL,EQ,11-10-2007,204.85,204.0,216.6,200.5,213.0,213.85,209.84,"1,96,701","4,12,76,236.90",-,"49,545",25.19
KSCL,EQ,12-10-2007,213.85,209.25,223.2,208.15,208.2,211.0,215.92,"2,70,383","5,83,81,980.90",-,"1,10,398",40.83
KSCL,EQ,15-10-2007,211.0,211.25,220.0,211.1,212.5,213.7,215.49,"83,051","1,78,97,035.95",-,"28,270",34.04
KSCL,EQ,16-10-2007,213.7,214.0,217.0,203.0,207.2,208.6,209.55,"74,928","1,57,01,040.95",-,"30,673",40.94
KSCL,EQ,17-10-2007,208.6,175.1,200.0,175.1,194.9,194.9,193.99,"67,595","1,31,12,682.20",-,"39,098",57.84
KSCL,EQ,18-10-2007,194.9,201.2,232.95,197.65,210.0,210.6,220.78,"2,93,376","6,47,71,425.70",-,"93,864",31.99
KSCL,EQ,19-10-2007,210.6,219.9,245.0,195.0,199.0,199.35,206.91,"1,03,622","2,14,40,864.55",-,"42,497",41.01
KSCL,EQ,22-10-2007,199.35,198.0,215.0,194.6,206.5,203.25,206.12,"1,02,567","2,11,40,838.75",-,"50,150",48.89
KSCL,EQ,23-10-2007,203.25,204.0,222.0,204.0,217.6,217.85,216.1,"1,09,634","2,36,91,550.45",-,"48,146",43.92
KSCL,EQ,24-10-2007,217.85,223.7,224.0,208.55,211.5,211.0,214.7,"55,686","1,19,55,965.10",-,"21,652",38.88
KSCL,EQ,25-10-2007,211.0,210.2,219.85,210.2,217.0,218.2,216.38,"46,250","1,00,07,420.70",-,"25,024",54.11
KSCL,EQ,26-10-2007,218.2,219.0,231.5,215.0,226.0,225.85,226.44,"1,57,336","3,56,26,412.10",-,"69,450",44.14
KSCL,EQ,29-10-2007,225.85,229.5,237.0,226.25,233.5,231.8,232.18,"1,29,854","3,01,48,954.30",-,"52,846",40.70
