SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
KTKBANK,EQ,10-05-2000,60.0,59.5,61.0,59.5,61.0,61.0,60.7,250,"15,175.00",-,-,-
KTKBANK,EQ,11-05-2000,61.0,60.0,60.0,56.15,58.6,58.6,57.73,500,"28,865.00",-,-,-
KTKBANK,EQ,12-05-2000,58.6,58.1,58.1,56.5,56.5,56.6,56.85,300,"17,055.00",-,-,-
KTKBANK,EQ,15-05-2000,56.6,57.5,58.0,57.5,58.0,57.75,57.75,200,"11,550.00",-,-,-
KTKBANK,EQ,16-05-2000,57.75,57.9,57.9,54.0,57.9,54.8,55.32,300,"16,595.00",-,-,-
KTKBANK,EQ,17-05-2000,54.8,57.7,57.7,57.7,57.7,57.7,57.7,50,"2,885.00",-,-,-
KTKBANK,EQ,18-05-2000,57.7,58.0,62.0,57.5,61.0,61.0,59.75,600,"35,850.00",-,-,-
KTKBANK,EQ,19-05-2000,61.0,59.0,59.0,56.2,58.0,58.0,57.77,550,"31,772.50",-,-,-
KTKBANK,EQ,22-05-2000,58.0,58.0,58.0,54.1,58.0,56.55,56.84,450,"25,580.00",-,-,-
KTKBANK,EQ,23-05-2000,56.55,56.0,56.0,53.5,53.5,53.5,54.73,"1,100","60,205.00",-,-,-
KTKBANK,EQ,24-05-2000,53.5,53.25,54.5,53.0,53.05,53.05,53.27,"1,600","85,225.00",-,-,-
KTKBANK,EQ,25-05-2000,53.05,53.95,54.95,53.05,54.05,54.05,53.99,750,"40,495.00",-,-,-
KTKBANK,EQ,26-05-2000,54.05,54.95,56.5,54.95,55.5,55.5,55.28,800,"44,225.00",-,-,-
KTKBANK,EQ,29-05-2000,55.5,52.0,55.0,52.0,53.9,54.35,53.4,750,"40,052.50",-,-,-
KTKBANK,EQ,30-05-2000,54.35,54.1,55.0,53.0,53.5,53.3,53.57,"1,850","99,107.50",-,-,-
KTKBANK,EQ,31-05-2000,53.3,56.0,56.0,54.2,55.95,55.85,55.4,"1,100","60,935.00",-,-,-
KTKBANK,EQ,01-06-2000,55.85,54.1,56.0,54.0,56.0,55.95,55.09,"1,250","68,862.50",-,-,-
KTKBANK,EQ,02-06-2000,55.95,56.0,56.2,55.5,56.0,56.0,55.94,"1,450","81,117.50",-,-,-
KTKBANK,EQ,05-06-2000,56.0,58.9,59.0,56.0,57.0,57.0,56.53,"2,000","1,13,055.00",-,-,-
KTKBANK,EQ,06-06-2000,57.0,57.75,59.0,55.55,58.2,58.2,57.74,"1,400","80,832.50",-,-,-
KTKBANK,EQ,07-06-2000,58.2,55.15,58.5,55.0,56.5,56.5,56.57,"1,350","76,370.00",-,-,-
KTKBANK,EQ,08-06-2000,56.5,57.0,58.25,56.55,58.0,57.25,57.2,800,"45,762.50",-,-,-
KTKBANK,EQ,09-06-2000,57.25,55.6,57.5,55.5,57.5,57.5,56.2,"1,700","95,540.00",-,-,-
KTKBANK,EQ,12-06-2000,57.5,58.0,58.0,54.25,55.0,55.0,55.47,"2,350","1,30,365.00",-,-,-
KTKBANK,EQ,13-06-2000,55.0,54.2,57.9,54.2,56.0,56.0,56.25,800,"44,997.50",-,-,-
KTKBANK,EQ,14-06-2000,56.0,57.0,58.9,57.0,57.6,57.6,57.95,"2,800","1,62,270.00",-,-,-
