SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
LAGNAM,ST,18-09-2018,41.0,41.0,41.0,38.95,-,38.95,40.43,"9,24,000","3,73,54,650.00",276,-,-
LAGNAM,ST,19-09-2018,38.95,37.05,37.05,37.05,-,37.05,37.05,"36,000","13,33,800.00",6,-,-
LAGNAM,ST,21-09-2018,37.05,35.2,35.2,35.2,-,35.2,35.2,"18,000","6,33,600.00",5,-,-
LAGNAM,ST,24-09-2018,35.2,33.45,33.45,33.45,-,33.45,33.45,"54,000","18,06,300.00",18,-,-
LAGNAM,ST,25-09-2018,33.45,31.8,31.8,31.8,-,31.8,31.8,"9,000","2,86,200.00",2,-,-
LAGNAM,ST,26-09-2018,31.8,30.25,30.25,30.25,-,30.25,30.25,"84,000","25,41,000.00",25,-,-
LAGNAM,ST,27-09-2018,30.25,28.75,28.75,28.75,-,28.75,28.75,"15,000","4,31,250.00",5,-,-
LAGNAM,ST,28-09-2018,28.75,27.35,27.35,27.35,-,27.35,27.35,"6,000","1,64,100.00",2,-,-
LAGNAM,ST,01-10-2018,27.35,26.0,26.0,26.0,-,26.0,26.0,"5,28,000","1,37,28,000.00",160,-,-
LAGNAM,ST,03-10-2018,26.0,24.7,24.7,24.7,-,24.7,24.7,"63,000","15,56,100.00",15,-,-
LAGNAM,SM,04-10-2018,24.7,22.25,22.25,22.25,22.25,22.25,22.25,"1,44,000","32,04,000.00",48,"1,44,000",100.00
LAGNAM,SM,05-10-2018,22.25,20.05,24.0,20.05,23.35,23.3,21.9,"6,78,000","1,48,50,600.00",212,"4,92,000",72.57
LAGNAM,SM,08-10-2018,23.3,22.15,23.75,21.6,21.60,21.9,22.44,"72,000","16,15,950.00",24,"66,000",91.67
LAGNAM,SM,09-10-2018,21.9,22.0,22.0,20.1,20.10,20.25,20.61,"63,000","12,98,550.00",21,"45,000",71.43
LAGNAM,SM,10-10-2018,20.25,20.0,20.0,18.25,18.50,18.5,18.87,"63,000","11,89,050.00",20,"51,000",80.95
LAGNAM,SM,11-10-2018,18.5,17.65,18.3,17.6,17.60,17.6,17.82,"78,000","13,90,050.00",26,"57,000",73.08
LAGNAM,SM,12-10-2018,17.6,18.15,18.25,18.15,18.25,18.25,18.2,"15,000","2,73,000.00",4,"15,000",100.00
LAGNAM,SM,15-10-2018,18.25,18.25,18.25,17.35,18.20,17.7,17.96,"36,000","6,46,650.00",11,"33,000",91.67
LAGNAM,SM,16-10-2018,17.7,16.9,17.0,16.85,17.00,16.95,16.93,"12,000","2,03,100.00",4,"12,000",100.00
LAGNAM,SM,17-10-2018,16.95,17.4,17.75,17.4,17.75,17.75,17.63,"15,000","2,64,450.00",5,"15,000",100.00
LAGNAM,SM,19-10-2018,17.75,18.6,18.6,18.6,18.60,18.6,18.6,"6,000","1,11,600.00",2,"6,000",100.00
LAGNAM,SM,22-10-2018,18.6,19.15,19.5,19.15,19.20,19.2,19.34,"18,000","3,48,150.00",6,"18,000",100.00
LAGNAM,SM,23-10-2018,19.2,19.0,20.15,19.0,20.15,20.15,19.97,"30,000","5,99,100.00",10,"24,000",80.00
LAGNAM,SM,24-10-2018,20.15,21.15,21.15,21.15,21.15,21.15,21.15,"9,000","1,90,350.00",3,"9,000",100.00
LAGNAM,SM,25-10-2018,21.15,20.1,21.0,20.1,20.10,20.1,20.4,"9,000","1,83,600.00",3,"6,000",66.67
LAGNAM,SM,26-10-2018,20.1,20.2,20.2,19.1,19.10,19.25,19.46,"24,000","4,67,100.00",8,"15,000",62.50
LAGNAM,SM,29-10-2018,19.25,18.4,19.9,18.4,19.60,19.6,19.23,"12,000","2,30,700.00",4,"6,000",50.00
LAGNAM,SM,30-10-2018,19.6,20.2,20.2,20.2,20.20,20.2,20.2,"3,000","60,600.00",1,"3,000",100.00
LAGNAM,SM,31-10-2018,20.2,20.15,20.15,20.15,20.15,20.15,20.15,"3,000","60,450.00",1,"3,000",100.00
LAGNAM,SM,01-11-2018,20.15,20.5,21.15,20.5,21.15,21.15,20.8,"66,000","13,72,800.00",13,"66,000",100.00
LAGNAM,SM,02-11-2018,21.15,21.0,21.5,21.0,21.50,21.5,21.25,"6,000","1,27,500.00",2,"3,000",50.00
LAGNAM,SM,05-11-2018,21.5,22.0,22.0,22.0,22.00,22.0,22.0,"3,000","66,000.00",1,"3,000",100.00
LAGNAM,SM,06-11-2018,22.0,22.0,22.0,22.0,22.00,22.0,22.0,"3,000","66,000.00",1,"3,000",100.00
LAGNAM,SM,07-11-2018,22.0,22.0,22.0,22.0,22.00,22.0,22.0,"3,000","66,000.00",1,"3,000",100.00
LAGNAM,SM,09-11-2018,22.0,21.2,21.2,20.9,20.90,20.9,21.01,"12,000","2,52,150.00",4,"9,000",75.00
LAGNAM,SM,12-11-2018,20.9,20.05,20.05,19.9,19.90,19.9,20.0,"12,000","2,40,000.00",4,"9,000",75.00
LAGNAM,SM,14-11-2018,19.9,19.9,19.9,19.9,19.90,19.9,19.9,"9,000","1,79,100.00",3,"9,000",100.00
LAGNAM,SM,16-11-2018,19.9,18.95,18.95,18.95,18.95,18.95,18.95,"3,000","56,850.00",1,"3,000",100.00
LAGNAM,SM,19-11-2018,18.95,18.25,18.25,18.05,18.05,18.05,18.14,"12,000","2,17,650.00",4,"9,000",75.00
LAGNAM,SM,20-11-2018,18.05,17.15,17.2,17.15,17.15,17.15,17.16,"12,000","2,05,950.00",4,"12,000",100.00
LAGNAM,SM,22-11-2018,17.15,17.4,17.4,17.4,17.40,17.4,17.4,"3,000","52,200.00",1,"3,000",100.00
LAGNAM,SM,26-11-2018,17.4,17.5,17.5,17.5,17.50,17.5,17.5,"3,000","52,500.00",1,"3,000",100.00
LAGNAM,SM,27-11-2018,17.5,17.0,17.0,17.0,17.00,17.0,17.0,"6,000","1,02,000.00",2,"6,000",100.00
LAGNAM,SM,28-11-2018,17.0,17.0,17.5,17.0,17.50,17.5,17.25,"6,000","1,03,500.00",2,"6,000",100.00
LAGNAM,SM,29-11-2018,17.5,17.5,17.5,17.5,17.50,17.5,17.5,"3,000","52,500.00",1,"3,000",100.00
LAGNAM,SM,03-12-2018,17.5,17.5,17.5,17.5,17.50,17.5,17.5,"3,000","52,500.00",1,"3,000",100.00
LAGNAM,SM,04-12-2018,17.5,17.5,17.5,17.5,17.50,17.5,17.5,"3,000","52,500.00",1,"3,000",100.00
LAGNAM,SM,06-12-2018,17.5,16.7,16.7,16.7,16.70,16.7,16.7,"3,000","50,100.00",1,"3,000",100.00
LAGNAM,SM,17-12-2018,16.7,16.9,16.9,16.7,16.70,16.7,16.8,"6,000","1,00,800.00",2,"6,000",100.00
LAGNAM,SM,18-12-2018,16.7,16.7,16.7,16.7,16.70,16.7,16.7,"3,000","50,100.00",1,"3,000",100.00
LAGNAM,SM,19-12-2018,16.7,17.0,17.0,16.8,16.80,16.8,16.95,"12,000","2,03,400.00",4,"12,000",100.00
LAGNAM,SM,20-12-2018,16.8,16.8,16.8,16.8,16.80,16.8,16.8,"3,000","50,400.00",1,"3,000",100.00
LAGNAM,SM,21-12-2018,16.8,15.75,15.75,15.75,15.75,15.75,15.75,"3,000","47,250.00",1,"3,000",100.00
LAGNAM,SM,24-12-2018,15.75,17.0,17.1,14.5,14.50,14.5,15.84,"18,000","2,85,150.00",6,"15,000",83.33
LAGNAM,SM,26-12-2018,14.5,15.85,15.85,15.85,15.85,15.85,15.85,"3,000","47,550.00",1,"3,000",100.00
LAGNAM,SM,27-12-2018,15.85,15.75,16.1,15.75,16.10,16.1,15.93,"6,000","95,550.00",2,"3,000",50.00
LAGNAM,SM,28-12-2018,16.1,15.7,15.7,15.7,15.70,15.7,15.7,"3,000","47,100.00",1,"3,000",100.00
LAGNAM,SM,01-01-2019,15.7,16.0,16.0,16.0,16.0,16.0,16.0,"3,000","48,000.00",1,"3,000",100.0
LAGNAM,SM,02-01-2019,16.0,15.3,15.3,15.3,15.3,15.3,15.3,"3,000","45,900.00",1,"3,000",100.0
LAGNAM,SM,04-01-2019,15.3,15.05,15.05,15.0,15.0,15.0,15.03,"6,000","90,150.00",2,"6,000",100.0
LAGNAM,SM,07-01-2019,15.0,15.0,15.0,14.1,14.1,14.1,14.53,"9,000","1,30,800.00",3,"9,000",100.0
LAGNAM,SM,08-01-2019,14.1,13.3,13.3,13.3,13.3,13.3,13.3,"3,000","39,900.00",1,"3,000",100.0
LAGNAM,SM,10-01-2019,13.3,13.4,13.7,13.4,13.7,13.7,13.57,"9,000","1,22,100.00",3,"6,000",66.67
LAGNAM,SM,11-01-2019,13.7,14.35,14.35,14.35,14.35,14.35,14.35,"3,000","43,050.00",1,"3,000",100.0
LAGNAM,SM,14-01-2019,14.35,14.45,14.5,14.45,14.5,14.5,14.48,"6,000","86,850.00",2,"6,000",100.0
LAGNAM,SM,15-01-2019,14.5,14.65,14.65,14.65,14.65,14.65,14.65,"3,000","43,950.00",1,"3,000",100.0
LAGNAM,SM,16-01-2019,14.65,15.0,15.9,14.35,15.9,15.9,15.08,"9,000","1,35,750.00",3,"9,000",100.0
LAGNAM,SM,18-01-2019,15.9,16.0,16.0,15.5,15.5,15.5,15.75,"6,000","94,500.00",2,"6,000",100.0
LAGNAM,SM,21-01-2019,15.5,15.5,16.65,15.5,16.65,16.65,16.08,"6,000","96,450.00",2,"6,000",100.0
LAGNAM,SM,22-01-2019,16.65,15.15,16.55,15.15,16.55,16.55,15.85,"6,000","95,100.00",2,"3,000",50.0
LAGNAM,SM,23-01-2019,16.55,16.6,16.6,16.6,16.6,16.6,16.6,"3,000","49,800.00",1,"3,000",100.0
LAGNAM,SM,24-01-2019,16.6,16.5,16.5,16.5,16.5,16.5,16.5,"3,000","49,500.00",1,"3,000",100.0
LAGNAM,SM,25-01-2019,16.5,17.8,17.8,17.8,17.8,17.8,17.8,"3,000","53,400.00",1,"3,000",100.0
LAGNAM,SM,28-01-2019,17.8,19.35,19.35,16.8,16.8,16.8,17.84,"12,000","2,14,050.00",4,"6,000",50.0
