SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
LALPATHLAB,EQ,23-12-2015,550.0,720.0,843.7,711.15,834.5,825.0,778.45,"2,22,17,904","17,29,54,72,921.30","4,93,577","46,17,581",20.78
LALPATHLAB,EQ,24-12-2015,825.0,838.0,908.7,836.0,899.3,896.05,877.41,"92,38,499","8,10,59,59,269.10","2,04,600","4,30,414",4.66
LALPATHLAB,EQ,28-12-2015,896.05,900.0,907.0,828.0,838.7,835.35,851.8,"34,24,225","2,91,67,64,336.40","87,786","4,32,809",12.64
LALPATHLAB,EQ,29-12-2015,835.35,842.0,849.75,798.1,807.9,811.0,824.24,"26,44,667","2,17,98,48,070.60","71,464","4,02,412",15.22
LALPATHLAB,EQ,30-12-2015,811.0,812.9,828.3,803.0,805.0,806.6,814.72,"13,07,644","1,06,53,63,905.85","34,867","1,77,054",13.54
LALPATHLAB,EQ,31-12-2015,806.6,810.0,819.7,785.0,802.55,804.45,806.46,"14,11,591","1,13,83,95,446.65","38,488","1,33,778",9.48
LALPATHLAB,EQ,01-01-2016,804.45,807.50,819.35,801.00,802.95,803.60,808.28,"6,82,083","55,13,16,777.10","19,559","1,07,237",15.72
LALPATHLAB,EQ,04-01-2016,803.60,801.90,824.00,793.10,814.00,812.15,812.40,"12,88,717","1,04,69,49,855.75","36,208","2,09,283",16.24
LALPATHLAB,EQ,05-01-2016,812.15,816.40,829.00,807.95,812.55,817.05,818.75,"7,78,749","63,76,00,644.05","24,682","1,55,255",19.94
LALPATHLAB,EQ,06-01-2016,817.05,817.00,864.00,810.25,836.80,835.85,841.91,"18,25,228","1,53,66,84,238.45","53,683","3,32,854",18.24
LALPATHLAB,EQ,07-01-2016,835.85,822.00,830.00,800.00,802.50,803.80,813.71,"3,73,132","30,36,22,092.30","14,951","1,13,307",30.37
LALPATHLAB,EQ,08-01-2016,803.80,811.00,822.00,805.00,805.00,806.90,812.32,"3,28,208","26,66,08,973.45","14,215","1,09,317",33.31
LALPATHLAB,EQ,11-01-2016,806.90,803.00,804.90,786.60,794.50,797.05,794.95,"3,54,808","28,20,54,212.15","15,126","1,28,321",36.17
LALPATHLAB,EQ,12-01-2016,797.05,799.80,816.00,797.00,802.80,802.20,805.94,"3,71,860","29,96,96,613.20","17,676","1,34,270",36.11
LALPATHLAB,EQ,13-01-2016,802.20,809.45,814.90,776.35,802.50,799.65,798.24,"4,38,596","35,01,06,014.45","17,287","1,38,319",31.54
LALPATHLAB,EQ,14-01-2016,799.65,772.35,820.90,772.35,818.00,814.50,802.79,"3,70,832","29,77,00,488.85","20,976","1,02,962",27.77
LALPATHLAB,EQ,15-01-2016,814.50,824.00,824.00,782.00,782.50,789.10,807.19,"1,47,545","11,90,96,480.65","6,789","45,535",30.86
LALPATHLAB,EQ,18-01-2016,789.10,780.00,792.45,765.10,777.00,771.85,774.43,"1,72,923","13,39,16,762.40","11,643","65,092",37.64
LALPATHLAB,EQ,19-01-2016,771.85,776.95,777.00,705.00,719.10,722.20,727.48,"9,70,683","70,61,47,906.95","38,812","5,08,502",52.39
LALPATHLAB,EQ,20-01-2016,722.20,714.00,748.00,696.50,722.60,720.35,720.26,"6,86,899","49,47,47,540.00","38,265","3,60,315",52.46
LALPATHLAB,EQ,21-01-2016,720.35,729.80,737.70,725.00,732.00,728.95,730.19,"1,20,661","8,81,05,097.10","8,547","39,395",32.65
LALPATHLAB,EQ,22-01-2016,728.95,737.00,744.35,710.00,739.00,737.65,733.59,"1,52,880","11,21,51,789.05","9,121","48,709",31.86
LALPATHLAB,EQ,25-01-2016,737.65,736.30,764.40,732.80,748.00,748.65,749.25,"2,41,245","18,07,53,019.90","12,580","1,60,179",66.4
LALPATHLAB,EQ,27-01-2016,748.65,754.00,776.00,738.40,755.95,758.40,758.79,"1,50,224","11,39,88,044.85","7,349","52,050",34.65
LALPATHLAB,EQ,28-01-2016,758.40,749.25,769.00,749.10,757.00,757.85,761.53,"74,260","5,65,51,194.10","4,064","31,223",42.05
LALPATHLAB,EQ,29-01-2016,757.85,758.00,791.75,750.80,778.50,774.20,767.50,"3,16,960","24,32,65,939.00","7,170","2,08,873",65.9
LALPATHLAB,EQ,01-02-2016,774.20,775.50,810.95,775.00,797.90,799.15,798.78,"2,06,519","16,49,63,724.30","9,510","73,959",35.81
LALPATHLAB,EQ,02-02-2016,799.15,804.90,817.20,785.55,786.00,798.00,808.81,"1,82,113","14,72,94,257.05","8,173","85,031",46.69
LALPATHLAB,EQ,03-02-2016,798.00,785.00,804.00,770.00,777.00,786.65,791.92,"1,03,985","8,23,47,812.00","7,384","46,350",44.57
LALPATHLAB,EQ,04-02-2016,786.65,781.00,807.90,781.00,806.00,802.70,798.19,"5,17,300","41,29,02,868.60","7,108","4,53,007",87.57
LALPATHLAB,EQ,05-02-2016,802.70,807.00,809.90,796.70,797.00,800.25,802.33,"49,206","3,94,79,349.45","3,463","20,873",42.42
LALPATHLAB,EQ,08-02-2016,800.25,790.00,813.55,790.00,798.00,800.70,804.70,"41,172","3,31,30,958.40","2,645","14,663",35.61
LALPATHLAB,EQ,09-02-2016,800.70,793.00,798.00,785.10,795.00,794.85,792.49,"37,792","2,99,49,865.35","1,967","18,099",47.89
LALPATHLAB,EQ,10-02-2016,794.85,791.10,808.00,784.00,801.40,802.90,796.51,"56,327","4,48,64,863.00","3,990","25,312",44.94
