SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
LICI,EQ,17-05-2022,949.0,872.0,918.95,860.0,873.0,875.25,890.62,"4,87,92,877","43,45,61,35,420.15","13,88,070","1,91,15,945",39.18
LICI,EQ,18-05-2022,875.25,885.55,891.0,874.1,874.75,876.35,881.94,"89,19,761","7,86,67,11,563.65","2,67,592","26,70,371",29.94
LICI,EQ,19-05-2022,876.35,867.0,867.0,838.0,840.2,840.85,851.61,"73,72,427","6,27,84,21,130.00","3,30,019","29,43,369",39.92
LICI,EQ,20-05-2022,840.85,848.55,856.8,825.0,825.3,826.15,836.44,"70,78,291","5,92,05,81,592.75","2,58,445","21,28,536",30.07
LICI,EQ,23-05-2022,826.15,826.15,852.7,803.65,814.8,816.85,829.92,"1,24,44,648","10,32,80,21,622.55","3,18,372","20,19,459",16.23
LICI,EQ,24-05-2022,816.85,818.0,834.7,816.85,824.8,823.1,826.16,"42,87,864","3,54,24,61,122.30","1,25,350","9,80,069",22.86
LICI,EQ,25-05-2022,823.1,831.5,841.45,814.25,814.95,820.3,830.57,"40,13,031","3,33,31,11,566.85","1,18,372","11,72,387",29.21
LICI,EQ,26-05-2022,820.3,820.3,824.8,801.0,812.85,811.65,812.09,"27,96,468","2,27,09,82,495.50","1,11,236","8,61,111",30.79
LICI,EQ,27-05-2022,811.65,818.55,824.65,814.35,823.0,821.6,820.15,"22,15,807","1,81,73,01,040.80","71,583","6,63,050",29.92
LICI,EQ,30-05-2022,821.6,829.9,841.4,825.3,836.5,837.75,832.66,"31,33,717","2,60,93,15,048.15","1,02,214","10,72,302",34.22
LICI,EQ,31-05-2022,837.75,810.0,822.0,810.0,810.85,811.3,815.91,"43,73,090","3,56,80,41,305.30","1,56,207","16,83,405",38.49
