SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
LXCHEM,EQ,25-03-2021,130.0,155.5,174.6,143.25,164.05,164.45,159.99,"6,87,02,462","10,99,19,07,015.75","8,54,987","2,25,35,458",32.8
LXCHEM,EQ,26-03-2021,164.45,173.45,194.4,172.0,187.6,186.6,186.5,"3,01,16,742","5,61,66,52,584.70","3,65,931","46,67,159",15.5
LXCHEM,EQ,30-03-2021,186.6,190.3,191.95,171.1,175.1,175.05,178.03,"88,39,565","1,57,36,91,029.40","1,31,583","27,61,811",31.24
LXCHEM,EQ,31-03-2021,175.05,171.1,179.5,170.95,175.0,174.5,175.23,"30,73,842","53,86,16,670.90","35,361","8,83,481",28.74
LXCHEM,EQ,01-04-2021,174.5,176.8,186.8,171.45,180.5,180.85,179.24,"48,13,541","86,27,79,922.35","65,028","14,87,755",30.91
LXCHEM,EQ,05-04-2021,180.85,180.0,181.8,171.5,172.45,172.9,175.48,"21,83,243","38,31,23,228.80","32,378","9,67,300",44.31
LXCHEM,EQ,06-04-2021,172.9,174.7,194.0,172.45,192.5,190.05,185.22,"85,44,662","1,58,26,73,746.15","1,00,350","22,22,987",26.02
LXCHEM,EQ,07-04-2021,190.05,194.4,209.0,192.1,200.8,200.25,202.21,"1,04,35,919","2,11,02,61,053.55","1,38,331","22,75,147",21.8
LXCHEM,EQ,08-04-2021,200.25,202.95,206.5,197.25,199.4,198.95,201.91,"30,82,469","62,23,77,880.70","41,569","8,79,206",28.52
LXCHEM,EQ,09-04-2021,198.95,198.75,202.85,192.3,194.25,194.0,196.99,"18,79,182","37,01,71,236.05","40,044","6,84,625",36.43
LXCHEM,EQ,12-04-2021,194.0,186.0,187.85,175.65,182.05,181.25,181.42,"28,26,111","51,27,15,957.35","37,309","10,67,934",37.79
LXCHEM,EQ,13-04-2021,181.25,184.0,192.0,182.55,187.0,188.25,187.46,"18,69,384","35,04,37,213.25","21,922","4,24,817",22.72
