SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
MAHESHWARI,SM,16-01-2017,68.0,71.8,78.9,70.4,76.35,76.35,72.88,"21,76,000","15,85,81,100.00","1,006","13,76,000",63.24
MAHESHWARI,SM,17-01-2017,76.35,76.4,82.7,76.4,78.3,78.65,79.64,"4,48,000","3,56,77,100.00",220,"2,76,000",61.61
MAHESHWARI,SM,18-01-2017,78.65,78.3,78.5,74.0,74.15,74.6,76.01,"1,52,000","1,15,53,500.00",75,"1,12,000",73.68
MAHESHWARI,SM,19-01-2017,74.6,74.3,76.8,73.8,74.75,75.35,75.44,"96,000","72,42,000.00",48,"64,000",66.67
MAHESHWARI,SM,20-01-2017,75.35,75.0,78.0,74.05,76.3,75.3,75.98,"1,30,000","98,76,900.00",63,"94,000",72.31
MAHESHWARI,SM,23-01-2017,75.3,76.6,77.9,76.5,76.55,77.2,77.26,"76,000","58,71,500.00",38,"52,000",68.42
MAHESHWARI,SM,24-01-2017,77.2,78.0,78.0,76.5,76.5,76.5,76.96,"46,000","35,40,200.00",19,"16,000",34.78
MAHESHWARI,SM,25-01-2017,76.5,77.9,77.9,75.85,76.05,76.05,76.53,"24,000","18,36,800.00",12,"20,000",83.33
MAHESHWARI,SM,27-01-2017,76.05,76.0,76.3,75.0,76.3,75.7,75.64,"34,000","25,71,900.00",17,"32,000",94.12
MAHESHWARI,SM,30-01-2017,75.7,76.0,76.0,74.5,75.9,75.6,75.34,"24,000","18,08,200.00",12,"24,000",100.0
MAHESHWARI,SM,31-01-2017,75.6,73.1,75.3,73.1,75.0,75.0,74.36,"10,000","7,43,600.00",5,"8,000",80.0
MAHESHWARI,SM,01-02-2017,75.0,75.0,75.0,73.65,74.5,74.25,74.39,"10,000","7,43,900.00",5,"8,000",80.0
MAHESHWARI,SM,02-02-2017,74.25,75.0,75.0,74.15,74.9,74.8,74.62,"10,000","7,46,200.00",5,"8,000",80.0
MAHESHWARI,SM,03-02-2017,74.8,74.1,74.85,73.8,73.8,73.8,74.21,"14,000","10,39,000.00",7,"10,000",71.43
MAHESHWARI,SM,06-02-2017,73.8,74.9,75.0,73.9,74.65,74.85,74.71,"28,000","20,91,900.00",14,"26,000",92.86
MAHESHWARI,SM,07-02-2017,74.85,80.0,80.0,74.1,74.1,74.6,76.1,"20,000","15,21,900.00",10,"18,000",90.0
MAHESHWARI,SM,08-02-2017,74.6,75.9,75.9,74.0,74.25,74.25,74.61,"16,000","11,93,800.00",8,"16,000",100.0
MAHESHWARI,SM,09-02-2017,74.25,73.6,73.6,73.25,73.4,73.3,73.39,"8,000","5,87,100.00",4,"8,000",100.0
MAHESHWARI,SM,10-02-2017,73.3,73.15,74.5,73.0,73.5,73.5,73.73,"32,000","23,59,200.00",12,"26,000",81.25
