SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
GESCOCORP,EQ,10-05-2000,13.0,13.25,14.25,13.25,14.25,14.25,14.08,600,"8,445.00",-,-,-
GESCOCORP,EQ,11-05-2000,14.25,12.3,13.8,12.25,13.05,13.0,13.22,"1,468","19,403.50",-,-,-
GESCOCORP,EQ,12-05-2000,13.0,12.75,12.95,12.5,12.5,12.6,12.63,"2,170","27,414.00",-,-,-
GESCOCORP,EQ,15-05-2000,12.6,11.55,14.4,11.1,12.2,12.2,13.28,868,"11,522.90",-,-,-
GESCOCORP,EQ,16-05-2000,12.2,12.6,12.9,12.6,12.6,12.65,12.71,"1,881","23,914.20",-,-,-
GESCOCORP,EQ,17-05-2000,12.65,12.5,12.5,12.0,12.05,12.05,12.2,277,"3,379.00",-,-,-
GESCOCORP,EQ,18-05-2000,12.05,11.5,14.9,9.55,11.85,13.6,12.84,"4,282","54,982.45",-,-,-
GESCOCORP,EQ,19-05-2000,13.6,10.55,11.5,10.5,11.5,11.5,11.04,"3,425","37,824.05",-,-,-
GESCOCORP,EQ,22-05-2000,11.5,11.9,11.9,9.8,9.85,9.85,9.96,"1,944","19,355.70",-,-,-
GESCOCORP,EQ,23-05-2000,9.85,10.0,10.2,10.0,10.05,10.05,10.06,"2,876","28,920.80",-,-,-
GESCOCORP,EQ,24-05-2000,10.05,10.5,11.7,10.1,10.55,10.55,10.48,972,"10,191.00",-,-,-
GESCOCORP,EQ,25-05-2000,10.55,10.75,11.0,10.6,11.0,11.0,10.91,"3,253","35,486.70",-,-,-
GESCOCORP,EQ,26-05-2000,11.0,11.0,12.25,11.0,12.25,12.25,11.76,"2,369","27,863.75",-,-,-
GESCOCORP,EQ,29-05-2000,12.25,11.75,12.25,11.75,12.1,12.1,12.13,739,"8,962.65",-,-,-
GESCOCORP,EQ,30-05-2000,12.1,11.9,12.2,11.5,11.5,11.5,11.69,"3,219","37,630.85",-,-,-
GESCOCORP,EQ,31-05-2000,11.5,11.35,12.0,11.3,12.0,12.0,11.78,"3,394","39,989.50",-,-,-
GESCOCORP,EQ,01-06-2000,12.0,12.0,14.0,12.0,12.25,12.25,12.99,556,"7,223.15",-,-,-
GESCOCORP,EQ,02-06-2000,12.25,11.8,12.25,11.8,11.95,11.8,12.05,"3,793","45,711.20",-,-,-
GESCOCORP,EQ,05-06-2000,11.8,11.3,11.9,11.3,11.5,11.5,11.73,"2,352","27,586.00",-,-,-
GESCOCORP,EQ,06-06-2000,11.5,11.35,12.75,11.35,12.75,11.8,11.65,"16,427","1,91,342.35",-,-,-
GESCOCORP,EQ,07-06-2000,11.8,12.1,12.1,11.6,11.6,11.6,11.75,"1,126","13,231.50",-,-,-
GESCOCORP,EQ,08-06-2000,11.6,11.4,11.6,11.4,11.5,11.5,11.51,"1,310","15,082.00",-,-,-
GESCOCORP,EQ,09-06-2000,11.5,12.0,12.45,10.85,11.6,12.0,11.4,"29,306","3,34,189.35",-,-,-
GESCOCORP,EQ,12-06-2000,12.0,12.1,12.7,11.55,12.4,12.4,12.53,"13,064","1,63,628.10",-,-,-
GESCOCORP,EQ,13-06-2000,12.4,11.75,12.3,11.75,11.8,11.85,12.01,"6,297","75,632.50",-,-,-
GESCOCORP,EQ,14-06-2000,11.85,11.7,12.0,11.6,11.9,11.9,11.83,"6,940","82,100.35",-,-,-
GESCOCORP,EQ,15-06-2000,11.9,11.8,11.8,11.65,11.8,11.8,11.73,"5,679","66,610.85",-,-,-
GESCOCORP,EQ,16-06-2000,11.8,10.5,11.95,10.5,11.5,11.65,11.47,"3,709","42,546.95",-,-,-
GESCOCORP,EQ,19-06-2000,11.65,11.55,12.25,11.55,12.25,11.9,12.07,"5,339","64,455.75",-,-,-
