SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
MAHSCOOTER,EQ,01-01-1996,221.15,223.5,223.5,220.0,-,220.0,221.75,100,"22,175.00",-,-,-
MAHSCOOTER,EQ,02-01-1996,220.00,220.0,220.0,217.15,-,218.45,218.6,800,"1,74,877.50",-,-,-
MAHSCOOTER,EQ,04-01-1996,218.45,220.0,222.0,215.05,-,221.9,221.18,800,"1,76,947.50",-,-,-
MAHSCOOTER,EQ,05-01-1996,221.90,221.9,223.0,217.0,-,223.0,217.81,400,"87,125.00",-,-,-
MAHSCOOTER,EQ,08-01-1996,223.00,223.0,220.0,218.0,-,218.0,219.0,200,"43,800.00",-,-,-
MAHSCOOTER,EQ,09-01-1996,218.00,218.0,213.0,210.25,-,210.25,211.17,150,"31,675.00",-,-,-
MAHSCOOTER,EQ,10-01-1996,210.25,210.0,215.0,210.0,-,212.0,212.33,150,"31,850.00",-,-,-
MAHSCOOTER,EQ,11-01-1996,212.00,212.0,215.25,210.25,-,215.25,213.25,250,"53,312.50",-,-,-
MAHSCOOTER,EQ,12-01-1996,215.25,219.0,219.0,219.0,-,219.0,219.0,50,"10,950.00",-,-,-
MAHSCOOTER,EQ,15-01-1996,219.00,215.0,215.0,215.0,-,215.0,215.0,100,"21,500.00",-,-,-
MAHSCOOTER,EQ,16-01-1996,215.00,212.0,212.0,206.0,-,206.0,209.24,550,"1,15,080.00",-,-,-
MAHSCOOTER,EQ,17-01-1996,206.00,207.0,207.0,207.0,-,207.0,207.0,50,"10,350.00",-,-,-
MAHSCOOTER,EQ,18-01-1996,207.00,205.0,205.0,205.0,-,205.0,205.0,200,"41,000.00",-,-,-
MAHSCOOTER,EQ,19-01-1996,205.00,202.0,202.0,200.0,-,200.0,200.93,300,"60,277.50",-,-,-
