SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
MALUPAPER,EQ,05-04-2006,30.0,30.0,37.0,30.0,31.5,32.45,33.94,"1,00,38,276","34,07,31,395.15",-,"18,91,973",18.85
MALUPAPER,EQ,07-04-2006,32.45,31.8,32.95,29.15,29.15,29.75,31.09,"16,76,865","5,21,28,038.95",-,"4,78,993",28.56
MALUPAPER,EQ,10-04-2006,29.75,30.0,30.25,27.5,27.7,27.7,28.33,"3,83,991","1,08,79,681.70",-,"1,75,891",45.81
MALUPAPER,EQ,12-04-2006,27.7,28.8,28.9,25.0,25.1,25.35,26.31,"3,80,584","1,00,13,261.15",-,"1,67,019",43.88
MALUPAPER,EQ,13-04-2006,25.35,26.3,26.3,21.55,22.7,22.45,23.06,"5,49,180","1,26,61,448.45",-,"2,29,499",41.79
MALUPAPER,EQ,17-04-2006,22.45,22.95,23.5,22.1,22.4,22.35,22.72,"1,82,159","41,37,984.25",-,"82,981",45.55
MALUPAPER,EQ,18-04-2006,22.35,23.2,23.2,21.6,21.95,21.8,21.89,"1,82,505","39,94,814.40",-,"90,066",49.35
MALUPAPER,EQ,19-04-2006,21.8,22.0,22.5,21.05,21.45,21.3,21.45,"1,36,183","29,20,534.40",-,"58,916",43.26
MALUPAPER,EQ,20-04-2006,21.3,22.0,22.0,20.1,20.55,20.4,20.57,"1,55,395","31,97,213.30",-,"98,719",63.53
MALUPAPER,EQ,21-04-2006,20.4,19.75,21.9,19.75,21.0,20.85,20.9,"2,63,830","55,15,119.75",-,"84,863",32.17
MALUPAPER,EQ,24-04-2006,20.85,20.45,23.5,20.0,22.8,22.75,22.29,"4,40,925","98,30,167.05",-,"1,34,922",30.6
MALUPAPER,EQ,25-04-2006,22.75,22.6,24.5,22.55,22.7,22.8,23.43,"2,93,416","68,74,674.00",-,"1,25,263",42.69
MALUPAPER,EQ,26-04-2006,22.8,23.35,23.45,22.0,22.35,22.3,22.59,"1,05,434","23,82,045.10",-,"55,197",52.35
MALUPAPER,EQ,27-04-2006,22.3,21.75,22.65,21.7,21.85,21.9,22.01,"73,542","16,18,547.20",-,"34,988",47.58
MALUPAPER,EQ,28-04-2006,21.9,21.1,22.3,20.45,21.5,21.65,21.53,"54,024","11,63,048.45",-,"40,251",74.51
MALUPAPER,EQ,29-04-2006,21.65,21.0,22.4,21.0,22.25,22.1,21.93,"29,951","6,56,810.10",-,"16,542",55.23
MALUPAPER,EQ,02-05-2006,22.1,22.55,23.25,22.1,22.6,22.7,22.76,"98,531","22,42,286.60",-,"65,061",66.03
MALUPAPER,EQ,03-05-2006,22.7,22.7,23.15,22.4,22.5,22.55,22.71,"53,199","12,07,960.15",-,"40,735",76.57
MALUPAPER,EQ,04-05-2006,22.55,23.0,23.0,22.1,22.7,22.7,22.72,"42,953","9,76,046.00",-,"31,304",72.88
MALUPAPER,EQ,05-05-2006,22.7,22.9,23.35,22.25,22.5,22.3,22.64,"80,757","18,28,037.75",-,"54,751",67.8
MALUPAPER,EQ,08-05-2006,22.3,22.1,23.0,22.1,22.7,22.75,22.81,"64,833","14,78,903.45",-,"50,684",78.18
MALUPAPER,EQ,09-05-2006,22.75,22.35,22.75,22.35,22.6,22.55,22.55,"36,128","8,14,783.90",-,"29,946",82.89
