SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
MAZDOCK,EQ,12-10-2020,145.0,214.9,216.95,171.95,171.95,171.95,186.64,"3,99,29,204","7,45,24,75,260.55","5,69,001","1,83,38,845",45.93
MAZDOCK,EQ,13-10-2020,171.95,172.0,184.7,164.0,181.0,181.45,175.91,"1,88,62,563","3,31,81,58,044.75","2,21,335","33,90,934",17.98
MAZDOCK,EQ,14-10-2020,181.45,180.45,187.4,178.1,181.5,182.25,183.13,"61,78,509","1,13,14,76,553.15","71,868","14,89,483",24.11
MAZDOCK,EQ,15-10-2020,182.25,181.95,182.75,171.0,172.4,171.85,176.55,"31,93,483","56,38,02,761.95","43,870","11,99,913",37.57
MAZDOCK,EQ,16-10-2020,171.85,173.75,175.45,165.0,168.3,168.05,169.57,"30,72,942","52,10,71,452.55","58,615","8,72,852",28.4
MAZDOCK,EQ,19-10-2020,168.05,170.75,172.85,167.5,168.25,168.3,169.75,"19,22,584","32,63,50,775.40","23,663","6,84,286",35.59
MAZDOCK,EQ,20-10-2020,168.3,167.7,169.8,165.4,165.65,166.05,167.08,"12,62,381","21,09,21,132.55","17,825","5,35,214",42.4
MAZDOCK,EQ,21-10-2020,166.05,166.9,177.7,166.45,172.0,171.65,172.37,"44,77,916","77,18,78,227.55","47,898","10,59,111",23.65
MAZDOCK,EQ,22-10-2020,171.65,172.3,174.9,167.7,170.4,170.65,171.09,"20,03,364","34,27,63,862.05","20,782","4,84,602",24.19
MAZDOCK,EQ,23-10-2020,170.65,174.15,179.0,172.4,174.7,175.4,176.37,"35,73,971","63,03,58,365.65","35,261","10,68,293",29.89
MAZDOCK,EQ,26-10-2020,175.4,175.95,175.95,170.0,170.75,170.8,172.05,"9,27,445","15,95,68,722.65","11,585","3,04,501",32.83
MAZDOCK,EQ,27-10-2020,170.8,170.9,171.55,167.45,168.7,168.85,169.19,"7,74,974","13,11,20,691.45","11,082","2,62,115",33.82
MAZDOCK,EQ,28-10-2020,168.85,169.95,171.2,167.0,167.15,167.25,168.64,"9,31,754","15,71,34,344.05","13,312","2,87,008",30.8
MAZDOCK,EQ,29-10-2020,167.25,167.15,169.0,166.2,167.25,167.0,167.44,"9,05,814","15,16,68,601.80","11,411","2,84,559",31.41
MAZDOCK,EQ,30-10-2020,167.0,167.5,169.7,165.0,166.3,166.75,167.45,"9,53,836","15,97,18,629.85","11,484","2,85,766",29.96
MAZDOCK,EQ,02-11-2020,166.75,166.75,172.5,165.3,168.55,168.35,168.32,"12,08,681","20,34,40,983.60","14,566","4,30,573",35.62
MAZDOCK,EQ,03-11-2020,168.35,169.2,169.95,166.05,166.25,166.6,167.96,"6,10,024","10,24,58,603.95","8,464","2,69,023",44.1
MAZDOCK,EQ,04-11-2020,166.6,166.5,167.9,165.1,165.95,165.8,166.37,"7,19,104","11,96,39,597.70","8,287","2,49,382",34.68
MAZDOCK,EQ,05-11-2020,165.8,166.75,172.2,166.45,169.45,169.25,169.63,"15,02,066","25,48,02,017.25","12,923","6,12,579",40.78
MAZDOCK,EQ,06-11-2020,169.25,169.55,174.0,169.0,169.65,170.05,171.99,"19,94,558","34,30,37,254.25","19,809","6,89,076",34.55
MAZDOCK,EQ,09-11-2020,170.05,172.0,181.95,171.4,178.15,179.45,177.03,"64,97,799","1,15,02,95,023.00","43,311","18,29,104",28.15
MAZDOCK,EQ,10-11-2020,179.45,179.25,179.25,170.75,172.45,172.4,174.49,"23,79,955","41,52,67,733.95","20,443","9,33,588",39.23
MAZDOCK,EQ,11-11-2020,172.4,173.0,176.35,172.0,174.0,174.45,174.4,"16,38,130","28,56,93,367.85","13,596","4,57,139",27.91
MAZDOCK,EQ,12-11-2020,174.45,174.6,178.0,172.5,176.95,176.05,174.47,"14,23,822","24,84,18,788.60","11,596","5,93,158",41.66
MAZDOCK,EQ,13-11-2020,176.05,179.4,184.5,177.5,183.25,183.15,182.12,"65,06,244","1,18,49,30,958.25","50,290","18,53,601",28.49
MAZDOCK,EQ,14-11-2020,183.15,184.9,190.8,184.0,190.0,188.25,187.45,"29,54,791","55,38,68,552.00","23,545","12,26,179",41.5
MAZDOCK,EQ,17-11-2020,188.25,191.4,192.8,181.25,184.05,183.9,188.33,"38,00,604","71,57,61,725.00","29,020","11,04,537",29.06
MAZDOCK,EQ,18-11-2020,183.9,184.0,186.5,183.0,183.2,183.4,184.33,"16,90,667","31,16,37,982.30","14,800","4,12,550",24.4
MAZDOCK,EQ,19-11-2020,183.4,183.2,187.0,181.6,184.05,184.55,184.42,"21,63,334","39,89,53,270.35","17,789","5,67,803",26.25
MAZDOCK,EQ,20-11-2020,184.55,185.75,188.8,183.8,184.4,184.45,186.03,"26,96,783","50,16,85,844.65","21,226","6,16,392",22.86
MAZDOCK,EQ,23-11-2020,184.45,185.0,185.95,180.75,181.9,182.2,183.42,"14,93,301","27,38,99,242.20","12,503","5,45,229",36.51
MAZDOCK,EQ,24-11-2020,182.2,182.75,185.5,180.9,181.35,181.4,182.98,"14,78,112","27,04,65,296.95","11,462","4,50,445",30.47
MAZDOCK,EQ,25-11-2020,181.4,182.8,183.35,179.2,180.4,179.8,180.94,"14,77,833","26,74,04,396.65","12,421","3,99,848",27.06
MAZDOCK,EQ,26-11-2020,179.8,180.45,181.45,178.35,179.5,179.25,179.37,"11,09,635","19,90,32,224.30","8,782","3,50,414",31.58
MAZDOCK,EQ,27-11-2020,179.25,179.75,182.65,178.1,178.7,179.0,180.52,"19,13,953","34,55,01,589.70","12,629","5,82,427",30.43
MAZDOCK,EQ,01-12-2020,179.0,180.45,183.5,180.35,182.25,182.0,181.74,"13,09,783","23,80,44,461.25","10,070","4,92,610",37.61
MAZDOCK,EQ,02-12-2020,182.0,182.8,183.0,180.0,181.05,180.9,181.3,"7,97,822","14,46,48,660.50","7,156","2,88,768",36.19
MAZDOCK,EQ,03-12-2020,180.9,181.8,187.75,181.7,184.9,184.75,184.93,"25,29,433","46,77,58,175.95","20,548","9,53,592",37.7
MAZDOCK,EQ,04-12-2020,184.75,185.0,185.85,181.9,182.4,182.4,183.69,"10,40,179","19,10,71,640.20","10,318","4,65,772",44.78
MAZDOCK,EQ,07-12-2020,182.4,182.8,194.2,182.7,191.9,191.35,189.94,"43,21,530","82,08,24,356.70","41,590","14,14,336",32.73
MAZDOCK,EQ,08-12-2020,191.35,192.5,195.3,187.1,188.5,188.7,190.69,"23,81,609","45,41,58,385.75","22,306","7,48,803",31.44
MAZDOCK,EQ,09-12-2020,188.7,191.55,198.9,189.8,196.05,195.9,195.7,"53,33,254","1,04,37,34,276.75","55,276","13,68,345",25.66
MAZDOCK,EQ,10-12-2020,195.9,195.45,196.75,190.0,192.25,191.8,192.2,"14,29,930","27,48,31,217.50","14,374","4,17,808",29.22
MAZDOCK,EQ,11-12-2020,191.8,192.5,194.6,188.0,188.35,188.75,191.44,"16,10,208","30,82,64,809.70","12,206","5,79,305",35.98
MAZDOCK,EQ,14-12-2020,188.75,189.35,195.3,189.05,194.65,194.15,192.19,"16,42,855","31,57,37,002.25","14,666","5,87,797",35.78
MAZDOCK,EQ,15-12-2020,194.15,194.0,194.0,190.0,190.65,191.05,191.58,"10,35,176","19,83,20,731.00","9,953","3,83,380",37.04
MAZDOCK,EQ,16-12-2020,191.05,191.75,227.9,191.5,219.05,220.3,215.18,"2,04,19,578","4,39,38,20,904.50","1,71,698","37,79,344",18.51
MAZDOCK,EQ,17-12-2020,220.3,218.05,223.9,205.0,207.25,207.35,216.71,"91,38,262","1,98,03,94,531.10","76,929","16,00,673",17.52
MAZDOCK,EQ,18-12-2020,207.35,208.8,225.7,202.5,221.7,221.95,218.1,"1,51,38,674","3,30,17,24,570.45","1,36,974","19,11,151",12.62
