SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
MEDIORG,ST,28-06-2024,34.0,137.85,144.7,130.95,144.7,144.7,136.57,"18,24,000","24,90,99,400.00",423,"18,12,000",99.34
MEDIORG,ST,01-07-2024,144.7,137.5,151.9,137.5,151.9,151.9,142.9,"9,16,000","13,08,97,800.00",160,"7,48,000",81.66
MEDIORG,ST,02-07-2024,151.9,159.4,159.4,144.3,144.3,145.8,152.63,"4,48,000","6,83,78,000.00",81,"4,12,000",91.96
MEDIORG,ST,03-07-2024,145.8,145.0,146.0,138.55,138.55,138.75,139.22,"4,04,000","5,62,43,000.00",63,"3,48,000",86.14
MEDIORG,ST,04-07-2024,138.75,132.0,133.0,131.85,131.85,131.85,131.91,"2,36,000","3,11,30,600.00",47,"2,20,000",93.22
MEDIORG,ST,05-07-2024,131.85,127.5,136.0,125.25,130.0,131.75,128.87,"2,80,000","3,60,82,800.00",60,"2,24,000",80.0
MEDIORG,ST,08-07-2024,131.75,127.0,128.5,125.2,125.2,125.2,126.33,"1,04,000","1,31,38,000.00",26,"96,000",92.31
MEDIORG,ST,09-07-2024,125.2,120.0,122.5,118.95,118.95,118.95,120.03,"1,00,000","1,20,03,200.00",24,"96,000",96.0
MEDIORG,ST,10-07-2024,118.95,118.0,123.0,113.0,122.0,122.0,115.08,"92,000","1,05,87,200.00",22,"72,000",78.26
MEDIORG,ST,11-07-2024,122.0,127.95,127.95,118.0,121.0,118.85,121.68,"48,000","58,40,600.00",12,"48,000",100.0
MEDIORG,SM,12-07-2024,118.85,119.0,122.0,117.2,118.5,118.65,119.13,"2,12,000","2,52,56,200.00",18,"1,84,000",86.79
MEDIORG,SM,15-07-2024,118.65,116.1,126.0,114.2,114.4,120.8,119.41,"1,76,000","2,10,16,800.00",44,"80,000",45.45
MEDIORG,SM,16-07-2024,120.8,115.0,115.0,108.0,108.0,109.2,111.51,"64,000","71,36,800.00",16,"48,000",75.0
