SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
MAM150ETF,EQ,15-03-2022,10.44,10.75,10.8,10.32,10.45,10.47,10.53,"5,10,661","53,77,665.02",449,"3,97,189",77.78
MAM150ETF,EQ,16-03-2022,10.47,10.78,10.78,10.55,10.7,10.57,10.62,"75,521","8,01,981.79",164,"30,457",40.33
MAM150ETF,EQ,17-03-2022,10.57,10.88,10.88,10.75,10.85,10.85,10.84,"29,444","3,19,267.21",125,"16,480",55.97
MAM150ETF,EQ,21-03-2022,10.85,11.17,11.5,10.85,10.86,10.86,10.89,"55,941","6,09,139.67",190,"47,864",85.56
MAM150ETF,EQ,22-03-2022,10.86,11.02,11.02,10.75,10.84,10.83,10.84,"2,10,309","22,78,827.01",159,"1,49,356",71.02
MAM150ETF,EQ,23-03-2022,10.83,11.02,11.02,10.86,10.93,10.9,10.89,"39,122","4,26,130.10",126,"35,069",89.64
MAM150ETF,EQ,24-03-2022,10.9,10.88,10.99,10.88,10.96,10.95,10.94,"43,544","4,76,158.18",110,"27,228",62.53
MAM150ETF,EQ,25-03-2022,10.95,10.99,11.03,10.9,10.95,10.9,10.97,"1,14,951","12,60,567.09",129,"1,07,222",93.28
MAM150ETF,EQ,28-03-2022,10.9,10.93,10.97,10.82,10.94,10.91,10.89,"92,969","10,12,877.96",120,"39,717",42.72
MAM150ETF,EQ,29-03-2022,10.91,10.99,11.01,10.92,11.0,10.99,10.97,"1,86,016","20,41,341.51",134,"96,159",51.69
MAM150ETF,EQ,30-03-2022,10.99,10.67,11.31,10.67,11.1,11.08,11.06,"27,892","3,08,436.51",119,"15,074",54.04
MAM150ETF,EQ,31-03-2022,11.08,11.12,11.81,11.06,11.09,11.13,11.14,"2,51,339","27,98,679.68",341,"2,27,100",90.36
MAM150ETF,EQ,01-04-2022,11.13,11.14,11.28,11.1,11.27,11.26,11.2,"70,059","7,84,645.71",130,"62,580",89.32
MAM150ETF,EQ,04-04-2022,11.26,11.27,11.93,11.26,11.43,11.42,11.36,"1,18,424","13,45,347.47",190,"1,02,379",86.45
MAM150ETF,EQ,05-04-2022,11.42,11.5,11.62,11.48,11.6,11.57,11.55,"1,66,167","19,18,792.08",212,"1,47,012",88.47
MAM150ETF,EQ,06-04-2022,11.57,13.55,13.55,11.58,11.65,11.64,11.74,"1,71,986","20,18,397.21",289,"1,15,954",67.42
