SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
MITCON,SM,01-11-2013,61.0,60.0,60.0,51.1,51.1,51.1,55.73,"6,000","3,34,400.00",3,"6,000",100.0
MITCON,SM,03-11-2013,51.1,45.0,45.0,40.95,40.95,40.95,42.98,"4,000","1,71,900.00",2,"4,000",100.0
MITCON,SM,05-11-2013,40.95,39.95,44.25,37.95,44.25,44.25,41.29,"12,000","4,95,500.00",6,"10,000",83.33
MITCON,SM,11-11-2013,44.25,43.05,43.05,43.05,43.05,43.05,43.05,"2,000","86,100.00",1,"2,000",100.0
MITCON,SM,12-11-2013,43.05,43.5,43.5,43.5,43.5,43.5,43.5,"2,000","87,000.00",1,"2,000",100.0
MITCON,SM,13-11-2013,43.5,42.05,42.05,42.05,42.05,42.05,42.05,"2,000","84,100.00",1,"2,000",100.0
MITCON,SM,22-11-2013,42.05,44.05,44.05,44.05,44.05,44.05,44.05,"2,000","88,100.00",1,"2,000",100.0
MITCON,SM,02-12-2013,44.05,44.5,44.5,44.5,44.5,44.5,44.5,"2,000","89,000.00",1,"2,000",100.0
MITCON,SM,06-12-2013,44.5,47.4,47.4,47.4,47.4,47.4,47.4,"2,000","94,800.00",1,"2,000",100.0
MITCON,SM,09-01-2014,47.4,43.5,43.5,43.5,43.5,43.5,43.5,"2,000","87,000.00",1,"2,000",100.00
MITCON,SM,14-01-2014,43.5,45.45,45.45,45.45,45.45,45.45,45.45,"2,000","90,900.00",1,"2,000",100.00
MITCON,SM,07-02-2014,45.45,45.2,45.2,43.05,45.2,45.2,44.13,"4,000","1,76,500.00",2,-,-
MITCON,SM,13-02-2014,45.2,43.05,43.05,43.05,43.05,43.05,43.05,"2,000","86,100.00",1,"2,000",100.00
MITCON,SM,18-03-2014,43.05,45.0,45.0,45.0,45.0,45.0,45.0,"1,50,000","67,50,000.00",3,"1,50,000",100.00
MITCON,SM,25-03-2014,45.0,41.5,41.5,41.5,41.5,41.5,41.5,"4,000","1,66,000.00",2,"4,000",100.00
MITCON,SM,28-04-2014,41.5,45.05,49.8,45.05,49.8,49.8,47.67,"6,000","2,86,000.00",3,"6,000",100.00
MITCON,SM,29-04-2014,49.8,54.4,54.8,54.4,54.8,54.8,54.6,"4,000","2,18,400.00",2,"2,000",50.00
MITCON,SM,30-04-2014,54.8,55.5,55.5,55.5,55.5,55.5,55.5,"2,000","1,11,000.00",1,"2,000",100.00
MITCON,SM,08-05-2014,55.5,55.1,55.1,55.1,55.1,55.1,55.1,"2,000","1,10,200.00",1,"2,000",100.00
MITCON,SM,12-05-2014,55.1,58.5,58.5,58.5,58.5,58.5,58.5,"2,000","1,17,000.00",1,"2,000",100.00
MITCON,SM,14-05-2014,58.5,55.5,55.5,55.5,55.5,55.5,55.5,"2,000","1,11,000.00",1,"2,000",100.00
MITCON,SM,19-05-2014,55.5,52.5,52.8,52.5,52.8,52.8,52.65,"4,000","2,10,600.00",2,"2,000",50.00
MITCON,SM,21-05-2014,52.8,55.1,55.1,55.1,55.1,55.1,55.1,"2,000","1,10,200.00",1,"2,000",100.00
MITCON,SM,22-05-2014,55.1,54.1,54.1,54.1,54.1,54.1,54.1,"2,000","1,08,200.00",1,"2,000",100.00
MITCON,SM,28-05-2014,54.1,49.8,49.8,49.8,49.8,49.8,49.8,"2,000","99,600.00",1,"2,000",100.00
MITCON,SM,04-06-2014,49.8,50.0,50.0,50.0,50.0,50.0,50.0,"2,000","1,00,000.00",1,"2,000",100.00
MITCON,SM,17-06-2014,50.0,50.8,50.8,50.8,50.8,50.8,50.8,"2,000","1,01,600.00",1,"2,000",100.00
MITCON,SM,20-06-2014,50.8,49.8,49.8,49.8,49.8,49.8,49.8,"2,000","99,600.00",1,"2,000",100.00
MITCON,SM,26-06-2014,49.8,50.8,50.8,50.8,50.8,50.8,50.8,"2,000","1,01,600.00",1,"2,000",100.00
MITCON,SM,27-06-2014,50.8,52.8,52.8,52.8,52.8,52.8,52.8,"20,000","10,56,000.00",2,"20,000",100.00
MITCON,SM,30-06-2014,52.8,52.8,52.8,52.8,52.8,52.8,52.8,"4,000","2,11,200.00",1,"4,000",100.00
MITCON,SM,01-07-2014,52.8,54.8,54.8,54.8,54.8,54.8,54.8,"2,000","1,09,600.00",1,"2,000",100.00
MITCON,SM,02-07-2014,54.8,56.1,56.1,56.1,56.1,56.1,56.1,"2,000","1,12,200.00",1,"2,000",100.00
MITCON,SM,04-07-2014,56.1,55.1,55.6,55.1,55.6,55.6,55.35,"4,000","2,21,400.00",2,"2,000",50.00
MITCON,SM,09-07-2014,55.6,55.1,55.1,55.1,55.1,55.1,55.1,"2,000","1,10,200.00",1,"2,000",100.00
MITCON,SM,02-09-2014,55.1,50.65,50.65,50.65,50.65,50.65,50.65,"2,000","1,01,300.00",1,"2,000",100.00
MITCON,SM,18-09-2014,50.65,51.1,55.4,51.1,55.4,55.4,53.25,"4,000","2,13,000.00",2,"4,000",100.00
