SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
MODINATUR,EQ,11-12-2025,383.5,381.2,390.0,352.25,377.75,379.55,379.52,"3,378","12,82,007.05",341,"1,693",50.12
MODINATUR,EQ,12-12-2025,379.55,385.0,398.7,371.05,385.05,392.9,388.02,1133,4.4,185, 639,56.4
MODINATUR,EQ,15-12-2025,392.9,385.0,409.95,364.25,385.35,384.25,381.2,2604,9.93,384, 1554,59.68
MODINATUR,EQ,16-12-2025,384.25,384.0,385.35,370.25,374.0,373.4,379.65,2105,7.99,112, 1786,84.85
MODINATUR,EQ,17-12-2025,373.4,365.95,384.45,358.95,370.3,370.35,370.54,2600,9.63,121, 2066,79.46
MODINATUR,EQ,18-12-2025,370.35,383.0,383.0,360.0,365.25,366.15,364.45,748,2.73,78, 586,78.34
MODINATUR,EQ,19-12-2025,366.15,352.15,383.7,348.7,363.7,368.0,361.09,1331,4.81,112, 787,59.13
MODINATUR,EQ,22-12-2025,368.0,368.05,377.2,360.35,368.0,369.4,370.52,1411,5.23,93, 775,54.93
MODINATUR,EQ,23-12-2025,369.4,371.2,408.9,360.2,383.3,371.1,390.45,5427,21.19,284, 4140,76.29
MODINATUR,EQ,24-12-2025,371.1,383.3,387.95,349.0,377.5,371.7,368.56,4941,18.21,194, 3081,62.36
MODINATUR,EQ,26-12-2025,371.7,376.95,394.95,364.95,365.0,372.25,375.89,9735,36.59,472, 7637,78.45
MODINATUR,EQ,29-12-2025,372.25,372.3,381.35,361.0,361.95,361.8,365.89,2026,7.41,104, 1645,81.19
MODINATUR,EQ,30-12-2025,361.8,366.0,367.0,355.85,365.95,364.6,364.09,1876,6.83,66, 1412,75.27
MODINATUR,EQ,31-12-2025,364.6,362.8,381.9,354.1,359.95,358.25,360.71,3258,11.75,339, 2289,70.26
MODINATUR,EQ,01-01-2026,358.25,368.05,368.05,349.0,361.9,353.8,358.52,1408,5.05,88, 1079,76.63
MODINATUR,EQ,02-01-2026,353.8,357.95,369.0,349.0,357.0,356.65,356.72,2417,8.62,182, 1686,69.76
MODINATUR,EQ,05-01-2026,356.65,364.5,366.0,327.6,349.45,350.9,351.43,14695,51.64,424, 12344,84.0
MODINATUR,EQ,06-01-2026,350.9,345.0,363.95,345.0,356.0,356.2,350.22,4582,16.05,143, 2733,59.65
MODINATUR,EQ,07-01-2026,356.2,365.1,365.1,344.0,354.85,354.45,352.01,2001,7.04,122, 1440,71.96
MODINATUR,EQ,08-01-2026,354.45,346.1,363.8,336.1,341.9,343.6,348.29,2088,7.27,180, 987,47.27
MODINATUR,EQ,09-01-2026,343.6,339.95,390.0,322.95,351.65,353.45,373.6,86286,322.36,4074, 13761, 15.95
