SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
MODISNME,EQ,03-05-2021,52.25,52.6,62.7,52.05,62.7,62.65,59.89,"9,86,585","5,90,82,417.10","13,298","4,12,293",41.79
MODISNME,EQ,04-05-2021,62.65,67.25,67.25,57.45,61.35,60.9,63.65,"8,00,639","5,09,64,287.90","8,131","3,46,078",43.23
MODISNME,EQ,05-05-2021,60.9,61.1,64.0,58.0,58.7,58.65,59.76,"87,256","52,14,520.75","1,877","59,371",68.04
MODISNME,EQ,06-05-2021,58.65,60.5,61.35,57.55,59.0,58.4,58.9,"68,281","40,21,528.95","1,030","46,748",68.46
MODISNME,EQ,07-05-2021,58.4,59.2,60.8,58.0,60.0,59.9,59.33,"77,758","46,13,711.00","1,188","43,140",55.48
MODISNME,EQ,10-05-2021,59.9,62.25,63.0,58.5,58.5,58.55,59.47,"1,32,194","78,62,054.90","1,086","1,16,566",88.18
MODISNME,EQ,11-05-2021,58.55,58.55,59.0,57.6,57.7,58.05,58.25,"58,507","34,08,214.85",745,"43,218",73.87
MODISNME,EQ,12-05-2021,58.05,58.0,58.5,55.05,55.4,55.9,56.54,"53,542","30,27,092.25",953,"38,508",71.92
MODISNME,EQ,14-05-2021,55.9,56.25,58.6,52.85,55.3,55.05,55.1,"51,504","28,37,680.85",719,"36,700",71.26
MODISNME,EQ,17-05-2021,55.05,56.9,56.9,53.5,54.0,54.45,54.29,"37,826","20,53,419.40",775,"25,183",66.58
MODISNME,EQ,18-05-2021,54.45,56.95,56.95,54.2,56.75,56.4,55.9,"21,082","11,78,499.10",378,"15,057",71.42
MODISNME,EQ,19-05-2021,56.4,56.9,57.5,55.5,56.25,55.85,56.31,"31,155","17,54,440.35",420,"20,035",64.31
MODISNME,EQ,20-05-2021,55.85,57.0,57.0,53.65,54.8,54.35,54.9,"1,41,237","77,53,909.90",633,"27,147",19.22
MODISNME,EQ,21-05-2021,54.35,57.9,57.9,53.5,55.5,55.45,54.98,"58,389","32,10,131.95",570,"25,945",44.43
MODISNME,EQ,24-05-2021,55.45,54.65,58.75,54.65,58.0,57.95,57.01,"59,814","34,09,757.85",650,"47,231",78.96
MODISNME,EQ,25-05-2021,57.95,57.9,58.95,56.55,58.7,58.65,58.48,"38,162","22,31,744.90",848,"27,075",70.95
MODISNME,EQ,26-05-2021,58.65,58.1,60.0,57.5,59.5,59.45,59.35,"61,957","36,77,340.00",589,"44,063",71.12
MODISNME,EQ,27-05-2021,59.45,59.9,65.0,59.4,63.0,63.4,62.8,"2,76,298","1,73,50,609.10","2,522","1,86,272",67.42
MODISNME,EQ,28-05-2021,63.4,65.0,66.0,60.3,62.8,62.1,62.51,"1,27,091","79,44,451.45","1,239","1,05,010",82.63
MODISNME,EQ,31-05-2021,62.1,64.0,66.8,62.15,63.65,63.4,64.44,"3,35,085","2,15,91,698.55","3,053","1,81,881",54.28
