SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
MON50EQUAL,EQ,07-05-2025,30.07,30.22,30.24,30.03,30.24,30.22,30.18,414,"12,495.28",16,409,98.79
MON50EQUAL,EQ,08-05-2025,30.22,30.15,30.19,29.97,29.97,29.97,30.13,411,"12,382.37",12,332,80.78
MON50EQUAL,EQ,09-05-2025,29.97,29.97,30.28,29.78,29.86,29.86,29.87,164,"4,899.10",11,145,88.41
MON50EQUAL,EQ,12-05-2025,29.86,30.57,30.79,30.56,30.79,30.79,30.62,9,275.57,7,9,100.0
MON50EQUAL,EQ,13-05-2025,30.79,30.79,30.85,30.6,30.6,30.6,30.63,"1,944","59,547.45",12,"1,944",100.0
MON50EQUAL,EQ,14-05-2025,30.6,32.92,32.92,30.6,30.6,30.6,30.68,402,"12,335.24",13,402,100.0
MON50EQUAL,EQ,15-05-2025,30.6,30.6,31.28,30.59,31.28,31.28,30.95,124,"3,837.89",5,124,100.0
MON50EQUAL,EQ,16-05-2025,31.28,32.02,32.02,31.06,31.27,31.27,31.23,366,"11,429.12",17,344,93.99
MON50EQUAL,EQ,19-05-2025,31.27,33.26,33.26,31.19,31.22,31.22,31.46,370,"11,638.53",18,363,98.11
MON50EQUAL,EQ,20-05-2025,31.22,31.36,31.36,30.89,30.89,30.89,30.9,209,"6,458.56",9,209,100.0
MON50EQUAL,EQ,21-05-2025,30.89,32.0,32.57,30.89,31.23,31.03,31.08,47,"1,460.85",10,45,95.74
MON50EQUAL,EQ,22-05-2025,31.03,31.65,31.65,30.47,30.88,30.86,30.72,"1,031","31,669.74",21,773,74.98
MON50EQUAL,EQ,23-05-2025,30.86,30.93,31.25,30.93,31.21,31.21,31.06,30,931.66,3,18,60.0
MON50EQUAL,EQ,26-05-2025,31.21,31.28,31.36,31.06,31.28,31.28,31.29,"2,375","74,315.97",14,"2,249",94.69
MON50EQUAL,EQ,27-05-2025,31.28,31.43,31.43,31.1,31.15,31.15,31.17,187,"5,829.31",12,185,98.93
MON50EQUAL,EQ,28-05-2025,31.15,31.34,31.34,30.88,31.12,31.0,31.18,20,623.65,8,19,95.0
MON50EQUAL,EQ,29-05-2025,31.0,31.0,31.18,31.0,31.18,31.13,31.05,313,"9,718.49",11,312,99.68
MON50EQUAL,EQ,30-05-2025,31.13,31.13,31.13,30.92,30.94,30.93,30.98,190,"5,885.43",13,190,100.0
MON50EQUAL,EQ,02-06-2025,30.93,30.93,30.95,30.16,30.95,30.95,30.73,"1,990","61,145.56",18,"1,800",90.45
MON50EQUAL,EQ,03-06-2025,30.95,30.95,30.95,30.63,30.69,30.7,30.73,"3,066","94,220.93",33,"2,916",95.11
MON50EQUAL,EQ,04-06-2025,30.7,30.7,30.79,30.69,30.78,30.78,30.76,"1,095","33,680.58",10,"1,095",100.0
MON50EQUAL,EQ,05-06-2025,30.78,30.78,31.01,30.78,30.92,30.92,30.94,742,"22,954.39",11,738,99.46
MON50EQUAL,EQ,06-06-2025,30.92,30.92,31.25,30.79,31.2,31.2,31.1,"8,038","2,49,972.34",17,"6,038",75.12
MON50EQUAL,EQ,09-06-2025,31.2,31.35,31.67,31.35,31.5,31.5,31.56,205,"6,469.62",10,183,89.27
MON50EQUAL,EQ,10-06-2025,31.5,31.61,31.64,31.49,31.58,31.58,31.57,708,"22,352.52",20,345,48.73
MON50EQUAL,EQ,11-06-2025,31.58,31.6,31.74,31.6,31.66,31.66,31.74,"7,813","2,47,946.02",9,"7,713",98.72
MON50EQUAL,EQ,12-06-2025,31.66,31.81,31.81,31.19,31.2,31.2,31.27,"1,558","48,721.11",26,"1,557",99.94
MON50EQUAL,EQ,13-06-2025,31.2,31.2,31.41,30.87,31.41,31.41,30.94,218,"6,745.62",15,172,78.9
MON50EQUAL,EQ,16-06-2025,31.41,32.05,32.05,31.13,31.43,31.43,31.55,71,"2,240.31",14,63,88.73
MON50EQUAL,EQ,17-06-2025,31.43,31.43,31.43,31.2,31.25,31.25,31.2,"6,058","1,89,016.75",12,"6,001",99.06
MON50EQUAL,EQ,18-06-2025,31.25,31.25,31.42,31.2,31.24,31.24,31.26,171,"5,344.91",14,153,89.47
MON50EQUAL,EQ,19-06-2025,31.24,31.32,31.32,31.18,31.26,31.26,31.24,70,"2,187.07",11,70,100.0
MON50EQUAL,EQ,20-06-2025,31.26,31.41,31.45,31.04,31.4,31.4,31.32,"1,211","37,922.87",14,"1,132",93.48
MON50EQUAL,EQ,23-06-2025,31.4,31.4,31.57,31.21,31.49,31.49,31.51,265,"8,350.97",15,257,96.98
MON50EQUAL,EQ,24-06-2025,31.49,31.52,31.9,31.52,31.62,31.56,31.62,223,"7,050.59",8,168,75.34
MON50EQUAL,EQ,25-06-2025,31.56,31.62,31.78,31.62,31.76,31.76,31.78,979,"31,112.43",9,979,100.0
MON50EQUAL,EQ,26-06-2025,31.76,31.9,31.99,31.76,31.99,31.99,31.95,"3,242","1,03,584.62",10,"3,200",98.7
MON50EQUAL,EQ,30-06-2025,31.99,32.14,32.17,32.01,32.13,32.13,32.13,278,"8,931.30",10,258,92.81
MON50EQUAL,EQ,01-07-2025,32.13,32.13,32.14,32.03,32.14,32.13,32.12,"9,099","2,92,271.54",19,"9,069",99.67
MON50EQUAL,EQ,02-07-2025,32.13,32.13,32.32,32.0,32.06,32.06,32.06,117,"3,750.90",16,117,100.0
MON50EQUAL,EQ,03-07-2025,32.06,32.24,32.24,32.06,32.08,32.08,32.07,"1,175","37,676.98",13,"1,000",85.11
MON50EQUAL,EQ,04-07-2025,32.08,32.08,32.11,31.86,32.11,32.11,31.92,"2,940","93,848.45",22,"2,201",74.86
MON50EQUAL,EQ,07-07-2025,32.11,32.11,32.11,32.04,32.04,32.04,32.08,176,"5,646.65",13,176,100.0
MON50EQUAL,EQ,08-07-2025,32.04,32.04,32.04,31.88,32.04,32.04,31.99,712,"22,774.23",21,710,99.72
MON50EQUAL,EQ,09-07-2025,32.04,32.04,32.11,31.92,32.09,32.09,32.02,294,"9,414.61",15,261,88.78
