SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
MOS,ST,18-04-2023,76.0,90.0,94.5,90.0,94.5,94.5,90.56,"36,04,800","32,64,46,320.00","1,417","36,00,000",99.87
MOS,ST,19-04-2023,94.5,95.0,99.2,89.8,98.95,98.85,94.56,"11,29,600","10,68,12,400.00",412,"9,21,600",81.59
MOS,ST,20-04-2023,98.85,95.7,97.6,93.9,95.0,95.25,94.83,"3,00,800","2,85,25,280.00",122,"2,81,600",93.62
MOS,ST,21-04-2023,95.25,94.1,96.25,93.0,95.5,95.25,95.16,"2,38,400","2,26,86,000.00",86,"2,32,000",97.32
MOS,ST,24-04-2023,95.25,95.5,100.0,95.0,100.0,100.0,98.91,"2,20,800","2,18,38,480.00",110,"2,16,000",97.83
MOS,ST,25-04-2023,100.0,105.0,105.0,100.0,105.0,104.85,104.81,"2,32,000","2,43,16,960.00",105,"2,19,200",94.48
MOS,ST,26-04-2023,104.85,105.0,110.05,101.6,110.05,110.05,108.36,"2,59,200","2,80,87,360.00",134,"2,20,800",85.19
MOS,ST,27-04-2023,110.05,112.0,115.55,112.0,115.55,115.55,115.1,"3,34,400","3,84,88,560.00",141,"2,86,400",85.65
MOS,ST,28-04-2023,115.55,120.9,120.9,110.1,110.1,111.75,115.75,"2,22,400","2,57,43,600.00",127,"2,04,800",92.09
MOS,ST,02-05-2023,111.75,107.3,116.5,107.3,114.5,114.45,114.52,"76,800","87,95,200.00",46,"72,000",93.75
MOS,SM,03-05-2023,114.45,114.45,115.8,108.0,108.0,109.4,111.32,"91,200","1,01,52,720.00",55,"68,800",75.44
MOS,SM,04-05-2023,109.4,109.2,115.1,103.8,110.0,112.4,110.81,"2,06,400","2,28,70,960.00",108,"84,800",41.09
MOS,SM,05-05-2023,112.4,111.9,111.95,102.0,102.0,103.95,106.43,"1,53,600","1,63,46,880.00",68,"1,18,400",77.08
MOS,SM,08-05-2023,103.95,104.8,107.0,103.0,103.0,103.9,105.31,"57,600","60,66,080.00",33,"52,800",91.67
MOS,SM,09-05-2023,103.9,106.9,106.9,98.8,103.0,101.75,103.06,"92,800","95,63,920.00",58,"81,600",87.93
MOS,SM,10-05-2023,101.75,101.35,102.0,98.8,101.25,101.05,100.24,"25,600","25,66,240.00",14,"24,000",93.75
MOS,SM,11-05-2023,101.05,101.0,107.4,100.7,105.0,103.4,104.02,"1,31,200","1,36,47,520.00",50,"75,200",57.32
MOS,SM,12-05-2023,103.4,105.0,118.0,102.75,112.5,112.3,112.67,"4,30,400","4,84,93,840.00",208,"2,33,600",54.28
MOS,SM,15-05-2023,112.3,113.0,117.55,113.0,114.4,113.75,114.92,"1,88,800","2,16,97,040.00",84,"1,40,800",74.58
MOS,SM,16-05-2023,113.75,112.75,114.0,107.6,107.6,108.1,111.84,"1,60,000","1,78,93,760.00",73,"1,12,000",70.0
MOS,SM,17-05-2023,108.1,110.0,110.5,107.45,108.1,108.05,108.5,"60,800","65,96,560.00",38,"38,400",63.16
MOS,SM,18-05-2023,108.05,110.05,110.05,106.0,106.0,106.0,107.88,"75,200","81,12,720.00",41,"41,600",55.32
MOS,SM,19-05-2023,106.0,106.5,108.95,106.5,107.15,107.15,107.96,"97,600","1,05,37,280.00",39,"33,600",34.43
MOS,SM,22-05-2023,107.15,108.8,108.8,106.0,106.0,106.0,106.71,"28,800","30,73,200.00",16,"12,800",44.44
MOS,SM,23-05-2023,106.0,105.05,106.7,104.0,105.0,104.9,104.93,"72,000","75,54,880.00",23,"68,800",95.56
