SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
MACMILLAN,EQ,24-01-2002,232.0,192.5,193.0,192.5,193.0,193.0,192.75,20,"3,855.00",-,-,-
MACMILLAN,EQ,25-01-2002,193.0,204.0,230.0,204.0,230.0,230.0,228.76,21,"4,804.00",-,20,95.24
MACMILLAN,EQ,28-01-2002,230.0,232.0,235.0,230.0,235.0,235.0,233.46,130,"30,350.00",-,130,100.00
MACMILLAN,EQ,29-01-2002,235.0,245.0,245.0,230.0,230.0,230.0,236.66,190,"44,965.00",-,190,100.00
MACMILLAN,EQ,30-01-2002,230.0,229.0,229.0,210.0,229.0,229.0,224.0,112,"25,088.00",-,62,55.36
MACMILLAN,EQ,01-02-2002,229.0,229.0,229.0,229.0,229.0,229.0,229.0,1,229.00,-,1,100.00
MACMILLAN,EQ,05-02-2002,229.0,258.0,258.0,230.1,230.1,230.1,235.72,50,"11,786.00",-,40,80.00
MACMILLAN,EQ,06-02-2002,230.1,226.0,226.0,215.5,215.5,217.6,221.49,195,"43,191.00",-,155,79.49
MACMILLAN,EQ,07-02-2002,217.6,238.0,238.0,238.0,238.0,238.0,238.0,2,476.00,-,2,100.00
MACMILLAN,EQ,12-02-2002,238.0,225.0,225.0,225.0,225.0,225.0,225.0,20,"4,500.00",-,20,100.00
MACMILLAN,EQ,13-02-2002,225.0,223.0,240.0,220.0,240.0,240.0,220.17,985,"2,16,870.00",-,985,100.00
MACMILLAN,EQ,14-02-2002,240.0,230.0,230.0,223.2,223.2,223.2,224.15,26,"5,828.00",-,26,100.00
MACMILLAN,EQ,15-02-2002,223.2,226.0,232.0,220.0,220.0,223.05,225.77,501,"1,13,113.25",-,481,96.01
MACMILLAN,EQ,19-02-2002,223.05,245.0,245.0,220.0,220.0,220.0,221.02,101,"22,323.00",-,100,99.01
MACMILLAN,EQ,20-02-2002,220.0,220.0,220.0,220.0,220.0,220.0,220.0,100,"22,000.00",-,-,-
MACMILLAN,EQ,21-02-2002,220.0,220.0,228.0,220.0,228.0,228.0,221.29,31,"6,860.00",-,26,83.87
MACMILLAN,EQ,25-02-2002,228.0,220.0,230.0,220.0,230.0,230.0,221.11,"1,120","2,47,640.00",-,"1,010",90.18
MACMILLAN,EQ,28-02-2002,230.0,222.0,222.0,216.0,216.0,216.6,216.6,100,"21,660.00",-,100,100.00
MACMILLAN,EQ,04-03-2002,216.6,229.7,229.7,220.0,220.0,220.0,222.02,32,"7,104.70",-,31,96.88
MACMILLAN,EQ,05-03-2002,220.0,220.0,221.0,220.0,221.0,221.0,220.01,"1,110","2,44,210.00",-,"1,110",100.00
MACMILLAN,EQ,06-03-2002,221.0,255.0,255.0,224.0,224.0,224.0,236.8,50,"11,840.00",-,30,60.00
MACMILLAN,EQ,07-03-2002,224.0,224.0,224.0,216.25,216.25,216.25,220.9,25,"5,522.50",-,25,100.00
MACMILLAN,EQ,11-03-2002,216.25,223.0,223.0,223.0,223.0,223.0,223.0,100,"22,300.00",-,-,-
MACMILLAN,EQ,12-03-2002,223.0,224.0,231.0,224.0,231.0,231.0,229.32,145,"33,252.00",-,185,75.51
