SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
MRPL,EQ,01-01-1996,29.85,29.85,29.95,29.5,-,29.6,29.72,"16,300","4,84,400.00",-,-,-
MRPL,EQ,02-01-1996,29.60,29.6,30.0,29.25,-,29.95,29.52,"38,700","11,42,385.00",-,-,-
MRPL,EQ,03-01-1996,29.95,29.95,29.95,29.55,-,29.7,29.71,"21,700","6,44,620.00",-,-,-
MRPL,EQ,04-01-1996,29.70,29.7,29.85,29.5,-,29.85,29.65,"20,700","6,13,715.00",-,-,-
MRPL,EQ,05-01-1996,29.85,29.85,30.45,29.5,-,29.75,29.76,"42,300","12,58,695.00",-,-,-
MRPL,EQ,08-01-1996,29.75,29.75,29.8,29.4,-,29.55,29.57,"34,800","10,29,180.00",-,-,-
MRPL,EQ,09-01-1996,29.55,29.55,29.6,29.1,-,29.35,29.4,"31,600","9,29,010.00",-,-,-
MRPL,EQ,10-01-1996,29.35,29.35,29.6,29.05,-,29.3,29.34,"27,900","8,18,720.00",-,-,-
MRPL,EQ,11-01-1996,29.30,29.3,29.5,28.85,-,29.3,29.13,"21,500","6,26,400.00",-,-,-
MRPL,EQ,12-01-1996,29.30,29.3,29.7,29.3,-,29.55,29.51,"19,500","5,75,490.00",-,-,-
MRPL,EQ,15-01-1996,29.55,29.55,29.6,29.3,-,29.45,29.43,"17,700","5,20,920.00",-,-,-
MRPL,EQ,16-01-1996,29.45,29.45,29.7,29.1,-,29.1,29.38,"45,900","13,48,405.00",-,-,-
MRPL,EQ,17-01-1996,29.10,29.1,29.5,28.5,-,28.7,28.92,"59,700","17,26,260.00",-,-,-
MRPL,EQ,18-01-1996,28.70,28.7,28.75,27.9,-,28.0,28.11,"39,700","11,15,980.00",-,-,-
MRPL,EQ,19-01-1996,28.00,28.0,28.05,27.05,-,27.35,27.64,"28,000","7,73,990.00",-,-,-
MRPL,EQ,22-01-1996,27.35,27.35,27.75,27.0,-,27.15,27.4,"19,700","5,39,730.00",-,-,-
MRPL,EQ,23-01-1996,27.15,27.15,27.5,27.0,-,27.05,27.16,"30,600","8,31,000.00",-,-,-
MRPL,EQ,24-01-1996,27.05,27.0,27.0,25.55,-,26.0,26.44,"20,900","5,52,510.00",-,-,-
MRPL,EQ,25-01-1996,26.00,25.5,26.5,25.35,-,25.65,25.87,"23,100","5,97,485.00",-,-,-
MRPL,EQ,29-01-1996,25.65,27.0,27.0,25.0,-,25.7,25.37,"29,700","7,53,500.00",-,-,-
MRPL,EQ,30-01-1996,25.70,25.7,27.05,25.75,-,26.1,26.44,"31,700","8,38,245.00",-,-,-
MRPL,EQ,31-01-1996,26.10,26.1,27.25,26.25,-,26.35,26.54,"25,200","6,68,925.00",-,-,-
MRPL,EQ,01-02-1996,26.35,26.35,27.0,26.35,-,26.6,26.66,"50,400","13,43,700.00",-,-,-
MRPL,EQ,02-02-1996,26.60,27.0,28.3,27.0,-,28.05,27.96,"37,800","10,56,735.00",-,-,-
MRPL,EQ,05-02-1996,28.05,28.05,30.9,28.25,-,29.15,29.11,"59,900","17,43,805.00",-,-,-
MRPL,EQ,06-02-1996,29.15,29.15,29.8,28.25,-,28.6,28.89,"50,600","14,61,805.00",-,-,-
MRPL,EQ,07-02-1996,28.60,28.55,29.0,27.5,-,27.7,28.31,"32,600","9,23,015.00",-,-,-
MRPL,EQ,08-02-1996,27.70,27.7,28.35,27.6,-,27.85,27.87,"64,000","17,83,720.00",-,-,-
MRPL,EQ,09-02-1996,27.85,27.85,29.0,28.0,-,28.65,28.55,"82,100","23,44,150.00",-,-,-
MRPL,EQ,12-02-1996,28.65,28.65,31.7,28.5,-,30.75,30.89,"85,300","26,34,770.00",-,-,-
MRPL,EQ,13-02-1996,30.75,30.75,31.0,30.0,-,30.6,30.51,"58,000","17,69,555.00",-,-,-
MRPL,EQ,14-02-1996,30.60,30.6,33.65,32.1,-,32.5,32.58,"1,00,900","32,87,710.00",-,-,-
MRPL,EQ,15-02-1996,32.50,32.5,33.25,31.5,-,32.35,32.43,"1,17,300","38,03,470.00",-,-,-
MRPL,EQ,16-02-1996,32.35,32.35,32.3,31.35,-,31.6,31.74,"63,700","20,21,645.00",-,-,-
MRPL,EQ,19-02-1996,31.60,31.6,31.75,31.0,-,31.2,31.3,"66,000","20,65,760.00",-,-,-
MRPL,EQ,20-02-1996,31.20,31.2,31.0,30.0,-,30.2,30.39,"61,900","18,81,070.00",-,-,-
MRPL,EQ,22-02-1996,30.20,30.2,31.0,29.9,-,30.7,30.56,"56,500","17,26,550.00",-,-,-
MRPL,EQ,23-02-1996,30.70,30.7,31.5,29.85,-,30.0,30.13,"62,800","18,92,355.00",-,-,-
MRPL,EQ,26-02-1996,30.00,30.0,30.5,29.5,-,30.0,30.13,"36,900","11,11,870.00",-,-,-
MRPL,EQ,27-02-1996,30.00,30.0,30.2,29.5,-,29.65,29.72,"46,700","13,88,100.00",-,-,-
MRPL,EQ,28-02-1996,29.65,29.65,30.7,29.75,-,29.85,30.16,"41,800","12,60,825.00",-,-,-
MRPL,EQ,29-02-1996,29.85,29.8,29.8,27.75,-,27.9,28.48,"81,900","23,32,465.00",-,-,-
MRPL,EQ,01-03-1996,27.90,27.9,28.75,28.0,-,28.25,28.28,"60,400","17,08,410.00",-,-,-
MRPL,EQ,04-03-1996,28.25,28.25,28.75,28.05,-,28.35,28.37,"47,600","13,50,630.00",-,-,-
MRPL,EQ,06-03-1996,28.35,28.35,28.45,27.7,-,27.8,27.92,"46,400","12,95,285.00",-,-,-
MRPL,EQ,07-03-1996,27.80,27.8,28.4,27.6,-,27.7,27.93,"49,700","13,87,950.00",-,-,-
MRPL,EQ,08-03-1996,27.70,27.7,28.0,27.0,-,27.6,27.49,"80,500","22,13,050.00",-,-,-
MRPL,EQ,11-03-1996,27.60,27.6,27.75,27.15,-,27.5,27.45,"32,400","8,89,505.00",-,-,-
MRPL,EQ,12-03-1996,27.50,27.5,27.7,27.05,-,27.2,27.28,"56,400","15,38,400.00",-,-,-
MRPL,EQ,13-03-1996,27.20,27.2,27.75,27.25,-,27.65,27.54,"45,500","12,53,080.00",-,-,-
MRPL,EQ,14-03-1996,27.65,27.65,28.0,27.35,-,27.5,27.66,"35,600","9,84,620.00",-,-,-
MRPL,EQ,15-03-1996,27.50,27.5,27.9,27.35,-,27.45,27.49,"36,600","10,06,080.00",-,-,-
MRPL,EQ,18-03-1996,27.45,27.45,27.6,27.1,-,27.2,27.32,"45,000","12,29,535.00",-,-,-
MRPL,EQ,19-03-1996,27.20,27.2,27.25,26.75,-,27.05,27.08,"49,700","13,45,630.00",-,-,-
MRPL,EQ,21-03-1996,27.05,27.25,27.65,27.1,-,27.25,27.37,"42,200","11,54,990.00",-,-,-
MRPL,EQ,22-03-1996,27.25,27.25,27.5,27.0,-,27.25,27.3,"20,800","5,67,760.00",-,-,-
MRPL,EQ,25-03-1996,27.25,27.1,27.5,27.0,-,27.15,27.24,"40,600","11,06,020.00",-,-,-
MRPL,EQ,26-03-1996,27.15,27.15,27.5,27.0,-,27.25,27.25,"67,200","18,31,360.00",-,-,-
MRPL,EQ,27-03-1996,27.25,27.25,27.6,27.2,-,27.35,27.39,"18,500","5,06,675.00",-,-,-
MRPL,EQ,28-03-1996,27.35,27.35,27.75,27.25,-,27.55,27.52,"20,500","5,64,200.00",-,-,-
MRPL,EQ,29-03-1996,27.55,27.55,27.95,27.35,-,27.5,27.55,"31,900","8,78,730.00",-,-,-
MRPL,EQ,01-04-1996,27.50,27.5,30.4,27.95,-,30.4,29.27,"73,000","21,36,930.00",-,-,-
MRPL,EQ,02-04-1996,30.40,30.4,32.75,31.0,-,31.9,31.95,"95,800","30,60,875.00",-,-,-
MRPL,EQ,03-04-1996,31.90,31.9,34.9,32.5,-,32.6,33.14,"1,34,500","44,57,470.00",-,-,-
MRPL,EQ,04-04-1996,32.60,32.6,32.0,31.0,-,31.95,31.67,"71,600","22,67,770.00",-,-,-
MRPL,EQ,08-04-1996,31.95,31.95,32.9,32.0,-,32.25,32.36,"85,500","27,67,085.00",-,-,-
MRPL,EQ,09-04-1996,32.25,32.25,32.6,31.55,-,31.9,32.28,"97,400","31,44,370.00",-,-,-
MRPL,EQ,10-04-1996,31.90,31.9,32.85,32.0,-,32.15,32.3,"49,100","15,85,765.00",-,-,-
MRPL,EQ,11-04-1996,32.15,32.15,32.0,31.1,-,31.75,31.66,"41,200","13,04,570.00",-,-,-
MRPL,EQ,12-04-1996,31.75,31.75,32.25,31.55,-,32.0,31.88,"38,100","12,14,490.00",-,-,-
MRPL,EQ,15-04-1996,32.00,32.0,32.75,32.0,-,32.1,32.31,"29,000","9,37,030.00",-,-,-
MRPL,EQ,16-04-1996,32.10,32.1,32.5,31.75,-,31.85,32.07,"52,200","16,74,005.00",-,-,-
MRPL,EQ,17-04-1996,31.85,32.25,32.6,32.05,-,32.35,32.41,"64,200","20,80,830.00",-,-,-
MRPL,EQ,18-04-1996,32.35,32.35,35.0,32.6,-,33.3,33.46,"1,23,800","41,41,895.00",-,-,-
MRPL,EQ,19-04-1996,33.30,33.3,34.7,33.55,-,33.8,34.23,"1,16,700","39,95,155.00",-,-,-
MRPL,EQ,22-04-1996,33.80,34.0,34.5,32.5,-,33.05,33.31,"90,800","30,24,820.00",-,-,-
MRPL,EQ,23-04-1996,33.05,33.05,33.0,32.25,-,32.5,32.61,"63,500","20,70,590.00",-,-,-
MRPL,EQ,24-04-1996,32.50,32.5,34.0,33.0,-,33.3,33.36,"63,700","21,25,065.00",-,-,-
MRPL,EQ,25-04-1996,33.30,35.0,35.0,32.25,-,32.5,32.97,"76,900","25,35,760.00",-,-,-
MRPL,EQ,26-04-1996,32.50,32.5,33.0,32.0,-,32.65,32.38,"45,800","14,83,065.00",-,-,-
MRPL,EQ,29-04-1996,32.65,32.65,33.0,32.2,-,32.45,32.54,"35,400","11,51,775.00",-,-,-
MRPL,EQ,30-04-1996,32.45,32.45,32.75,32.0,-,32.1,32.3,"63,600","20,54,150.00",-,-,-
MRPL,EQ,01-05-1996,32.10,32.1,33.25,32.25,-,32.65,32.6,"40,000","13,04,055.00",-,-,-
MRPL,EQ,02-05-1996,32.65,32.65,32.75,32.25,-,32.45,32.44,"34,400","11,16,055.00",-,-,-
MRPL,EQ,03-05-1996,32.45,32.5,32.6,32.25,-,32.45,32.42,"31,400","10,17,930.00",-,-,-
MRPL,EQ,06-05-1996,32.45,32.45,32.5,31.9,-,32.25,32.14,"45,100","14,49,385.00",-,-,-
MRPL,EQ,07-05-1996,32.25,32.25,32.45,32.0,-,32.25,32.2,"40,600","13,07,295.00",-,-,-
MRPL,EQ,08-05-1996,32.25,32.25,32.6,32.0,-,32.2,32.16,"47,300","15,21,240.00",-,-,-
MRPL,EQ,09-05-1996,32.20,32.2,32.45,31.75,-,31.85,31.99,"28,900","9,24,555.00",-,-,-
MRPL,EQ,10-05-1996,31.85,31.85,31.75,30.1,-,31.45,31.27,"29,200","9,13,005.00",-,-,-
MRPL,EQ,13-05-1996,31.45,31.85,31.85,30.8,-,31.65,31.44,"26,100","8,20,470.00",-,-,-
MRPL,EQ,14-05-1996,31.65,31.65,32.25,31.1,-,31.3,31.48,"46,200","14,54,325.00",-,-,-
MRPL,EQ,15-05-1996,31.30,31.3,32.0,31.1,-,31.25,31.45,"49,000","15,41,235.00",-,-,-
MRPL,EQ,16-05-1996,31.25,31.25,32.5,31.5,-,31.65,31.91,"78,900","25,17,450.00",-,-,-
MRPL,EQ,17-05-1996,31.65,31.65,31.7,30.8,-,31.15,31.23,"60,700","18,95,840.00",-,-,-
