SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
MUNISH,ST,08-10-2025,96.0,105.0,110.25,102.0,110.25,110.25,105.31,"33,85,200","35,64,83,820.00","1,304","33,81,600",99.89
MUNISH,ST,09-10-2025,110.25,115.75,115.75,115.75,115.75,115.75,115.75,373200,431.98,94, 373200,100.0
MUNISH,ST,10-10-2025,115.75,121.5,121.5,121.5,121.5,121.5,121.5,336000,408.24,18, 336000,100.0
MUNISH,ST,13-10-2025,121.5,119.0,127.55,115.45,126.9,125.95,124.09,748800,929.19,381, 715200,95.51
MUNISH,ST,14-10-2025,125.95,132.2,132.2,132.2,132.2,132.2,132.2,112800,149.12,33, 112800,100.0
MUNISH,ST,15-10-2025,132.2,138.8,138.8,128.05,130.0,131.75,136.48,276000,376.67,113, 264000,95.65
MUNISH,ST,16-10-2025,131.75,129.0,136.1,125.2,135.95,134.9,132.44,241200,319.44,160, 200400,83.08
MUNISH,ST,17-10-2025,134.9,132.0,135.0,132.0,134.95,134.1,133.87,34800,46.59,27, 32400,93.1
MUNISH,ST,20-10-2025,134.1,136.0,136.0,128.15,134.95,134.8,131.01,78000,102.19,59, 68400,87.69
MUNISH,ST,21-10-2025,134.8,134.0,137.95,133.15,135.0,137.05,136.94,33600,46.01,23, 28800,85.71
MUNISH,ST,23-10-2025,137.05,142.9,143.0,133.5,133.5,134.5,137.83,183600,253.05,145, 158400,86.27
MUNISH,SM,24-10-2025,134.5,133.0,133.85,127.0,132.95,130.25,129.01,64800,83.6,51, 57600,88.89
MUNISH,SM,27-10-2025,130.25,133.5,133.5,121.05,127.0,124.85,126.69,103200,130.74,74, 70800,68.6
MUNISH,SM,28-10-2025,124.85,124.85,125.0,115.1,124.95,123.6,121.23,73200,88.74,60, 46800,63.93
MUNISH,SM,29-10-2025,123.6,124.75,124.75,120.0,124.0,121.5,121.79,103200,125.69,63, 81600,79.07
MUNISH,SM,30-10-2025,121.5,123.0,132.5,123.0,129.0,129.15,128.5,140400,180.41,96, 82800,58.97
MUNISH,SM,31-10-2025,129.15,133.0,134.95,129.0,131.0,131.3,132.2,127200,168.16,93, 64800,50.94
MUNISH,SM,03-11-2025,131.3,130.0,132.7,125.0,132.3,130.4,128.9,66000,85.07,48, 46800,70.91
MUNISH,SM,04-11-2025,130.4,130.4,131.95,127.1,129.8,129.15,129.3,31200,40.34,26, 21600,69.23
MUNISH,SM,06-11-2025,129.15,132.0,132.0,126.55,129.0,129.0,129.13,26400,34.09,11, 24000,90.91
MUNISH,SM,07-11-2025,129.0,126.0,128.0,119.0,120.0,120.0,122.96,93600,115.09,69, 69600,74.36
MUNISH,SM,10-11-2025,120.0,124.9,124.9,114.1,118.2,116.65,117.49,224400,263.65,101, 177600,79.14
MUNISH,SM,11-11-2025,116.65,118.0,123.0,112.8,112.8,114.2,116.49,55200,64.3,45, 45600,82.61
MUNISH,SM,12-11-2025,114.2,113.05,116.0,101.0,115.95,112.8,107.48,260400,279.88,179, 158400,60.83
MUNISH,SM,13-11-2025,112.8,115.0,120.0,115.0,118.3,117.95,117.12,76800,89.95,45, 66000,85.94
MUNISH,SM,14-11-2025,117.95,121.0,121.0,112.0,112.0,112.3,114.88,33600,38.6,26, 22800,67.86
MUNISH,SM,17-11-2025,112.3,112.65,115.0,110.0,114.2,110.5,111.89,50400,56.39,35, 33600,66.67
MUNISH,SM,18-11-2025,110.5,112.3,112.3,105.0,106.6,106.6,107.46,43200,46.42,34, 28800,66.67
MUNISH,SM,19-11-2025,106.6,106.6,108.0,102.1,105.35,106.95,105.21,76800,80.8,37, 57600,75.0
MUNISH,SM,20-11-2025,106.95,104.0,114.0,104.0,113.0,111.65,110.8,163200,180.82,130, 127200,77.94
MUNISH,SM,21-11-2025,111.65,110.0,110.0,102.0,106.0,104.9,104.85,156000,163.56,96, 106800,68.46
MUNISH,SM,24-11-2025,104.9,104.9,104.9,100.5,103.65,102.7,102.29,40800,41.73,32, 30000,73.53
MUNISH,SM,25-11-2025,102.7,103.65,109.95,103.65,109.05,109.15,108.04,67200,72.61,53, 42000,62.5
MUNISH,SM,26-11-2025,109.15,116.9,116.9,110.0,112.0,112.3,111.29,49200,54.75,27, 40800,82.93
MUNISH,SM,27-11-2025,112.3,113.5,114.0,110.5,112.5,111.6,111.59,45600,50.88,29, 36000,78.95
MUNISH,SM,28-11-2025,111.6,115.0,115.0,108.0,110.0,109.25,110.76,72000,79.75,52, 45600,63.33
MUNISH,SM,01-12-2025,109.25,111.0,112.45,108.0,109.0,109.0,109.82,21600,23.72,18, 18000,83.33
MUNISH,SM,02-12-2025,109.0,109.5,112.0,109.0,109.0,109.1,109.83,15600,17.13,11, 15600, 100.00
