SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
MUTHOOTMF,EQ,26-12-2023,291.0,275.3,281.0,265.5,265.95,266.15,272.13,"1,00,30,858","2,72,97,20,852.65","1,71,724","47,51,657",47.37
MUTHOOTMF,EQ,27-12-2023,266.15,268.45,272.0,262.75,263.9,263.95,266.5,"28,70,603","76,50,25,197.40","93,548","14,59,737",50.85
MUTHOOTMF,EQ,28-12-2023,263.95,265.0,266.0,255.25,255.65,255.7,258.86,"15,13,355","39,17,50,830.10","58,316","9,30,781",61.5
MUTHOOTMF,EQ,29-12-2023,255.7,255.7,258.0,250.4,250.95,251.15,252.91,"13,34,467","33,75,02,456.55","42,387","7,35,023",55.08
MUTHOOTMF,EQ,01-01-2024,251.15,251.5,256.95,251.5,254.5,254.35,255.42,"6,85,885","17,51,89,446.35","14,249","3,52,048",51.33
MUTHOOTMF,EQ,02-01-2024,254.35,254.4,255.45,250.15,252.2,252.35,252.37,"5,86,376","14,79,83,296.75","17,499","3,30,884",56.43
MUTHOOTMF,EQ,03-01-2024,252.35,253.5,256.35,251.2,252.6,252.85,253.85,"5,12,955","13,02,13,313.25","11,889","2,76,690",53.94
MUTHOOTMF,EQ,04-01-2024,252.85,253.95,255.0,250.2,251.95,251.2,252.81,"6,76,064","17,09,14,633.75","13,005","4,48,769",66.38
MUTHOOTMF,EQ,05-01-2024,251.2,252.3,253.85,251.0,251.55,251.75,252.28,"3,86,482","9,75,01,323.75","12,642","2,47,006",63.91
MUTHOOTMF,EQ,08-01-2024,251.75,251.75,252.9,247.6,247.8,248.15,248.91,"6,20,984","15,45,71,100.20","17,137","3,93,046",63.29
MUTHOOTMF,EQ,09-01-2024,248.15,249.1,249.65,241.25,241.6,241.5,243.54,"10,20,080","24,84,30,492.60","22,108","7,79,654",76.43
MUTHOOTMF,EQ,10-01-2024,241.5,242.05,243.25,240.0,241.75,241.6,241.32,"3,98,430","9,61,50,166.00","11,674","2,34,772",58.92
MUTHOOTMF,EQ,11-01-2024,241.6,242.1,244.4,240.1,240.6,240.5,241.77,"4,66,942","11,28,92,305.10","12,919","3,07,360",65.82
MUTHOOTMF,EQ,12-01-2024,240.5,241.05,243.55,240.25,240.9,241.2,241.58,"4,23,208","10,22,40,492.95","12,315","2,57,839",60.92
MUTHOOTMF,EQ,15-01-2024,241.2,241.95,243.4,240.0,240.4,240.3,241.19,"6,62,157","15,97,03,038.40","15,872","2,84,540",42.97
MUTHOOTMF,EQ,16-01-2024,240.3,240.0,240.75,235.0,235.5,235.65,237.43,"8,88,289","21,09,07,519.50","21,433","4,97,219",55.97
MUTHOOTMF,EQ,17-01-2024,235.65,233.95,237.7,232.2,233.0,233.1,234.46,"4,82,505","11,31,27,792.45","13,964","2,61,189",54.13
MUTHOOTMF,EQ,18-01-2024,233.1,232.9,234.2,227.45,230.3,230.2,230.69,"4,40,588","10,16,37,368.60","10,778","2,34,977",53.33
MUTHOOTMF,EQ,19-01-2024,230.2,231.65,233.8,230.5,230.7,231.05,231.92,"2,63,127","6,10,25,441.20","8,315","1,32,071",50.19
MUTHOOTMF,EQ,20-01-2024,231.05,232.0,241.7,230.5,238.0,237.4,234.66,"4,26,353","10,00,47,033.50","10,073","2,31,703",54.35
