SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
NEELAM,ST,18-11-2024,24.0,40.05,40.05,38.05,38.05,38.05,39.42,"20,52,000","8,08,80,600.00",282,"20,40,000",99.42
NEELAM,ST,19-11-2024,38.05,36.15,39.95,36.15,39.95,39.95,38.41,"11,16,000","4,28,64,600.00",128,"10,92,000",97.85
NEELAM,ST,21-11-2024,39.95,41.9,41.9,41.9,41.9,41.9,41.9,"2,16,000","90,50,400.00",33,"2,04,000",94.44
NEELAM,ST,22-11-2024,41.9,42.0,43.95,42.0,43.95,43.95,43.43,"5,46,000","2,37,15,300.00",82,"5,16,000",94.51
NEELAM,ST,25-11-2024,43.95,46.1,46.1,46.1,46.1,46.1,46.1,"1,20,000","55,32,000.00",19,"1,20,000",100.0
NEELAM,ST,26-11-2024,46.1,48.35,48.4,46.5,48.4,48.4,48.1,"1,26,000","60,60,900.00",21,"1,20,000",95.24
NEELAM,ST,27-11-2024,48.4,50.8,50.8,50.0,50.8,50.8,50.77,"4,32,000","2,19,33,000.00",58,"3,96,000",91.67
NEELAM,ST,28-11-2024,50.8,53.3,53.3,48.3,48.3,48.3,52.11,"2,82,000","1,46,96,100.00",39,"2,76,000",97.87
NEELAM,ST,29-11-2024,48.3,45.9,50.7,45.9,50.25,50.5,47.13,"5,76,000","2,71,44,600.00",91,"5,28,000",91.67
NEELAM,ST,02-12-2024,50.5,50.4,53.0,50.4,51.5,51.9,52.04,"2,10,000","1,09,29,300.00",33,"2,04,000",97.14
NEELAM,SM,03-12-2024,51.9,54.0,62.25,52.6,62.25,62.25,59.21,"7,44,000","4,40,50,800.00",118,"3,30,000",44.35
NEELAM,SM,04-12-2024,62.25,69.5,74.4,64.0,66.15,67.7,68.25,"8,88,000","6,06,04,800.00",146,"3,84,000",43.24
NEELAM,SM,05-12-2024,67.7,67.65,68.5,64.8,68.5,68.15,67.23,"2,94,000","1,97,66,400.00",48,"1,50,000",51.02
NEELAM,ST,06-12-2024,68.15,68.0,68.0,64.75,64.75,64.75,65.01,"84,000","54,61,200.00",14,"84,000",100.0
NEELAM,ST,09-12-2024,64.75,61.55,61.6,61.55,61.55,61.55,61.57,"30,000","18,47,100.00",5,"30,000",100.0
NEELAM,ST,10-12-2024,61.55,58.5,58.5,58.5,58.5,58.5,58.5,"18,000","10,53,000.00",3,"18,000",100.0
NEELAM,ST,11-12-2024,58.5,55.6,55.6,55.6,55.6,55.6,55.6,"48,000","26,68,800.00",8,"48,000",100.0
NEELAM,ST,12-12-2024,55.6,52.85,52.85,52.85,52.85,52.85,52.85,"2,10,000","1,10,98,500.00",29,"2,10,000",100.0
NEELAM,ST,13-12-2024,52.85,50.2,55.45,50.2,55.45,55.45,51.8,"1,14,000","59,05,200.00",18,"1,14,000",100.0
NEELAM,ST,16-12-2024,55.45,57.0,58.2,56.0,58.2,58.2,57.32,"1,20,000","68,78,400.00",19,"1,14,000",95.0
NEELAM,ST,17-12-2024,58.2,56.1,56.1,55.3,55.3,55.3,55.58,"54,000","30,01,500.00",9,"54,000",100.0
NEELAM,ST,18-12-2024,55.3,53.95,56.8,52.55,56.8,56.05,53.5,"1,08,000","57,77,700.00",17,"1,08,000",100.0
NEELAM,ST,19-12-2024,56.05,55.95,56.0,55.95,56.0,55.95,55.98,"12,000","6,71,700.00",2,"12,000",100.0
NEELAM,ST,20-12-2024,55.95,53.15,56.0,53.15,53.15,53.15,54.47,"96,000","52,29,300.00",16,"90,000",93.75
NEELAM,ST,23-12-2024,53.15,51.05,51.05,50.5,50.5,50.5,50.73,"66,000","33,48,000.00",9,"60,000",90.91
NEELAM,ST,24-12-2024,50.5,50.75,50.75,50.1,50.1,50.1,50.43,"12,000","6,05,100.00",2,"12,000",100.0
NEELAM,ST,26-12-2024,50.1,52.45,52.5,52.0,52.0,52.0,52.32,"18,000","9,41,700.00",3,"18,000",100.0
NEELAM,ST,27-12-2024,52.0,52.0,54.45,52.0,54.45,53.45,52.74,"24,000","12,65,700.00",3,"24,000",100.0
NEELAM,ST,30-12-2024,53.45,55.0,55.0,54.5,54.5,54.5,54.67,"18,000","9,84,000.00",3,"18,000",100.0
NEELAM,ST,31-12-2024,54.5,53.15,57.05,53.15,57.05,57.05,55.1,"12,000","6,61,200.00",2,"12,000",100.0
NEELAM,ST,01-01-2025,57.05,58.9,59.3,55.0,57.85,56.0,56.73,"96,000","54,46,500.00",15,"96,000",100.0
NEELAM,ST,02-01-2025,56.0,56.0,57.55,56.0,57.55,57.55,56.52,"18,000","10,17,300.00",3,"18,000",100.0
NEELAM,ST,03-01-2025,57.55,55.1,57.75,54.8,57.7,57.4,56.33,"54,000","30,42,000.00",9,"48,000",88.89
NEELAM,ST,06-01-2025,57.4,59.0,59.0,57.95,57.95,57.95,58.32,"18,000","10,49,700.00",3,"18,000",100.0
NEELAM,ST,07-01-2025,57.95,59.95,59.95,55.05,58.95,56.05,56.65,"54,000","30,59,100.00",9,"42,000",77.78
NEELAM,ST,08-01-2025,56.05,56.05,56.05,56.05,56.05,56.05,56.05,"6,000","3,36,300.00",1,"6,000",100.0
NEELAM,ST,09-01-2025,56.05,53.7,57.7,53.25,53.25,54.65,54.55,"48,000","26,18,400.00",8,"36,000",75.0
NEELAM,ST,10-01-2025,54.65,52.0,53.4,51.95,53.4,53.4,52.33,"24,000","12,55,800.00",4,"24,000",100.0
NEELAM,ST,13-01-2025,53.4,50.75,50.75,50.75,50.75,50.75,50.75,"24,000","12,18,000.00",4,"18,000",75.0
NEELAM,ST,14-01-2025,50.75,50.75,50.75,50.75,50.75,50.75,50.75,"6,000","3,04,500.00",1,"6,000",100.0
NEELAM,ST,16-01-2025,50.75,48.25,52.9,48.25,52.2,50.6,50.59,"24,000","12,14,100.00",4,"12,000",50.0
NEELAM,ST,17-01-2025,50.6,50.6,52.4,48.1,48.1,48.1,49.48,"54,000","26,71,800.00",7,"54,000",100.0
NEELAM,ST,20-01-2025,48.1,46.15,46.15,45.7,45.7,45.7,45.9,"30,000","13,77,000.00",5,"30,000",100.0
NEELAM,ST,21-01-2025,45.7,47.9,47.9,43.45,43.45,43.45,44.28,"54,000","23,91,000.00",9,"42,000",77.78
NEELAM,ST,22-01-2025,43.45,41.45,41.45,41.3,41.3,41.3,41.36,"24,000","9,92,700.00",4,"24,000",100.0
NEELAM,ST,23-01-2025,41.3,41.5,42.0,41.5,42.0,42.0,41.75,"12,000","5,01,000.00",2,"12,000",100.0
NEELAM,ST,24-01-2025,42.0,41.8,41.8,41.8,41.8,41.8,41.8,"12,000","5,01,600.00",1,"12,000",100.0
NEELAM,ST,27-01-2025,41.8,41.75,41.75,41.75,41.75,41.75,41.75,"6,000","2,50,500.00",1,"6,000",100.0
NEELAM,ST,28-01-2025,41.75,42.0,43.05,39.7,39.7,39.7,40.12,"1,14,000","45,73,500.00",7,"1,14,000",100.0
