SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
UTINEXT50,EQ,08-08-2017,281.0,283.0,284.25,270.0,281.0,281.0,280.24,"10,093","28,28,430.30",154,"9,888",97.97
UTINEXT50,EQ,09-08-2017,281.0,280.4,281.05,242.0,275.5,270.24,275.54,"1,708","4,70,617.80",71,"1,407",82.38
UTINEXT50,EQ,10-08-2017,270.24,276.35,276.45,267.0,267.0,267.46,270.89,"7,051","19,10,034.25",106,"6,570",93.18
UTINEXT50,EQ,11-08-2017,267.46,262.0,270.9,230.2,267.0,267.44,265.97,"5,290","14,06,957.85",106,"5,136",97.09
UTINEXT50,EQ,14-08-2017,267.44,260.0,274.25,255.0,274.2,274.2,273.09,"2,255","6,15,820.55",66,"2,099",93.08
UTINEXT50,EQ,16-08-2017,274.2,276.65,276.65,274.0,275.8,276.02,275.86,"2,331","6,43,035.31",51,"2,331",100.0
UTINEXT50,EQ,17-08-2017,276.02,279.0,280.0,277.0,277.5,277.5,278.32,"3,422","9,52,424.85",45,"2,971",86.82
UTINEXT50,EQ,18-08-2017,277.5,276.25,278.3,275.5,275.5,275.53,275.76,534,"1,47,255.35",23,479,89.7
UTINEXT50,EQ,21-08-2017,275.53,277.85,278.0,271.4,271.4,271.91,275.43,"3,186","8,77,516.12",20,"2,860",89.77
UTINEXT50,EQ,22-08-2017,271.91,273.9,275.0,270.0,272.0,271.56,272.69,"6,044","16,48,122.85",20,482,7.97
UTINEXT50,EQ,23-08-2017,271.56,274.35,274.35,270.9,273.0,273.0,272.54,"1,920","5,23,283.10",58,"1,898",98.85
UTINEXT50,EQ,24-08-2017,273.0,274.95,276.7,274.5,274.5,275.17,275.61,618,"1,70,328.15",26,618,100.0
UTINEXT50,EQ,28-08-2017,275.17,227.0,279.6,226.4,278.5,278.5,277.73,"6,355","17,64,999.50",66,"4,485",70.57
UTINEXT50,EQ,29-08-2017,278.5,280.0,280.0,275.15,276.9,276.68,277.28,"3,613","10,01,824.45",10,"3,060",84.69
UTINEXT50,EQ,30-08-2017,276.68,278.95,280.0,278.5,280.0,279.3,279.55,"2,812","7,86,086.75",52,"2,812",100.0
UTINEXT50,EQ,31-08-2017,279.3,280.0,281.0,279.05,281.0,279.63,279.56,766,"2,14,142.25",20,766,100.0
UTINEXT50,EQ,01-09-2017,279.63,281.1,282.9,281.0,282.0,282.0,281.67,"8,241","23,21,223.80",81,"8,141",98.79
UTINEXT50,EQ,04-09-2017,282.0,282.35,282.9,279.75,282.75,282.54,281.82,"3,571","10,06,394.75",32,"2,977",83.37
UTINEXT50,EQ,05-09-2017,282.54,282.6,284.0,281.3,282.3,282.3,282.45,449,"1,26,818.30",25,417,92.87
UTINEXT50,EQ,06-09-2017,282.3,282.8,283.9,280.5,282.9,282.9,282.53,"5,893","16,64,922.80",75,"5,825",98.85
UTINEXT50,EQ,07-09-2017,282.9,284.9,285.0,283.4,284.5,284.52,284.39,"11,139","31,67,798.10",65,"11,139",100.0
UTINEXT50,EQ,08-09-2017,284.52,286.0,286.0,282.05,284.0,284.18,285.12,"5,955","16,97,883.55",76,"5,444",91.42
UTINEXT50,EQ,11-09-2017,284.18,285.45,285.55,284.0,284.0,284.63,285.19,"4,797","13,68,043.85",46,"4,620",96.31
UTINEXT50,EQ,12-09-2017,284.63,286.25,287.9,284.55,287.75,287.21,286.63,"5,915","16,95,435.90",74,"4,804",81.22
UTINEXT50,EQ,13-09-2017,287.21,288.3,289.5,265.75,287.0,287.0,288.84,"60,838","1,75,72,270.25",78,"55,231",90.78
