SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
NORBTEAEXP,EQ,26-06-1996,-,5.0,5.0,5.0,-,5.0,5.0,300,"1,500.00",-,-,-
NORBTEAEXP,EQ,27-06-1996,5.00,5.45,5.45,5.45,-,5.45,5.45,100,545.00,-,-,-
NORBTEAEXP,EQ,01-07-1996,5.45,5.4,5.4,5.4,-,5.4,5.4,"1,000","5,400.00",-,-,-
NORBTEAEXP,EQ,02-07-1996,5.40,5.2,5.25,5.2,-,5.25,5.2,"2,200","11,450.00",-,-,-
NORBTEAEXP,EQ,03-07-1996,5.25,5.2,5.2,5.2,-,5.2,5.2,100,520.00,-,-,-
NORBTEAEXP,EQ,04-07-1996,5.20,5.2,5.2,5.2,-,5.2,5.2,200,"1,040.00",-,-,-
NORBTEAEXP,EQ,08-07-1996,4.50,5.55,5.55,5.55,-,5.55,5.55,100,555.00,-,-,-
NORBTEAEXP,EQ,09-07-1996,5.55,5.15,5.4,5.15,-,5.25,5.28,"1,200","6,330.00",-,-,-
NORBTEAEXP,EQ,10-07-1996,5.25,5.15,5.15,5.15,-,5.15,5.15,100,515.00,-,-,-
NORBTEAEXP,EQ,11-07-1996,5.15,5.1,5.25,4.9,-,4.9,5.09,"6,300","32,075.00",-,-,-
NORBTEAEXP,EQ,12-07-1996,4.90,5.0,5.25,4.95,-,5.2,5.01,"2,100","10,525.00",-,-,-
NORBTEAEXP,EQ,15-07-1996,5.20,5.25,5.75,5.25,-,5.75,5.34,700,"3,740.00",-,-,-
NORBTEAEXP,EQ,16-07-1996,5.75,5.5,6.0,5.5,-,6.0,5.8,"3,900","22,630.00",-,-,-
NORBTEAEXP,EQ,17-07-1996,6.00,6.0,6.0,5.6,-,5.95,5.92,"4,200","24,875.00",-,-,-
NORBTEAEXP,EQ,18-07-1996,5.95,6.0,6.0,6.0,-,6.0,6.0,"2,200","13,200.00",-,-,-
NORBTEAEXP,EQ,19-07-1996,6.00,5.4,6.5,5.4,-,5.95,5.65,"3,600","20,330.00",-,-,-
NORBTEAEXP,EQ,22-07-1996,5.95,5.5,6.0,5.4,-,6.0,5.62,"4,900","27,540.00",-,-,-
NORBTEAEXP,EQ,23-07-1996,6.00,6.0,6.6,5.5,-,6.6,6.2,"12,300","76,310.00",-,-,-
NORBTEAEXP,EQ,24-07-1996,6.60,6.1,7.2,6.1,-,7.2,6.47,"3,600","23,275.00",-,-,-
NORBTEAEXP,EQ,25-07-1996,7.20,6.8,7.5,6.5,-,7.2,7.06,"8,400","59,340.00",-,-,-
NORBTEAEXP,EQ,26-07-1996,7.20,6.75,7.1,6.65,-,7.05,6.85,"7,100","48,615.00",-,-,-
NORBTEAEXP,EQ,29-07-1996,7.05,6.5,7.75,6.4,-,7.45,7.23,"13,400","96,870.00",-,-,-
NORBTEAEXP,EQ,30-07-1996,7.45,7.2,8.2,7.15,-,7.7,7.38,"19,700","1,45,300.00",-,-,-
NORBTEAEXP,EQ,31-07-1996,7.70,7.45,8.2,7.0,-,7.85,7.55,"42,400","3,20,025.00",-,-,-
NORBTEAEXP,EQ,01-08-1996,7.85,7.9,7.9,7.1,-,7.25,7.18,"9,800","70,400.00",-,-,-
NORBTEAEXP,EQ,02-08-1996,7.25,8.0,8.0,6.75,-,7.05,7.03,"2,700","18,980.00",-,-,-
NORBTEAEXP,EQ,05-08-1996,7.05,6.85,6.9,6.35,-,6.75,6.49,"5,600","36,350.00",-,-,-
NORBTEAEXP,EQ,06-08-1996,6.75,6.4,6.4,6.1,-,6.1,6.11,"17,900","1,09,405.00",-,-,-
NORBTEAEXP,EQ,07-08-1996,6.10,6.1,6.4,6.1,-,6.3,6.15,"6,100","37,545.00",-,-,-
NORBTEAEXP,EQ,08-08-1996,6.30,6.0,6.2,5.7,-,5.75,5.73,"15,100","86,545.00",-,-,-
NORBTEAEXP,EQ,09-08-1996,5.75,5.8,5.9,5.2,-,5.2,5.69,"2,500","14,230.00",-,-,-
NORBTEAEXP,EQ,12-08-1996,5.20,5.2,5.75,5.0,-,5.6,5.36,"5,100","27,330.00",-,-,-
NORBTEAEXP,EQ,13-08-1996,5.60,5.95,5.95,5.6,-,5.8,5.84,"1,600","9,345.00",-,-,-
NORBTEAEXP,EQ,14-08-1996,5.80,5.3,5.8,5.3,-,5.65,5.54,"4,600","25,495.00",-,-,-
NORBTEAEXP,EQ,16-08-1996,5.65,5.7,6.2,5.7,-,6.2,5.83,"4,600","26,840.00",-,-,-
NORBTEAEXP,EQ,19-08-1996,6.20,5.9,5.9,5.8,-,5.85,5.83,"2,100","12,240.00",-,-,-
NORBTEAEXP,EQ,20-08-1996,5.85,5.75,6.0,5.6,-,5.85,5.72,"5,600","32,025.00",-,-,-
NORBTEAEXP,EQ,21-08-1996,5.85,5.65,5.95,5.65,-,5.95,5.78,"1,400","8,090.00",-,-,-
NORBTEAEXP,EQ,22-08-1996,5.95,5.5,6.0,5.5,-,5.95,5.8,"2,800","16,235.00",-,-,-
NORBTEAEXP,EQ,23-08-1996,5.95,5.9,6.3,5.85,-,6.25,6.01,"1,200","7,215.00",-,-,-
NORBTEAEXP,EQ,26-08-1996,6.25,5.8,6.0,5.8,-,6.0,5.83,600,"3,500.00",-,-,-
NORBTEAEXP,EQ,27-08-1996,6.00,6.0,6.0,5.7,-,6.0,5.86,"1,600","9,380.00",-,-,-
NORBTEAEXP,EQ,28-08-1996,6.00,6.0,6.0,5.75,-,5.75,5.88,200,"1,175.00",-,-,-
NORBTEAEXP,EQ,29-08-1996,5.75,5.8,6.0,5.8,-,5.85,5.92,"1,800","10,650.00",-,-,-
NORBTEAEXP,EQ,30-08-1996,5.85,5.8,5.95,5.75,-,5.95,5.81,"1,700","9,870.00",-,-,-
NORBTEAEXP,EQ,02-09-1996,5.95,5.95,6.1,5.85,-,6.1,5.94,"4,200","24,930.00",-,-,-
NORBTEAEXP,EQ,03-09-1996,6.10,5.95,6.0,5.9,-,5.9,5.93,800,"4,740.00",-,-,-
NORBTEAEXP,EQ,04-09-1996,5.90,6.45,6.45,6.0,-,6.45,6.21,"1,700","10,550.00",-,-,-
NORBTEAEXP,EQ,05-09-1996,6.45,5.95,6.2,5.95,-,6.2,5.97,"1,100","6,570.00",-,-,-
NORBTEAEXP,EQ,06-09-1996,6.20,6.3,6.3,6.15,-,6.15,6.18,500,"3,090.00",-,-,-
