SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
NRAIL,EQ,05-04-2017,231.3,236.6,240.0,230.0,234.9,234.6,236.46,"36,631","86,61,599.15",380,"24,309",66.36
NRAIL,EQ,06-04-2017,234.6,236.4,236.95,227.15,229.95,230.4,231.27,"10,250","23,70,494.25",85,"6,751",65.86
NRAIL,EQ,07-04-2017,230.4,223.0,235.0,223.0,233.95,228.45,231.14,"9,830","22,72,070.60",193,"6,559",66.72
NRAIL,EQ,10-04-2017,228.45,232.0,249.0,228.0,243.95,243.2,241.95,"74,700","1,80,73,502.40",751,"52,075",69.71
NRAIL,EQ,11-04-2017,243.2,249.35,290.0,243.95,272.7,273.0,275.94,"1,99,694","5,51,02,794.60","4,892","81,331",40.73
NRAIL,EQ,12-04-2017,273.0,276.45,304.0,263.0,286.25,286.35,291.37,"2,26,339","6,59,48,858.45","5,775","84,997",37.55
NRAIL,EQ,13-04-2017,286.35,286.25,298.0,271.25,288.3,287.65,288.35,"62,810","1,81,11,363.50","2,931","26,333",41.92
NRAIL,EQ,17-04-2017,287.65,288.9,288.9,279.5,286.9,286.0,284.34,"16,710","47,51,241.60",600,"7,619",45.6
NRAIL,EQ,18-04-2017,286.0,287.0,296.9,278.6,281.85,282.25,290.07,"41,165","1,19,40,558.60",773,"31,723",77.06
NRAIL,EQ,19-04-2017,282.25,282.25,285.95,276.65,280.2,280.15,280.89,"10,295","28,91,757.95",357,"5,200",50.51
NRAIL,EQ,20-04-2017,280.15,283.75,285.0,274.05,279.9,278.85,280.32,"15,999","44,84,822.30",324,"11,582",72.39
NRAIL,EQ,21-04-2017,278.85,280.0,284.0,270.65,277.0,275.35,278.2,"17,465","48,58,745.25",547,"9,270",53.08
NRAIL,EQ,24-04-2017,275.35,279.8,280.0,266.05,278.45,278.75,277.42,"26,083","72,35,917.15",643,"18,465",70.79
NRAIL,EQ,25-04-2017,278.75,279.9,285.0,275.0,279.95,278.65,279.53,"17,840","49,86,892.80",456,"11,524",64.6
NRAIL,EQ,26-04-2017,278.65,281.9,288.4,270.0,275.0,275.1,278.69,"18,501","51,56,001.95",701,"10,562",57.09
NRAIL,EQ,27-04-2017,275.1,267.15,276.45,267.0,272.05,271.45,274.25,"7,963","21,83,841.10",176,"6,732",84.54
NRAIL,EQ,28-04-2017,271.45,272.45,278.0,267.5,271.0,270.55,271.22,"8,101","21,97,137.80",272,"5,558",68.61
NRAIL,EQ,02-05-2017,270.55,268.1,279.15,268.1,275.05,277.55,275.84,"18,335","50,57,541.75",651,"13,635",74.37
NRAIL,EQ,03-05-2017,277.55,273.55,280.0,268.0,275.0,276.1,276.51,"17,538","48,49,460.50",767,"11,853",67.58
NRAIL,EQ,04-05-2017,276.1,277.9,280.9,274.0,275.15,275.05,277.57,"16,431","45,60,737.45",808,"11,578",70.46
NRAIL,EQ,05-05-2017,275.05,285.05,288.85,279.15,281.5,281.7,282.55,"49,484","1,39,81,912.95","1,106","36,872",74.51
NRAIL,EQ,08-05-2017,281.7,283.45,304.9,282.0,303.25,300.9,297.22,"84,655","2,51,61,189.25","1,780","57,681",68.14
NRAIL,EQ,09-05-2017,300.9,303.75,333.0,303.75,332.0,328.5,321.24,"2,22,066","7,13,37,237.10","5,811","1,08,298",48.77
NRAIL,EQ,10-05-2017,328.5,326.0,340.0,315.4,327.0,324.2,330.08,"71,080","2,34,62,057.80","2,588","30,921",43.5
NRAIL,EQ,11-05-2017,324.2,328.0,333.0,318.0,323.1,319.85,325.31,"50,893","1,65,55,933.25","3,357","27,031",53.11
NRAIL,EQ,12-05-2017,319.85,328.45,328.45,311.0,314.35,315.7,318.75,"23,657","75,40,600.35","3,098","13,148",55.58
NRAIL,EQ,15-05-2017,315.7,315.7,338.0,314.15,336.0,334.5,331.24,"67,037","2,22,05,311.70","1,741","47,542",70.92
NRAIL,EQ,16-05-2017,334.5,337.8,345.0,320.0,327.7,327.9,336.58,"35,979","1,21,09,779.95","1,271","23,166",64.39
NRAIL,EQ,17-05-2017,327.9,331.9,337.0,320.3,327.9,325.45,326.91,"28,428","92,93,284.30",737,"24,685",86.83
NRAIL,EQ,18-05-2017,325.45,321.0,336.0,320.0,325.0,326.0,329.54,"41,436","1,36,54,906.00","1,049","29,342",70.81
NRAIL,EQ,19-05-2017,326.0,332.7,334.1,293.55,320.0,318.5,317.9,"67,410","2,14,29,969.90","2,140","43,329",64.28
NRAIL,EQ,22-05-2017,318.5,333.7,335.0,295.3,306.0,305.2,311.02,"1,11,329","3,46,25,001.00","4,930","57,585",51.73
NRAIL,EQ,23-05-2017,305.2,301.1,301.55,284.0,291.0,288.45,290.96,"50,789","1,47,77,513.15","1,718","30,551",60.15
NRAIL,EQ,24-05-2017,288.45,292.5,295.0,280.0,280.0,280.75,285.41,"18,921","54,00,253.45",877,"12,488",66.0
NRAIL,EQ,25-05-2017,280.75,280.95,286.0,276.0,285.7,283.4,280.0,"28,678","80,29,708.05",912,"15,438",53.83
NRAIL,EQ,26-05-2017,283.4,289.85,292.0,278.2,285.0,283.9,284.55,"30,043","85,48,738.75",830,"16,383",54.53
NRAIL,EQ,29-05-2017,283.9,289.85,292.5,270.0,272.95,273.4,280.75,"26,983","75,75,603.80","1,212","16,183",59.97
NRAIL,EQ,30-05-2017,273.4,271.75,277.5,269.9,273.15,273.45,274.64,"9,959","27,35,182.70",354,"5,428",54.5
NRAIL,EQ,31-05-2017,273.45,273.45,284.9,273.45,277.0,280.05,280.0,"17,698","49,55,427.80",911,"9,282",52.45
NRAIL,EQ,01-06-2017,280.05,279.85,281.7,274.1,275.05,275.95,278.19,"11,427","31,78,907.20",260,"8,172",71.51
NRAIL,EQ,02-06-2017,275.95,278.75,282.1,274.0,275.7,275.4,278.25,"11,717","32,60,216.60",506,"7,773",66.34
NRAIL,EQ,05-06-2017,275.4,277.65,289.3,272.05,283.25,281.7,279.72,"23,358","65,33,746.80",589,"15,578",66.69
NRAIL,EQ,06-06-2017,281.7,275.55,284.0,275.5,278.5,279.25,279.43,"15,546","43,44,026.50",378,"8,416",54.14
NRAIL,EQ,07-06-2017,279.25,280.0,280.0,276.5,279.0,277.9,278.43,"10,963","30,52,384.45",400,"5,922",54.02
NRAIL,EQ,08-06-2017,277.9,279.95,280.05,275.35,277.0,278.05,278.07,"6,682","18,58,042.50",222,"3,365",50.36
NRAIL,EQ,09-06-2017,278.05,308.0,312.9,296.0,303.9,302.35,302.91,"2,65,930","8,05,53,220.65","7,048","58,444",21.98
NRAIL,EQ,12-06-2017,302.35,305.0,305.75,295.3,298.0,298.45,299.94,"20,596","61,77,488.00",824,"11,351",55.11
NRAIL,EQ,13-06-2017,298.45,298.05,304.15,296.15,299.35,299.2,301.03,"22,553","67,89,198.55","1,043","12,222",54.19
NRAIL,EQ,14-06-2017,299.2,301.75,301.75,292.5,292.55,293.85,295.99,"12,463","36,88,866.90",532,"6,739",54.07
NRAIL,EQ,15-06-2017,293.85,293.05,294.95,286.95,289.0,289.5,290.49,"17,900","51,99,758.70",468,"10,488",58.59
NRAIL,EQ,16-06-2017,289.5,287.55,290.95,285.0,286.1,286.9,287.43,"19,087","54,86,139.20",697,"12,916",67.67
NRAIL,EQ,19-06-2017,286.9,290.7,290.7,282.5,284.0,283.55,284.89,"16,059","45,75,019.20",574,"8,947",55.71
NRAIL,EQ,20-06-2017,283.55,280.0,296.8,280.0,294.0,292.45,289.79,"14,453","41,88,329.60",723,"7,469",51.68
NRAIL,EQ,21-06-2017,292.45,288.05,296.8,288.05,290.05,290.25,293.46,"11,772","34,54,570.85",692,"7,331",62.27
NRAIL,EQ,22-06-2017,290.25,289.0,291.25,287.0,289.4,288.5,289.38,"8,811","25,49,730.50",319,"5,053",57.35
NRAIL,EQ,23-06-2017,288.5,287.5,287.5,276.0,280.7,279.25,280.42,"12,287","34,45,468.65",364,"8,985",73.13
NRAIL,EQ,27-06-2017,279.25,293.95,294.0,274.55,279.8,280.6,280.17,"12,853","36,01,062.90",540,"7,399",57.57
NRAIL,EQ,28-06-2017,280.6,277.6,284.8,277.25,284.3,283.05,281.83,"10,223","28,81,098.60",436,"6,374",62.35
NRAIL,EQ,29-06-2017,283.05,285.3,294.65,283.0,286.15,287.55,290.25,"42,903","1,24,52,494.10","2,245","20,844",48.58
NRAIL,EQ,30-06-2017,287.55,281.0,286.0,278.95,280.0,280.4,282.27,"10,596","29,90,888.20",396,"7,726",72.91
NRAIL,EQ,03-07-2017,280.4,285.0,288.85,280.0,283.85,282.2,284.83,"9,240","26,31,827.25",429,"6,036",65.32
NRAIL,EQ,04-07-2017,282.2,284.65,292.0,284.0,285.1,286.55,287.83,"17,214","49,54,629.60",758,"11,265",65.44
NRAIL,EQ,05-07-2017,286.55,285.05,288.6,283.0,283.7,284.35,284.7,"7,854","22,36,067.45",223,"6,566",83.6
NRAIL,EQ,06-07-2017,284.35,280.2,291.0,280.2,282.7,284.6,285.41,"13,958","39,83,759.95",282,"12,364",88.58
NRAIL,EQ,07-07-2017,284.6,288.9,306.85,280.5,303.0,302.1,299.16,"81,220","2,42,97,382.80","2,223","50,175",61.78
NRAIL,EQ,10-07-2017,302.1,310.8,312.0,304.0,304.0,305.15,305.33,"7,585","23,15,935.25",90,"7,089",93.46
NRAIL,EQ,11-07-2017,305.15,297.0,306.0,296.0,304.3,302.25,301.47,"23,360","70,42,438.05",636,"15,417",66.0
NRAIL,EQ,12-07-2017,302.25,303.15,306.0,296.1,305.0,301.5,301.41,"22,407","67,53,678.35",597,"13,136",58.62
NRAIL,EQ,13-07-2017,301.5,301.5,303.05,295.0,296.0,295.95,299.01,"34,034","1,01,76,353.00",434,"29,538",86.79
NRAIL,EQ,14-07-2017,295.95,293.45,294.55,287.35,287.4,288.7,290.45,"19,302","56,06,226.75",441,"14,535",75.3
NRAIL,EQ,17-07-2017,288.7,288.7,293.05,283.1,283.1,286.6,287.15,"18,548","53,26,001.55",251,"16,958",91.43
NRAIL,EQ,18-07-2017,286.6,293.9,293.9,282.0,286.0,285.55,287.15,"17,085","49,05,934.00",394,"13,427",78.59
NRAIL,EQ,19-07-2017,285.55,290.0,295.0,285.15,288.15,288.7,290.65,"19,426","56,46,165.05",658,"10,010",51.53
NRAIL,EQ,20-07-2017,288.7,289.0,292.0,283.05,286.5,285.45,287.97,"7,360","21,19,442.55",261,"5,296",71.96
NRAIL,EQ,21-07-2017,285.45,286.2,289.9,283.1,286.0,286.15,286.08,"7,889","22,56,915.30",199,"6,728",85.28
NRAIL,EQ,24-07-2017,286.15,282.6,297.35,282.6,291.0,290.5,293.21,"24,020","70,42,933.00",720,"12,854",53.51
NRAIL,EQ,25-07-2017,290.5,305.0,308.0,298.0,299.7,301.45,302.57,"64,914","1,96,40,997.55","1,865","30,046",46.29
NRAIL,EQ,26-07-2017,301.45,304.8,314.0,300.95,307.9,306.35,308.36,"74,351","2,29,26,596.15","2,522","39,603",53.26
NRAIL,EQ,27-07-2017,306.35,308.9,308.9,293.0,300.0,295.6,300.54,"31,103","93,47,596.75","1,204","20,046",64.45
NRAIL,EQ,28-07-2017,295.6,317.7,317.7,302.0,309.3,307.65,307.29,"1,28,065","3,93,53,669.95","3,625","54,043",42.2
