SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
NRVANDANA,ST,04-06-2025,45.0,45.0,46.0,42.75,43.3,43.7,44.7,"23,76,000","10,62,17,400.00",425,"23,70,000",99.75
NRVANDANA,ST,05-06-2025,43.7,43.6,43.6,41.55,41.55,41.55,41.71,"2,04,000","85,08,600.00",59,"1,95,000",95.59
NRVANDANA,ST,06-06-2025,41.55,39.5,39.5,39.5,39.5,39.5,39.5,"48,000","18,96,000.00",16,"48,000",100.0
NRVANDANA,ST,09-06-2025,39.5,37.55,41.45,37.55,41.45,41.45,39.6,"3,30,000","1,30,67,250.00",98,"3,06,000",92.73
NRVANDANA,ST,10-06-2025,41.45,41.0,43.5,41.0,43.5,43.4,42.81,"1,62,000","69,34,800.00",54,"1,59,000",98.15
NRVANDANA,ST,11-06-2025,43.4,43.45,43.5,41.25,41.55,41.55,42.36,"72,000","30,49,650.00",24,"60,000",83.33
NRVANDANA,ST,12-06-2025,41.55,41.25,42.5,40.05,42.0,42.0,41.7,"69,000","28,77,600.00",23,"66,000",95.65
NRVANDANA,ST,13-06-2025,42.0,40.5,40.8,39.9,40.8,40.1,40.04,"1,65,000","66,07,050.00",53,"1,56,000",94.55
NRVANDANA,ST,16-06-2025,40.1,39.8,42.1,39.8,42.1,42.0,41.63,"1,17,000","48,70,650.00",34,"1,17,000",100.0
NRVANDANA,ST,17-06-2025,42.0,41.15,43.0,41.05,43.0,42.85,42.27,"81,000","34,23,600.00",24,"81,000",100.0
NRVANDANA,SM,18-06-2025,42.85,42.0,44.4,42.0,43.6,42.95,42.9,"2,07,000","88,80,450.00",61,"1,05,000",50.72
NRVANDANA,SM,19-06-2025,42.95,43.0,43.45,41.8,43.45,42.85,42.34,"2,34,000","99,07,950.00",51,"1,38,000",58.97
NRVANDANA,SM,20-06-2025,42.85,42.0,43.15,40.0,43.15,41.6,41.19,"1,59,000","65,49,000.00",44,"96,000",60.38
NRVANDANA,SM,23-06-2025,41.6,39.55,41.5,39.55,41.0,41.25,41.39,"81,000","33,52,800.00",27,"78,000",96.3
NRVANDANA,SM,24-06-2025,41.25,41.25,41.25,39.65,39.65,39.85,40.67,"1,71,000","69,55,200.00",31,"1,50,000",87.72
NRVANDANA,SM,25-06-2025,39.85,41.0,42.0,39.25,41.95,41.3,40.74,"1,83,000","74,55,150.00",51,"1,17,000",63.93
NRVANDANA,SM,26-06-2025,41.3,41.0,43.0,40.85,43.0,42.7,42.15,"1,38,000","58,17,150.00",38,"1,14,000",82.61
NRVANDANA,SM,27-06-2025,42.7,41.6,43.0,41.05,41.05,41.85,41.93,"1,38,000","57,86,850.00",45,"84,000",60.87
NRVANDANA,SM,30-06-2025,41.85,41.45,41.75,41.15,41.15,41.25,41.33,"1,11,000","45,87,300.00",37,"33,000",29.73
NRVANDANA,SM,01-07-2025,41.25,40.85,40.85,38.95,39.7,39.3,39.76,"2,73,000","1,08,53,550.00",74,"1,02,000",37.36
NRVANDANA,SM,02-07-2025,39.3,39.6,39.95,37.05,37.4,37.3,37.96,"1,32,000","50,10,150.00",44,"93,000",70.45
NRVANDANA,SM,03-07-2025,37.3,37.5,39.4,37.5,39.0,39.1,38.86,"1,41,000","54,79,650.00",26,"1,05,000",74.47
NRVANDANA,SM,04-07-2025,39.1,38.0,39.75,38.0,39.0,39.0,38.96,"1,17,000","45,58,800.00",16,"93,000",79.49
NRVANDANA,SM,07-07-2025,39.0,38.0,40.5,38.0,40.3,40.3,39.58,"87,000","34,43,550.00",26,"57,000",65.52
