SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
OCCLLTD,BE,29-10-2024,122.15,95.05,99.8,90.55,94.8,93.95,95.66,"2,23,382","2,13,69,537.35",846,-,-
OCCLLTD,BE,30-10-2024,93.95,89.25,96.0,89.25,92.5,90.3,90.12,"2,21,486","1,99,59,690.55",380,-,-
OCCLLTD,BE,31-10-2024,90.3,91.85,94.8,88.5,89.9,89.65,92.08,"1,62,888","1,49,97,990.15",649,-,-
OCCLLTD,BE,01-11-2024,89.65,92.8,92.8,87.61,88.0,88.34,88.91,"47,737","42,44,317.12",310,-,-
OCCLLTD,BE,04-11-2024,88.34,91.35,91.35,83.92,85.0,84.79,84.84,"1,18,180","1,00,26,720.66",550,-,-
OCCLLTD,BE,05-11-2024,84.79,86.95,87.8,82.25,86.05,86.19,85.67,"76,649","65,66,590.48",407,-,-
OCCLLTD,BE,06-11-2024,86.19,86.05,90.49,85.2,90.49,90.34,88.61,"69,140","61,26,288.83",497,-,-
OCCLLTD,BE,07-11-2024,90.34,88.6,94.5,88.6,91.5,91.37,92.52,"94,285","87,23,474.14",391,-,-
OCCLLTD,BE,08-11-2024,91.37,91.5,95.0,90.1,91.4,91.66,92.57,"1,29,762","1,20,11,940.86",557,-,-
OCCLLTD,BE,11-11-2024,91.66,93.4,94.7,90.1,92.0,93.02,92.69,"1,62,226","1,50,36,893.09",688,-,-
OCCLLTD,BE,12-11-2024,93.02,93.0,97.67,89.5,97.67,97.67,94.86,"1,74,618","1,65,64,718.93",566,-,-
OCCLLTD,EQ,13-11-2024,97.67,100.9,107.4,87.05,93.23,91.29,98.56,"6,91,675","6,81,69,687.21","5,852","4,01,061",57.98
OCCLLTD,EQ,14-11-2024,91.29,92.5,92.5,87.41,87.84,87.49,88.99,"1,83,330","1,63,14,689.09","1,939","1,26,338",68.91
OCCLLTD,EQ,18-11-2024,87.49,90.0,93.39,88.13,89.09,89.59,90.23,"1,40,714","1,26,96,682.69","1,921","83,760",59.52
OCCLLTD,EQ,19-11-2024,89.59,90.5,90.99,88.28,88.7,88.62,89.67,"1,14,081","1,02,29,503.66","1,982","69,360",60.80
OCCLLTD,EQ,21-11-2024,88.62,89.0,89.5,82.49,85.05,85.18,84.62,"2,18,886","1,85,22,214.96","3,010","1,08,997",49.80
OCCLLTD,EQ,22-11-2024,85.18,85.18,97.4,84.04,91.0,91.21,92.33,"6,07,996","5,61,33,898.40","10,985","1,78,464",29.35
OCCLLTD,EQ,25-11-2024,91.21,92.0,92.65,88.45,88.73,89.05,90.37,"1,51,017","1,36,47,338.42","3,225","80,561",53.35
OCCLLTD,EQ,26-11-2024,89.05,89.05,90.0,87.84,88.5,88.51,88.61,"98,385","87,17,899.13","2,381","62,087",63.11
OCCLLTD,EQ,27-11-2024,88.51,89.0,89.5,87.01,88.05,88.37,88.28,"75,888","66,99,165.35","2,161","44,409",58.52
OCCLLTD,EQ,28-11-2024,88.37,88.5,91.38,87.66,89.85,89.6,89.15,"1,05,083","93,68,502.71","2,656","62,069",59.07
OCCLLTD,EQ,29-11-2024,89.6,90.0,92.09,87.11,87.33,87.92,89.22,"1,29,034","1,15,12,018.66","2,919","75,931",58.85
OCCLLTD,EQ,02-12-2024,87.92,87.75,95.0,86.11,94.4,94.11,91.41,"2,64,624","2,41,88,683.48","3,676","1,68,111",63.53
OCCLLTD,EQ,03-12-2024,94.11,95.55,95.55,90.9,92.0,92.08,92.8,"1,04,685","97,14,575.03","2,744","52,811",50.45
OCCLLTD,EQ,04-12-2024,92.08,93.0,93.48,90.75,91.31,91.64,91.84,"75,510","69,34,642.73","1,461","41,295",54.69
OCCLLTD,EQ,05-12-2024,91.64,92.5,104.0,91.66,93.7,94.3,97.36,"10,50,311","10,22,53,363.12","12,053","4,38,691",41.77
OCCLLTD,EQ,06-12-2024,94.3,95.7,101.04,92.85,94.5,94.73,96.64,"5,73,640","5,54,34,460.17","7,433","2,63,450",45.93
OCCLLTD,EQ,09-12-2024,94.73,95.7,104.48,94.95,99.15,99.26,100.22,"11,50,524","11,53,09,538.25","10,627","4,12,051",35.81
OCCLLTD,EQ,10-12-2024,99.26,100.75,111.0,99.12,103.97,103.96,106.11,"16,28,434","17,27,98,953.90","16,681","6,64,074",40.78
OCCLLTD,EQ,11-12-2024,103.96,104.0,108.98,101.0,101.5,101.56,103.99,"11,71,137","12,17,87,963.34","11,639","4,83,635",41.30
OCCLLTD,EQ,12-12-2024,101.56,101.8,103.68,96.9,98.15,98.25,99.43,"4,36,175","4,33,70,970.63","4,860","2,28,790",52.45
OCCLLTD,EQ,13-12-2024,98.25,99.6,100.49,93.16,94.15,94.23,95.68,"6,85,641","6,56,01,013.07","7,952","2,85,046",41.57
OCCLLTD,EQ,16-12-2024,94.23,94.75,95.65,91.31,92.0,91.96,93.38,"1,61,794","1,51,08,958.75","2,403","89,966",55.61
OCCLLTD,EQ,17-12-2024,91.96,93.0,93.49,92.0,92.15,92.51,92.58,"1,21,002","1,12,02,419.62","1,501","78,096",64.54
