SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
ONEPOINT,SM,26-12-2017,67.0,80.4,80.4,80.4,80.4,80.4,80.4,"66,000","53,06,400.00",11,"66,000",100.0
ONEPOINT,SM,27-12-2017,80.4,96.45,96.45,86.65,93.5,93.95,93.29,"45,64,000","42,57,90,300.00","1,989","24,88,000",54.51
ONEPOINT,SM,28-12-2017,93.95,95.0,101.0,93.2,97.7,97.35,98.69,"9,56,000","9,43,50,700.00",461,"5,96,000",62.34
ONEPOINT,SM,29-12-2017,97.35,101.0,101.0,95.15,97.4,97.15,97.36,"4,34,000","4,22,52,300.00",208,"2,80,000",64.52
ONEPOINT,SM,01-01-2018,97.15,98.75,110.85,98.15,105.35,105.4,104.68,"12,32,000","12,89,63,400.00",583,"5,92,000",48.05
ONEPOINT,SM,02-01-2018,105.4,105.0,109.25,102.55,106.2,106.8,106.0,"6,32,000","6,69,89,100.00",297,"3,80,000",60.13
ONEPOINT,SM,03-01-2018,106.8,106.1,107.7,103.0,103.6,103.4,105.11,"2,06,000","2,16,51,800.00",102,"1,26,000",61.17
ONEPOINT,SM,04-01-2018,103.4,103.3,105.65,99.5,103.0,103.3,102.81,"2,62,000","2,69,35,900.00",124,"1,58,000",60.31
ONEPOINT,SM,05-01-2018,103.3,101.75,103.6,100.1,101.0,100.95,101.88,"1,60,000","1,63,01,100.00",79,"1,08,000",67.50
ONEPOINT,SM,08-01-2018,100.95,102.25,103.8,98.0,99.0,98.95,101.05,"2,66,000","2,68,78,800.00",115,"1,82,000",68.42
ONEPOINT,SM,09-01-2018,98.95,100.95,100.95,94.0,94.8,95.5,96.62,"2,04,000","1,97,10,400.00",100,"1,56,000",76.47
ONEPOINT,SM,10-01-2018,95.5,93.25,97.0,92.0,94.7,95.2,94.22,"1,64,000","1,54,52,300.00",79,"1,00,000",60.98
ONEPOINT,SM,11-01-2018,95.2,96.8,103.95,95.3,97.3,98.75,99.1,"3,34,000","3,30,98,500.00",147,"1,24,000",37.13
ONEPOINT,SM,12-01-2018,98.75,98.0,98.45,96.15,97.55,97.45,97.24,"70,000","68,07,000.00",34,"46,000",65.71
ONEPOINT,SM,15-01-2018,97.45,98.75,98.75,93.5,95.25,94.4,95.34,"1,00,000","95,33,700.00",47,"80,000",80.00
ONEPOINT,SM,16-01-2018,94.4,94.0,96.7,92.5,92.5,92.95,93.54,"1,20,000","1,12,24,400.00",55,"98,000",81.67
ONEPOINT,SM,17-01-2018,92.95,93.0,93.0,91.0,92.55,92.2,91.81,"56,000","51,41,600.00",28,"42,000",75.00
ONEPOINT,SM,18-01-2018,92.2,93.75,93.85,90.55,91.5,91.5,92.1,"70,000","64,46,700.00",23,"62,000",88.57
ONEPOINT,SM,19-01-2018,91.5,90.15,90.5,89.0,89.0,89.1,89.77,"44,000","39,49,900.00",21,"42,000",95.45
ONEPOINT,SM,22-01-2018,89.1,89.0,89.65,87.0,88.5,88.3,88.25,"22,000","19,41,400.00",9,"18,000",81.82
ONEPOINT,SM,23-01-2018,88.3,86.5,89.0,86.5,87.65,87.7,88.03,"30,000","26,40,800.00",15,"24,000",80.00
ONEPOINT,SM,24-01-2018,87.7,85.0,86.25,84.0,84.0,84.2,85.2,"56,000","47,71,000.00",27,"40,000",71.43
ONEPOINT,SM,25-01-2018,84.2,83.5,94.0,83.5,89.05,90.1,90.42,"2,40,000","2,17,00,700.00",108,"1,48,000",61.67
ONEPOINT,SM,29-01-2018,90.1,92.25,92.85,90.2,91.05,91.5,91.26,"80,000","73,00,600.00",37,"66,000",82.50
ONEPOINT,SM,30-01-2018,91.5,90.6,91.0,89.0,90.0,89.9,90.04,"74,000","66,62,800.00",33,"58,000",78.38
ONEPOINT,SM,31-01-2018,89.9,93.45,93.45,85.5,86.5,86.5,88.08,"54,000","47,56,200.00",26,"40,000",74.07
ONEPOINT,SM,01-02-2018,86.5,89.0,89.65,87.0,87.0,87.7,88.56,"42,000","37,19,400.00",21,"34,000",80.95
