SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
ORBTEXP,EQ,05-11-2013,105.4,114.9,114.9,101.05,101.05,101.05,106.98,3,320.95,3,1,33.33
ORBTEXP,EQ,06-11-2013,101.05,101.05,104.0,100.0,103.0,101.15,103.91,"3,090","3,21,088.60",6,"3,078",99.61
ORBTEXP,EQ,07-11-2013,101.15,104.8,104.8,101.0,101.0,101.0,102.9,180,"18,522.00",2,90,50.00
ORBTEXP,EQ,08-11-2013,101.0,101.0,109.1,100.0,109.1,107.65,104.51,186,"19,438.55",19,139,74.73
ORBTEXP,EQ,11-11-2013,107.65,102.5,106.0,100.95,105.0,105.1,103.35,"9,478","9,79,571.60",41,"3,030",31.97
ORBTEXP,EQ,12-11-2013,105.1,104.1,110.0,104.05,104.3,104.3,104.5,"5,001","5,22,603.75",41,-,-
ORBTEXP,EQ,13-11-2013,104.3,104.5,105.3,101.0,101.0,101.0,104.31,"5,565","5,80,509.15",28,510,9.16
ORBTEXP,EQ,14-11-2013,101.0,103.0,103.4,90.0,100.0,100.0,102.44,"7,762","7,95,104.75",39,"2,200",28.34
ORBTEXP,EQ,18-11-2013,100.0,101.7,102.3,96.3,100.5,100.5,101.34,"5,603","5,67,822.85",33,-,-
ORBTEXP,EQ,19-11-2013,100.5,101.0,114.4,91.15,95.0,96.2,98.05,"48,198","47,25,766.90",180,"23,791",49.36
ORBTEXP,EQ,20-11-2013,96.2,96.15,100.0,92.15,96.45,98.0,97.37,"11,628","11,32,226.10",73,"2,867",24.66
ORBTEXP,EQ,21-11-2013,98.0,93.95,97.9,91.0,97.8,94.2,93.9,"9,446","8,87,003.35",56,"2,400",25.41
ORBTEXP,EQ,22-11-2013,94.2,94.0,95.0,92.1,94.25,94.6,94.44,"15,831","14,95,154.40",68,"6,003",37.92
