SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
PERSISTENT,EQ,06-04-2010,310.0,361.6,447.3,361.6,404.7,406.35,417.99,"1,49,45,321","6,24,70,23,640.00",-,"24,61,626",16.47
PERSISTENT,EQ,07-04-2010,406.35,408.0,410.5,392.75,402.8,402.55,403.03,"38,28,050","1,54,28,31,596.95",-,"3,71,306",9.7
PERSISTENT,EQ,08-04-2010,402.55,400.0,431.9,398.3,412.8,414.3,421.12,"83,68,229","3,52,39,91,645.30",-,"5,86,323",7.01
PERSISTENT,EQ,09-04-2010,414.3,415.0,419.85,408.3,410.0,410.6,413.76,"15,80,108","65,37,89,797.60",-,"2,44,443",15.47
PERSISTENT,EQ,12-04-2010,410.6,411.8,415.25,395.6,401.0,401.35,405.13,"7,73,464","31,33,54,258.85",-,"1,58,046",20.43
PERSISTENT,EQ,13-04-2010,401.35,400.0,409.9,397.0,400.45,400.2,403.79,"8,36,586","33,78,05,030.90",-,"1,78,563",21.34
PERSISTENT,EQ,15-04-2010,400.2,404.0,408.8,395.6,396.0,397.95,403.67,"6,28,304","25,36,27,047.30",-,"1,79,064",28.5
PERSISTENT,EQ,16-04-2010,397.95,397.9,404.0,395.0,401.4,400.1,399.51,"3,95,904","15,81,66,319.10",-,"1,46,507",37.01
PERSISTENT,EQ,19-04-2010,400.1,397.0,399.85,385.0,388.5,390.9,391.8,"3,42,144","13,40,51,676.20",-,"83,206",24.32
PERSISTENT,EQ,20-04-2010,390.9,392.0,396.8,385.0,392.0,392.7,393.92,"1,82,058","7,17,16,712.25",-,"52,815",29.01
PERSISTENT,EQ,21-04-2010,392.7,394.0,412.85,393.55,403.0,402.65,405.6,"9,10,985","36,94,99,658.90",-,"2,27,071",24.93
PERSISTENT,EQ,22-04-2010,402.65,400.0,409.4,398.1,399.55,401.1,405.05,"3,75,248","15,19,93,777.40",-,"1,22,372",32.61
PERSISTENT,EQ,23-04-2010,401.1,401.6,407.9,393.3,395.35,396.35,401.0,"2,44,376","9,79,95,354.75",-,"88,921",36.39
PERSISTENT,EQ,26-04-2010,396.35,402.1,411.0,399.0,403.05,401.95,403.83,"4,32,434","17,46,30,178.65",-,"2,24,491",51.91
PERSISTENT,EQ,27-04-2010,401.95,403.0,403.8,392.8,394.6,394.5,397.61,"1,82,884","7,27,16,668.75",-,"59,756",32.67
PERSISTENT,EQ,28-04-2010,394.5,405.5,410.0,382.55,386.0,384.95,388.03,"1,21,264","4,70,54,160.50",-,"49,590",40.89
PERSISTENT,EQ,29-04-2010,384.95,387.0,401.5,387.0,397.85,396.95,395.74,"2,23,660","8,85,11,126.20",-,"61,091",27.31
PERSISTENT,EQ,30-04-2010,396.95,398.0,405.9,396.0,397.0,398.65,401.66,"2,37,955","9,55,76,981.15",-,"81,382",34.2
PERSISTENT,EQ,03-05-2010,398.65,394.8,402.6,394.8,401.05,399.55,399.87,"2,20,852","8,83,11,844.45",-,"85,933",38.91
PERSISTENT,EQ,04-05-2010,399.55,399.0,404.45,392.0,392.0,393.15,399.35,"1,73,937","6,94,62,244.85",-,"78,932",45.38
PERSISTENT,EQ,05-05-2010,393.15,389.0,398.6,360.2,397.0,396.45,390.98,"1,37,039","5,35,80,131.75",-,"52,306",38.17
PERSISTENT,EQ,06-05-2010,396.45,397.9,399.0,384.25,385.25,386.45,389.38,"1,00,163","3,90,01,769.15",-,"47,022",46.95
PERSISTENT,EQ,07-05-2010,386.45,383.0,384.9,375.0,375.0,376.15,379.34,"95,456","3,62,10,659.95",-,"47,277",49.53
PERSISTENT,EQ,10-05-2010,376.15,385.0,389.0,379.95,387.0,387.25,386.14,"67,927","2,62,29,575.50",-,"32,416",47.72
PERSISTENT,EQ,11-05-2010,387.25,388.9,388.9,381.0,382.75,382.3,383.35,"54,571","2,09,19,846.85",-,"28,637",52.48
PERSISTENT,EQ,12-05-2010,382.3,382.0,385.0,377.35,379.0,379.85,379.18,"84,432","3,20,15,096.75",-,"57,157",67.7
PERSISTENT,EQ,13-05-2010,379.85,380.25,387.0,378.0,381.2,381.6,382.8,"63,767","2,44,10,104.80",-,"34,019",53.35
