SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
PIDILITIND,EQ,01-01-1996,306.00,306.0,306.0,305.0,-,305.0,305.42,300,"91,625.00",-,-,-
PIDILITIND,EQ,02-01-1996,305.00,305.0,305.0,305.0,-,305.0,305.0,100,"30,500.00",-,-,-
PIDILITIND,EQ,03-01-1996,305.00,312.0,312.0,310.0,-,310.0,311.0,200,"62,200.00",-,-,-
PIDILITIND,EQ,04-01-1996,310.00,307.0,307.0,307.0,-,307.0,307.0,100,"30,700.00",-,-,-
PIDILITIND,EQ,05-01-1996,307.00,305.0,309.0,305.0,-,308.0,307.33,300,"92,200.00",-,-,-
PIDILITIND,EQ,08-01-1996,308.00,308.0,310.0,308.0,-,308.0,308.78,900,"2,77,900.00",-,-,-
PIDILITIND,EQ,09-01-1996,308.00,308.0,309.75,305.0,-,308.25,307.66,800,"2,46,125.00",-,-,-
PIDILITIND,EQ,10-01-1996,308.25,308.25,310.0,308.0,-,310.0,309.32,300,"92,795.00",-,-,-
PIDILITIND,EQ,11-01-1996,310.00,313.95,314.0,310.0,-,310.0,312.65,300,"93,795.00",-,-,-
PIDILITIND,EQ,12-01-1996,310.00,311.0,311.0,310.5,-,311.0,310.83,300,"93,250.00",-,-,-
PIDILITIND,EQ,15-01-1996,311.00,310.0,310.0,310.0,-,310.0,310.0,100,"31,000.00",-,-,-
PIDILITIND,EQ,16-01-1996,310.00,310.0,314.0,310.0,-,314.0,311.6,500,"1,55,800.00",-,-,-
PIDILITIND,EQ,17-01-1996,314.00,314.0,310.0,308.0,-,308.75,309.38,800,"2,47,500.00",-,-,-
PIDILITIND,EQ,18-01-1996,308.75,309.0,310.0,309.0,-,310.0,309.83,600,"1,85,900.00",-,-,-
PIDILITIND,EQ,19-01-1996,310.00,310.0,310.0,308.0,-,308.0,308.33,"1,000","3,08,330.00",-,-,-
PIDILITIND,EQ,22-01-1996,308.00,308.0,308.05,308.0,-,308.0,308.01,500,"1,54,005.00",-,-,-
PIDILITIND,EQ,23-01-1996,308.00,308.0,308.95,308.0,-,308.2,308.16,"1,200","3,69,790.00",-,-,-
PIDILITIND,EQ,24-01-1996,308.20,308.2,308.0,302.6,-,307.75,306.66,"1,300","3,98,655.00",-,-,-
PIDILITIND,EQ,25-01-1996,307.75,308.0,308.0,308.0,-,308.0,308.0,800,"2,46,400.00",-,-,-
PIDILITIND,EQ,29-01-1996,308.00,310.0,310.0,308.0,-,308.0,308.12,"1,700","5,23,800.00",-,-,-
PIDILITIND,EQ,30-01-1996,308.00,308.0,309.0,308.0,-,309.0,308.5,200,"61,700.00",-,-,-
PIDILITIND,EQ,31-01-1996,309.00,309.0,310.0,308.0,-,308.0,308.98,400,"1,23,590.00",-,-,-
PIDILITIND,EQ,01-02-1996,308.00,308.0,308.95,308.0,-,308.95,308.49,500,"1,54,245.00",-,-,-
PIDILITIND,EQ,02-02-1996,308.95,310.0,312.95,310.0,-,312.95,311.65,300,"93,495.00",-,-,-
PIDILITIND,EQ,05-02-1996,312.95,321.0,321.0,314.0,-,315.0,317.99,700,"2,22,595.00",-,-,-
PIDILITIND,EQ,06-02-1996,315.00,315.0,324.0,319.0,-,320.25,320.97,900,"2,88,870.00",-,-,-
PIDILITIND,EQ,07-02-1996,320.25,315.0,317.5,315.0,-,317.5,316.25,200,"63,250.00",-,-,-
PIDILITIND,EQ,08-02-1996,317.50,318.0,318.0,318.0,-,318.0,318.0,100,"31,800.00",-,-,-
PIDILITIND,EQ,09-02-1996,318.00,322.0,325.0,322.0,-,325.0,324.33,600,"1,94,600.00",-,-,-
PIDILITIND,EQ,12-02-1996,325.00,335.0,340.0,334.5,-,335.0,335.64,700,"2,34,950.00",-,-,-
PIDILITIND,EQ,13-02-1996,335.00,335.0,335.0,330.0,-,330.0,332.5,400,"1,33,000.00",-,-,-
PIDILITIND,EQ,14-02-1996,330.00,340.0,350.0,339.0,-,346.7,343.09,"1,100","3,77,400.00",-,-,-
PIDILITIND,EQ,15-02-1996,346.70,351.0,364.0,350.0,-,355.05,353.12,"1,500","5,29,680.00",-,-,-
PIDILITIND,EQ,16-02-1996,355.05,352.0,355.0,350.0,-,352.75,351.48,900,"3,16,330.00",-,-,-
PIDILITIND,EQ,19-02-1996,352.75,352.75,363.0,359.0,-,362.5,360.6,"1,000","3,60,600.00",-,-,-
PIDILITIND,EQ,20-02-1996,362.50,362.5,363.0,360.0,-,360.75,361.5,"1,200","4,33,800.00",-,-,-
PIDILITIND,EQ,22-02-1996,360.75,355.0,365.0,355.0,-,360.0,360.1,"5,500","19,80,550.00",-,-,-
PIDILITIND,EQ,23-02-1996,360.00,360.0,363.0,360.0,-,363.0,361.5,200,"72,300.00",-,-,-
PIDILITIND,EQ,26-02-1996,363.00,361.95,361.95,356.3,-,361.25,359.86,"1,100","3,95,845.00",-,-,-
PIDILITIND,EQ,27-02-1996,361.25,355.0,355.05,351.25,-,355.05,354.4,600,"2,12,640.00",-,-,-
PIDILITIND,EQ,28-02-1996,355.05,340.05,340.25,340.05,-,340.25,340.15,200,"68,030.00",-,-,-
PIDILITIND,EQ,29-02-1996,340.25,325.0,332.0,325.0,-,332.0,328.5,200,"65,700.00",-,-,-
PIDILITIND,EQ,01-03-1996,332.00,332.0,335.0,323.0,-,335.0,330.27,"1,100","3,63,300.00",-,-,-
PIDILITIND,EQ,04-03-1996,335.00,335.0,335.0,335.0,-,335.0,335.0,500,"1,67,500.00",-,-,-
PIDILITIND,EQ,06-03-1996,335.00,335.0,345.0,335.0,-,345.0,342.09,800,"2,73,675.00",-,-,-
PIDILITIND,EQ,07-03-1996,345.00,337.0,342.0,337.0,-,338.25,339.25,500,"1,69,625.00",-,-,-
