SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
POLYMED,EQ,07-12-2011,269.9,268.0,274.0,261.0,266.05,266.05,268.62,201,"53,991.70",18,85,42.29
POLYMED,EQ,08-12-2011,266.05,269.0,290.0,261.05,284.65,287.25,276.18,298,"82,301.85",54,239,80.2
POLYMED,EQ,09-12-2011,287.25,287.25,287.25,250.2,266.0,260.75,264.38,523,"1,38,270.50",84,307,58.7
POLYMED,EQ,12-12-2011,260.75,262.0,262.0,235.0,253.5,252.55,250.02,425,"1,06,259.10",40,280,65.88
POLYMED,EQ,13-12-2011,252.55,239.85,239.85,230.1,237.5,235.9,238.06,61,"14,521.50",9,56,91.8
POLYMED,EQ,14-12-2011,235.9,236.95,236.95,225.0,236.95,236.95,233.32,228,"53,195.85",20,198,86.84
POLYMED,EQ,15-12-2011,236.95,225.1,225.1,220.0,220.0,224.55,224.92,925,"2,08,054.45",23,875,94.59
POLYMED,EQ,16-12-2011,224.55,239.0,239.0,213.4,213.4,217.4,224.36,155,"34,775.70",8,105,67.74
POLYMED,EQ,19-12-2011,217.4,236.95,236.95,196.0,210.0,203.75,207.58,330,"68,502.00",35,237,71.82
POLYMED,EQ,20-12-2011,203.75,204.05,210.0,196.0,196.0,205.6,204.03,254,"51,823.90",16,249,98.03
POLYMED,EQ,21-12-2011,205.6,200.0,210.0,181.1,200.0,200.0,196.76,165,"32,465.30",8,163,98.79
POLYMED,EQ,22-12-2011,200.0,209.9,218.3,190.0,218.3,208.0,202.7,763,"1,54,659.60",39,643,84.27
POLYMED,EQ,23-12-2011,208.0,216.7,229.0,209.0,209.0,211.55,215.54,158,"34,056.10",13,130,82.28
POLYMED,EQ,26-12-2011,211.55,223.0,224.0,211.0,222.9,222.9,221.75,76,"16,853.00",6,66,86.84
POLYMED,EQ,27-12-2011,222.9,217.0,220.0,215.2,216.0,216.0,217.29,222,"48,237.80",18,220,99.1
POLYMED,EQ,28-12-2011,216.0,195.0,198.6,195.0,198.6,198.6,196.11,23,"4,510.60",4,22,95.65
POLYMED,EQ,29-12-2011,198.6,199.7,215.0,199.0,202.5,202.5,205.2,68,"13,953.70",6,68,100.0
POLYMED,EQ,30-12-2011,202.5,211.7,229.0,206.0,211.25,217.75,218.99,308,"67,448.00",11,104,33.77
POLYMED,EQ,02-01-2012,217.75,222.0,222.0,211.0,211.0,211.0,213.22,5,"1,066.10",3,4,80.0
POLYMED,EQ,03-01-2012,211.0,212.6,229.0,211.0,229.0,229.0,217.73,200,"43,545.25",10,45,22.5
POLYMED,EQ,04-01-2012,229.0,220.0,220.0,208.0,218.0,218.0,215.22,497,"1,06,966.30",26,331,66.6
POLYMED,EQ,05-01-2012,218.0,217.95,218.0,211.0,218.0,218.0,214.61,302,"64,813.25",10,277,91.72
POLYMED,EQ,06-01-2012,218.0,210.0,218.0,208.0,210.95,210.95,212.05,35,"7,421.65",6,30,85.71
POLYMED,EQ,07-01-2012,210.95,214.95,220.0,214.9,220.0,216.0,215.98,220,"47,516.25",9,205,93.18
POLYMED,EQ,09-01-2012,216.0,219.7,221.9,214.7,215.0,216.9,218.55,167,"36,497.25",11,90,53.89
POLYMED,EQ,10-01-2012,216.9,219.7,253.4,219.7,224.0,228.75,232.26,492,"1,14,272.05",37,316,64.23
POLYMED,EQ,11-01-2012,228.75,239.0,240.0,235.0,240.0,240.0,238.01,151,"35,940.00",6,126,83.44
POLYMED,EQ,12-01-2012,240.0,249.9,249.9,237.0,237.0,237.0,237.17,77,"18,261.95",6,76,98.7
POLYMED,EQ,13-01-2012,237.0,235.0,245.15,231.0,235.0,235.45,237.29,115,"27,288.00",26,60,52.17
POLYMED,EQ,16-01-2012,235.45,240.0,249.95,240.0,241.0,242.15,243.42,163,"39,677.50",32,153,93.87
POLYMED,EQ,17-01-2012,242.15,241.5,244.0,236.0,240.0,238.7,239.14,200,"47,828.00",17,115,57.5
POLYMED,EQ,18-01-2012,238.7,240.0,240.0,240.0,240.0,240.0,240.0,30,"7,200.00",3,30,100.0
POLYMED,EQ,19-01-2012,240.0,235.0,239.0,225.1,225.15,225.15,232.58,178,"41,398.65",11,178,100.0
POLYMED,EQ,20-01-2012,225.15,239.0,245.0,239.0,240.0,240.0,240.0,17,"4,080.00",7,15,88.24
POLYMED,EQ,23-01-2012,240.0,245.0,265.0,240.0,248.0,251.0,248.72,138,"34,323.25",57,68,49.28
