SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
POLYPLEX,EQ,01-01-1996,73.00,72.0,73.0,71.25,-,73.0,72.25,900,"65,025.00",-,-,-
POLYPLEX,EQ,02-01-1996,73.00,73.0,72.0,71.55,-,71.7,71.86,"1,500","1,07,795.00",-,-,-
POLYPLEX,EQ,03-01-1996,71.70,71.7,72.1,71.0,-,71.05,71.33,"1,800","1,28,390.00",-,-,-
POLYPLEX,EQ,04-01-1996,71.05,71.05,71.0,70.15,-,70.5,70.48,800,"56,380.00",-,-,-
POLYPLEX,EQ,05-01-1996,70.50,70.5,70.95,70.0,-,70.95,70.37,500,"35,185.00",-,-,-
POLYPLEX,EQ,08-01-1996,70.95,70.95,70.0,67.0,-,67.1,68.72,"3,400","2,33,645.00",-,-,-
POLYPLEX,EQ,09-01-1996,67.10,67.1,65.0,62.0,-,62.5,63.21,"3,200","2,02,285.00",-,-,-
POLYPLEX,EQ,10-01-1996,62.50,62.5,64.9,64.0,-,64.1,64.19,800,"51,355.00",-,-,-
POLYPLEX,EQ,11-01-1996,64.10,64.1,63.9,62.75,-,63.9,63.12,"1,000","63,115.00",-,-,-
POLYPLEX,EQ,12-01-1996,63.90,63.9,65.45,63.5,-,64.0,64.06,"1,000","64,055.00",-,-,-
POLYPLEX,EQ,15-01-1996,64.00,64.0,63.9,63.05,-,63.05,63.48,200,"12,695.00",-,-,-
POLYPLEX,EQ,16-01-1996,63.05,61.8,61.95,61.2,-,61.25,61.53,"2,700","1,66,120.00",-,-,-
POLYPLEX,EQ,17-01-1996,61.25,61.25,63.0,60.0,-,60.1,61.83,"2,900","1,79,305.00",-,-,-
POLYPLEX,EQ,18-01-1996,60.10,60.1,60.5,59.05,-,59.9,60.04,"4,100","2,46,160.00",-,-,-
POLYPLEX,EQ,19-01-1996,59.90,59.9,60.5,59.05,-,59.5,60.01,"5,900","3,54,030.00",-,-,-
POLYPLEX,EQ,22-01-1996,59.50,59.5,59.7,58.1,-,58.1,58.93,"2,400","1,41,420.00",-,-,-
POLYPLEX,EQ,23-01-1996,58.10,58.1,58.45,56.05,-,56.6,57.41,"3,300","1,89,440.00",-,-,-
POLYPLEX,EQ,24-01-1996,56.60,56.6,57.0,54.5,-,54.5,55.89,"1,600","89,425.00",-,-,-
POLYPLEX,EQ,25-01-1996,54.50,54.5,53.6,53.25,-,53.25,53.51,900,"48,155.00",-,-,-
