SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
PREMEXPLN,EQ,17-06-2016,389.85,394.5,394.5,362.15,364.0,363.8,375.55,"14,226","53,42,592.90",537,"6,146",43.2
PREMEXPLN,EQ,20-06-2016,363.8,362.95,383.9,355.5,371.15,372.1,372.36,"17,983","66,96,072.65",495,"5,294",29.44
PREMEXPLN,EQ,21-06-2016,372.1,373.0,390.0,366.15,369.65,367.35,378.8,"36,483","1,38,19,851.00","1,327","6,356",17.42
PREMEXPLN,EQ,22-06-2016,367.35,370.0,372.7,357.15,360.0,359.25,365.45,"4,869","17,79,370.15",197,"2,432",49.95
PREMEXPLN,EQ,23-06-2016,359.25,359.2,359.2,349.0,350.0,350.3,352.96,"5,086","17,95,141.80",253,"2,667",52.44
PREMEXPLN,EQ,24-06-2016,350.3,336.0,354.0,336.0,350.0,349.0,343.95,"8,252","28,38,251.35",296,"4,469",54.16
PREMEXPLN,EQ,27-06-2016,349.0,347.05,360.0,347.0,351.0,351.45,353.31,"2,702","9,54,638.10",114,"1,344",49.74
PREMEXPLN,EQ,28-06-2016,351.45,355.85,355.9,348.0,351.9,350.15,352.28,"3,298","11,61,804.95",140,"1,945",58.98
PREMEXPLN,EQ,29-06-2016,350.15,352.9,387.5,342.0,366.0,366.8,372.29,"69,373","2,58,26,837.75","2,387","14,482",20.88
PREMEXPLN,EQ,30-06-2016,366.8,369.9,373.7,360.1,366.0,364.65,368.64,"13,503","49,77,772.40",441,"7,840",58.06
PREMEXPLN,EQ,01-07-2016,364.65,360.0,375.0,358.5,365.0,363.85,365.01,"6,737","24,59,066.85",270,"3,100",46.01
PREMEXPLN,EQ,04-07-2016,363.85,369.3,369.3,362.0,362.15,362.9,363.66,"4,353","15,83,031.70",173,"2,931",67.33
PREMEXPLN,EQ,05-07-2016,362.9,361.25,363.3,350.0,360.6,360.8,359.63,"4,111","14,78,449.50",189,"2,900",70.54
PREMEXPLN,EQ,07-07-2016,360.8,361.25,366.0,358.5,360.0,360.95,362.2,"4,629","16,76,615.15",196,"3,530",76.26
PREMEXPLN,EQ,08-07-2016,360.95,362.0,362.0,350.3,351.15,353.7,353.97,"8,639","30,57,942.30",358,"3,066",35.49
PREMEXPLN,EQ,11-07-2016,353.7,359.4,368.8,352.0,360.05,360.8,360.99,"9,860","35,59,378.00",379,"4,237",42.97
PREMEXPLN,EQ,12-07-2016,360.8,366.8,366.8,358.0,359.0,359.25,360.73,"3,578","12,90,691.10",179,"2,802",78.31
PREMEXPLN,EQ,13-07-2016,359.25,360.0,368.0,356.0,361.2,361.5,362.03,"9,108","32,97,406.25",320,"6,657",73.09
PREMEXPLN,EQ,14-07-2016,361.5,359.2,384.0,359.05,368.9,366.95,371.25,"11,315","42,00,714.05",453,"3,978",35.16
PREMEXPLN,EQ,15-07-2016,366.95,371.9,381.0,361.55,367.0,365.65,372.03,"26,529","98,69,626.00",727,"7,569",28.53
PREMEXPLN,EQ,18-07-2016,365.65,366.0,380.45,365.25,367.05,367.9,373.62,"25,973","97,03,934.00",865,"7,066",27.21
PREMEXPLN,EQ,19-07-2016,367.9,371.8,371.8,363.05,363.05,364.55,366.48,"4,186","15,34,073.40",144,"2,349",56.12
PREMEXPLN,EQ,20-07-2016,364.55,369.9,369.9,361.55,362.0,362.75,364.46,"3,988","14,53,481.65",145,"3,045",76.35
PREMEXPLN,EQ,21-07-2016,362.75,363.05,364.95,356.0,357.05,358.25,359.74,"4,373","15,73,136.80",135,"3,275",74.89
PREMEXPLN,EQ,22-07-2016,358.25,360.9,370.8,358.0,367.9,367.65,364.73,"7,906","28,83,536.75",317,"3,435",43.45
PREMEXPLN,EQ,25-07-2016,367.65,371.0,373.8,368.5,370.5,370.15,370.77,"8,656","32,09,402.90",200,"5,690",65.73
PREMEXPLN,EQ,26-07-2016,370.15,370.0,372.4,356.0,359.0,358.0,363.22,"6,834","24,82,240.00",335,"4,336",63.45
PREMEXPLN,EQ,27-07-2016,358.0,365.8,365.8,357.0,360.0,358.7,359.39,"2,253","8,09,696.65",132,"1,654",73.41
PREMEXPLN,EQ,28-07-2016,358.7,359.15,371.5,359.15,369.9,367.8,367.48,"10,942","40,20,980.45",369,"5,694",52.04
PREMEXPLN,EQ,29-07-2016,367.8,371.0,393.4,365.0,376.45,377.6,377.97,"1,19,368","4,51,17,054.45","3,830","22,827",19.12
PREMEXPLN,EQ,01-08-2016,377.6,370.05,376.6,358.2,362.75,362.3,369.79,"12,391","45,82,086.60",538,"6,648",53.65
PREMEXPLN,EQ,02-08-2016,362.3,364.0,364.35,351.15,355.3,354.85,358.0,"4,278","15,31,510.35",188,"3,213",75.11
