SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
PREMAUTO,EQ,01-01-1996,48.45,48.45,51.0,48.3,-,48.3,50.38,650,"32,745.00",-,-,-
PREMAUTO,EQ,02-01-1996,48.30,48.3,48.35,47.0,-,47.55,47.73,"4,800","2,29,102.50",-,-,-
PREMAUTO,EQ,03-01-1996,47.55,48.75,48.75,48.0,-,48.0,48.35,"1,850","89,442.50",-,-,-
PREMAUTO,EQ,04-01-1996,48.00,47.5,47.75,47.5,-,47.65,47.58,"3,200","1,52,260.00",-,-,-
PREMAUTO,EQ,05-01-1996,47.65,48.0,48.0,47.5,-,47.75,47.88,"1,600","76,600.00",-,-,-
PREMAUTO,EQ,08-01-1996,47.75,47.75,47.5,45.0,-,45.25,46.11,"2,750","1,26,810.00",-,-,-
PREMAUTO,EQ,09-01-1996,45.25,45.0,47.45,44.6,-,45.05,45.23,"5,300","2,39,717.50",-,-,-
PREMAUTO,EQ,10-01-1996,45.05,46.0,48.0,46.0,-,47.5,47.29,"2,750","1,30,050.00",-,-,-
PREMAUTO,EQ,11-01-1996,47.50,47.5,46.0,45.4,-,45.55,45.54,"14,000","6,37,535.00",-,-,-
PREMAUTO,EQ,12-01-1996,45.55,46.0,46.65,42.65,-,43.2,44.79,"8,300","3,71,770.00",-,-,-
PREMAUTO,EQ,15-01-1996,43.20,43.2,44.7,43.9,-,44.25,44.36,"2,550","1,13,112.50",-,-,-
PREMAUTO,EQ,16-01-1996,44.25,45.0,45.0,43.05,-,43.35,43.71,"10,650","4,65,515.00",-,-,-
PREMAUTO,EQ,17-01-1996,43.35,44.0,44.0,42.55,-,43.2,43.38,"6,750","2,92,847.50",-,-,-
PREMAUTO,EQ,18-01-1996,43.20,43.2,43.65,42.0,-,43.3,42.82,"3,350","1,43,460.00",-,-,-
PREMAUTO,EQ,19-01-1996,43.30,43.3,43.25,42.55,-,43.0,43.02,"1,950","83,880.00",-,-,-
PREMAUTO,EQ,22-01-1996,43.00,43.0,43.25,42.5,-,43.0,43.06,"3,250","1,39,930.00",-,-,-
PREMAUTO,EQ,23-01-1996,43.00,43.0,44.75,43.0,-,44.7,43.87,"4,300","1,88,657.50",-,-,-
PREMAUTO,EQ,24-01-1996,44.70,44.7,42.1,41.8,-,41.8,42.0,"1,100","46,200.00",-,-,-
PREMAUTO,EQ,25-01-1996,41.80,41.8,41.4,40.5,-,40.95,40.89,"1,100","44,980.00",-,-,-
PREMAUTO,EQ,29-01-1996,40.95,41.3,42.0,41.3,-,42.0,41.74,"2,200","91,830.00",-,-,-
PREMAUTO,EQ,30-01-1996,42.00,42.0,43.0,42.25,-,42.4,42.68,"3,350","1,42,987.50",-,-,-
PREMAUTO,EQ,31-01-1996,42.40,44.8,44.8,43.0,-,43.75,43.49,"1,250","54,357.50",-,-,-
PREMAUTO,EQ,01-02-1996,43.75,43.75,44.45,44.0,-,44.4,44.26,"1,750","77,457.50",-,-,-
PREMAUTO,EQ,02-02-1996,44.40,45.1,49.0,45.1,-,47.9,47.42,"9,350","4,43,365.00",-,-,-
PREMAUTO,EQ,05-02-1996,47.90,47.9,49.95,45.65,-,46.5,47.65,"5,750","2,73,975.00",-,-,-
PREMAUTO,EQ,06-02-1996,46.50,46.5,48.95,46.0,-,46.8,48.14,"16,450","7,91,960.00",-,-,-
PREMAUTO,EQ,07-02-1996,46.80,46.5,47.0,45.95,-,46.9,46.41,"3,700","1,71,700.00",-,-,-
PREMAUTO,EQ,08-02-1996,46.90,47.0,50.0,47.0,-,48.85,48.38,"23,650","11,44,277.50",-,-,-
PREMAUTO,EQ,09-02-1996,48.85,53.75,53.75,51.6,-,53.55,53.32,"33,650","17,94,212.50",-,-,-
PREMAUTO,EQ,12-02-1996,53.55,53.55,57.5,53.5,-,55.2,56.06,"91,600","51,34,717.50",-,-,-
PREMAUTO,EQ,13-02-1996,55.20,55.2,57.9,55.0,-,56.2,56.34,"34,100","19,21,082.50",-,-,-
PREMAUTO,EQ,14-02-1996,56.20,61.0,62.0,61.0,-,62.0,61.82,"46,100","28,49,835.00",-,-,-
PREMAUTO,EQ,15-02-1996,62.00,62.0,62.95,59.0,-,60.55,61.17,"27,450","16,79,072.50",-,-,-
PREMAUTO,EQ,16-02-1996,60.55,60.55,58.7,55.75,-,57.25,57.41,"10,350","5,94,195.00",-,-,-
PREMAUTO,EQ,19-02-1996,57.25,57.25,60.0,58.0,-,58.0,58.94,"18,300","10,78,525.00",-,-,-
PREMAUTO,EQ,20-02-1996,58.00,58.0,57.75,56.05,-,56.2,57.22,"19,700","11,27,330.00",-,-,-
PREMAUTO,EQ,22-02-1996,56.20,56.2,59.5,57.5,-,58.5,58.39,"5,150","3,00,720.00",-,-,-
PREMAUTO,EQ,23-02-1996,58.50,58.5,58.95,56.75,-,57.05,57.5,"13,300","7,64,727.50",-,-,-
PREMAUTO,EQ,26-02-1996,57.05,57.05,60.25,56.25,-,58.5,59.49,"11,350","6,75,212.50",-,-,-
PREMAUTO,EQ,27-02-1996,58.50,58.5,58.5,56.55,-,57.1,57.54,"19,100","10,99,060.00",-,-,-
PREMAUTO,EQ,28-02-1996,57.10,57.1,59.0,57.0,-,57.0,57.78,"4,450","2,57,107.50",-,-,-
PREMAUTO,EQ,29-02-1996,57.00,57.0,56.5,53.15,-,54.45,54.57,"13,150","7,17,552.50",-,-,-
PREMAUTO,EQ,01-03-1996,54.45,54.45,55.0,53.3,-,55.0,54.13,"9,650","5,22,332.50",-,-,-
PREMAUTO,EQ,04-03-1996,55.00,55.0,56.95,54.0,-,55.4,55.34,"13,400","7,41,495.00",-,-,-
PREMAUTO,EQ,06-03-1996,55.40,55.4,56.0,54.5,-,55.5,55.25,"7,300","4,03,345.00",-,-,-
PREMAUTO,EQ,07-03-1996,55.50,55.75,57.65,55.5,-,55.7,55.94,"5,350","2,99,287.50",-,-,-
PREMAUTO,EQ,08-03-1996,55.70,55.7,55.7,54.75,-,55.7,55.2,"6,500","3,58,770.00",-,-,-
PREMAUTO,EQ,11-03-1996,55.70,55.7,55.0,54.0,-,54.6,54.5,"5,650","3,07,907.50",-,-,-
PREMAUTO,EQ,12-03-1996,54.60,54.0,56.25,53.6,-,55.5,55.22,"39,650","21,89,510.00",-,-,-
PREMAUTO,EQ,13-03-1996,55.50,55.5,61.35,56.0,-,61.35,58.9,"45,600","26,85,757.50",-,-,-
PREMAUTO,EQ,14-03-1996,61.35,61.35,64.5,59.7,-,60.25,61.95,"1,02,900","63,74,335.00",-,-,-
PREMAUTO,EQ,15-03-1996,60.25,60.25,61.5,59.95,-,60.05,60.65,"24,900","15,10,110.00",-,-,-
PREMAUTO,EQ,18-03-1996,60.05,60.05,59.6,56.75,-,57.35,58.59,"33,550","19,65,560.00",-,-,-
PREMAUTO,EQ,19-03-1996,57.35,57.35,56.75,52.25,-,53.85,55.49,"34,150","18,94,872.50",-,-,-
PREMAUTO,EQ,21-03-1996,53.85,53.85,57.95,55.1,-,56.0,56.4,"9,800","5,52,750.00",-,-,-
PREMAUTO,EQ,22-03-1996,56.00,56.0,55.0,52.0,-,53.45,53.27,"13,600","7,24,515.00",-,-,-
PREMAUTO,EQ,25-03-1996,53.45,54.0,54.0,52.05,-,52.35,52.55,"3,450","1,81,285.00",-,-,-
PREMAUTO,EQ,26-03-1996,52.35,52.35,52.7,51.0,-,52.35,52.1,"11,000","5,73,107.50",-,-,-
PREMAUTO,EQ,27-03-1996,52.35,52.35,55.65,53.5,-,54.95,54.92,"15,400","8,45,765.00",-,-,-
PREMAUTO,EQ,28-03-1996,54.95,54.95,57.7,55.15,-,56.9,56.6,"10,100","5,71,707.50",-,-,-
PREMAUTO,EQ,29-03-1996,56.90,56.9,57.0,55.4,-,55.4,55.92,"7,250","4,05,397.50",-,-,-
PREMAUTO,EQ,01-04-1996,55.40,55.4,55.25,54.3,-,55.1,54.77,"5,750","3,14,930.00",-,-,-
PREMAUTO,EQ,02-04-1996,55.10,55.1,56.5,54.55,-,55.75,55.62,"21,850","12,15,240.00",-,-,-
PREMAUTO,EQ,03-04-1996,55.75,55.75,57.0,56.05,-,56.25,56.47,"5,650","3,19,052.50",-,-,-
PREMAUTO,EQ,04-04-1996,56.25,56.25,56.05,54.2,-,55.3,55.33,"3,500","1,93,637.50",-,-,-
PREMAUTO,EQ,08-04-1996,55.30,55.3,55.25,54.2,-,55.05,54.88,"6,800","3,73,165.00",-,-,-
PREMAUTO,EQ,09-04-1996,55.05,55.05,55.3,54.5,-,55.05,54.97,"13,350","7,33,907.50",-,-,-
PREMAUTO,EQ,10-04-1996,55.05,55.05,55.5,55.0,-,55.0,55.23,"5,250","2,89,962.50",-,-,-
PREMAUTO,EQ,11-04-1996,55.00,55.0,56.0,54.05,-,54.5,54.77,"4,450","2,43,735.00",-,-,-
PREMAUTO,EQ,12-04-1996,54.50,55.5,60.0,55.0,-,59.15,57.26,"15,000","8,58,935.00",-,-,-
PREMAUTO,EQ,15-04-1996,59.15,59.15,61.05,59.5,-,60.05,60.57,"19,200","11,62,980.00",-,-,-
PREMAUTO,EQ,16-04-1996,60.05,60.05,64.0,61.5,-,62.9,62.64,"35,600","22,29,970.00",-,-,-
