SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
ADI,EQ,08-05-2015,293.4,295.0,308.9,252.1,290.0,290.05,285.91,"1,241","3,54,816.30",47,431,34.73
ADI,EQ,11-05-2015,290.05,299.75,299.8,290.0,290.0,290.0,291.41,407,"1,18,601.90",17,379,93.12
ADI,EQ,12-05-2015,290.0,290.2,299.75,290.0,290.0,290.0,290.02,"23,402","67,86,944.20",34,"23,366",99.85
ADI,EQ,13-05-2015,290.0,290.0,295.0,280.5,295.0,295.0,289.49,863,"2,49,830.30",13,154,17.84
ADI,EQ,14-05-2015,295.0,285.0,295.0,275.0,286.15,289.45,288.81,"2,503","7,22,900.50",45,"1,599",63.88
ADI,EQ,15-05-2015,289.45,308.7,308.7,285.0,294.9,289.45,289.37,782,"2,26,291.00",39,176,22.51
ADI,EQ,18-05-2015,289.45,282.0,293.0,276.25,288.0,288.0,283.34,315,"89,252.25",15,205,65.08
ADI,EQ,19-05-2015,288.0,280.2,294.0,280.2,283.0,283.0,282.34,176,"49,692.10",6,176,100.0
ADI,EQ,20-05-2015,283.0,256.1,293.0,256.1,292.4,291.3,281.42,"3,441","9,68,376.45",93,"2,269",65.94
ADI,EQ,21-05-2015,291.3,285.0,290.0,280.3,290.0,289.9,286.84,181,"51,917.70",10,121,66.85
ADI,EQ,22-05-2015,289.9,282.05,300.0,282.05,300.0,300.0,289.94,"3,322","9,63,176.25",15,"2,619",78.84
ADI,EQ,25-05-2015,300.0,285.1,293.05,285.1,293.0,293.0,290.05,"5,562","16,13,230.45",53,"5,150",92.59
ADI,EQ,26-05-2015,293.0,284.1,290.0,284.1,284.1,286.7,286.31,513,"1,46,878.00",13,359,69.98
ADI,EQ,27-05-2015,286.7,280.0,294.0,265.1,294.0,294.0,285.74,"1,415","4,04,319.50",21,"1,136",80.28
ADI,EQ,28-05-2015,294.0,295.0,295.0,282.6,294.9,294.9,291.34,85,"24,764.00",4,75,88.24
ADI,EQ,29-05-2015,294.9,285.0,290.7,274.0,290.7,290.7,282.65,451,"1,27,476.90",19,443,98.23
ADI,EQ,01-06-2015,290.7,283.0,292.0,273.05,290.9,290.9,286.1,"5,703","16,31,648.95",55,"4,519",79.24
ADI,EQ,02-06-2015,290.9,287.95,287.95,280.0,280.0,280.0,285.72,8,"2,285.75",4,6,75.0
ADI,EQ,03-06-2015,280.0,282.0,290.0,273.85,276.5,280.45,284.74,"6,627","18,86,991.45",82,"5,340",80.58
ADI,EQ,04-06-2015,280.45,285.0,289.0,267.0,267.0,272.1,274.47,764,"2,09,694.35",31,631,82.59
ADI,EQ,05-06-2015,272.1,280.0,284.0,270.0,270.0,270.75,276.48,745,"2,05,974.00",26,525,70.47
ADI,EQ,08-06-2015,270.75,273.0,280.0,268.0,270.0,272.3,272.14,"2,067","5,62,517.30",15,"2,062",99.76
ADI,EQ,09-06-2015,272.3,271.1,275.0,270.85,272.2,272.2,271.47,572,"1,55,283.50",7,532,93.01
ADI,EQ,10-06-2015,272.2,270.0,281.0,270.0,281.0,280.2,279.87,"1,860","5,20,561.25",28,"1,752",94.19
ADI,EQ,11-06-2015,280.2,279.9,279.9,270.0,270.0,270.3,276.16,"3,971","10,96,643.70",14,"3,961",99.75
ADI,EQ,12-06-2015,270.3,281.0,281.0,273.7,279.4,279.4,274.03,105,"28,773.40",3,105,100.0
ADI,EQ,15-06-2015,279.4,265.0,274.85,265.0,265.1,270.2,268.76,385,"1,03,472.00",18,278,72.21
ADI,EQ,16-06-2015,270.2,270.0,270.0,238.7,261.0,261.9,257.08,"2,657","6,83,061.05",74,"1,344",50.58
ADI,EQ,17-06-2015,261.9,262.0,265.75,241.1,264.9,264.3,254.68,"7,624","19,41,659.40",95,"6,702",87.91
ADI,EQ,18-06-2015,264.3,260.0,260.0,250.0,254.0,254.1,251.91,"2,202","5,54,697.80",46,"1,850",84.01
ADI,EQ,19-06-2015,254.1,255.1,262.0,250.0,259.0,258.1,254.27,"2,627","6,67,980.15",58,"1,869",71.15
ADI,EQ,22-06-2015,258.1,260.9,266.0,256.0,260.0,263.15,259.96,602,"1,56,496.90",22,531,88.21
ADI,EQ,23-06-2015,263.15,268.0,279.0,268.0,274.0,274.0,272.27,377,"1,02,646.50",22,325,86.21
ADI,EQ,24-06-2015,274.0,280.0,285.0,270.0,272.0,274.65,279.64,"2,014","5,63,189.15",154,445,22.1
ADI,EQ,25-06-2015,274.65,274.0,278.0,258.7,270.0,264.45,264.54,"1,408","3,72,475.80",29,"1,396",99.15
ADI,EQ,26-06-2015,264.45,263.0,275.0,263.0,274.5,267.95,265.58,845,"2,24,411.20",45,660,78.11
ADI,EQ,29-06-2015,267.95,263.0,263.0,258.0,263.0,259.2,260.03,613,"1,59,400.60",21,609,99.35
ADI,EQ,30-06-2015,259.2,258.3,277.0,258.2,259.05,260.6,266.23,"5,121","13,63,379.60",25,"4,965",96.95
ADI,EQ,01-07-2015,260.6,263.0,270.0,263.0,265.75,265.75,267.54,225,"60,197.00",10,215,95.56
ADI,EQ,02-07-2015,265.75,266.0,272.0,264.05,272.0,272.0,265.98,"1,153","3,06,672.45",22,"1,141",98.96
ADI,EQ,03-07-2015,272.0,267.0,273.0,267.0,267.0,267.0,267.47,53,"14,176.00",6,48,90.57
ADI,EQ,06-07-2015,267.0,267.0,272.9,266.0,266.05,270.1,267.01,196,"52,334.85",18,146,74.49
ADI,EQ,07-07-2015,270.1,268.5,268.5,264.0,264.0,264.0,265.22,69,"18,300.00",6,52,75.36
ADI,EQ,08-07-2015,264.0,263.0,267.0,256.05,262.0,262.7,261.86,"1,077","2,82,023.00",27,"1,074",99.72
ADI,EQ,09-07-2015,262.7,263.0,263.0,253.0,254.25,254.1,261.63,501,"1,31,077.20",23,497,99.2
ADI,EQ,10-07-2015,254.1,265.0,265.0,250.0,262.9,262.9,258.64,"8,061","20,84,934.05",65,"6,834",84.78
ADI,EQ,13-07-2015,262.9,260.0,270.0,252.5,270.0,263.2,261.49,"8,191","21,41,890.40",71,"7,849",95.82
ADI,EQ,14-07-2015,263.2,268.0,271.25,255.1,259.05,259.35,260.47,"2,430","6,32,940.55",59,"1,372",56.46
