SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
PROSTARM,BE,03-06-2025,105.0,120.0,126.0,120.0,126.0,126.0,122.22,"64,49,680","78,82,91,394.08","35,051",-,-
PROSTARM,BE,04-06-2025,126.0,119.7,122.9,119.7,119.7,119.7,119.79,"12,45,066","14,91,40,931.96","6,353",-,-
PROSTARM,BE,05-06-2025,119.7,113.71,119.0,113.71,117.85,116.96,115.1,"15,37,316","17,69,43,673.07","33,419",-,-
PROSTARM,BE,06-06-2025,116.96,116.0,116.0,111.25,112.99,112.39,113.43,"6,31,383","7,16,19,807.23","6,358",-,-
PROSTARM,BE,09-06-2025,112.39,112.0,117.0,112.0,115.1,116.16,115.2,"4,68,478","5,39,70,830.17","4,412",-,-
PROSTARM,BE,10-06-2025,116.16,117.2,118.0,114.5,116.95,117.07,116.46,"3,15,553","3,67,48,412.56","2,727",-,-
PROSTARM,BE,11-06-2025,117.07,117.8,117.85,112.15,115.45,114.54,114.81,"4,06,142","4,66,28,140.64","3,632",-,-
PROSTARM,BE,12-06-2025,114.54,114.61,115.0,111.5,112.91,112.36,112.95,"3,04,556","3,44,00,421.35","2,576",-,-
PROSTARM,BE,13-06-2025,112.36,108.1,115.6,108.0,114.5,114.66,112.68,"2,42,747","2,73,52,789.49","2,215",-,-
PROSTARM,BE,16-06-2025,114.66,114.66,115.0,111.25,112.94,112.33,112.51,"1,91,328","2,15,25,680.29","2,096",-,-
PROSTARM,EQ,17-06-2025,112.33,117.0,118.9,113.5,114.0,114.42,115.9,"7,13,560","8,26,98,945.14","5,250","3,64,673",51.11
PROSTARM,EQ,18-06-2025,114.42,115.5,125.99,113.1,121.55,122.07,120.64,"23,20,706","27,99,74,800.72","14,342","12,13,184",52.28
PROSTARM,EQ,19-06-2025,122.07,126.0,126.0,116.1,119.5,119.28,121.1,"14,40,696","17,44,63,740.10","13,599","6,48,101",44.99
PROSTARM,EQ,20-06-2025,119.28,121.91,135.63,117.8,131.9,131.28,130.2,"66,89,120","87,09,14,154.61","45,693","26,69,263",39.90
PROSTARM,EQ,23-06-2025,131.28,133.0,140.85,130.0,134.0,134.05,135.72,"50,12,517","68,03,18,408.32","34,320","18,18,675",36.28
PROSTARM,EQ,24-06-2025,134.05,126.5,138.0,126.5,130.8,131.12,131.88,"31,82,196","41,96,71,194.17","23,327","12,52,578",39.36
PROSTARM,EQ,25-06-2025,131.12,132.4,135.0,129.56,135.0,133.26,132.36,"13,78,363","18,24,44,605.64","10,892","6,24,971",45.34
PROSTARM,EQ,26-06-2025,133.26,136.72,140.4,132.6,134.5,135.39,136.95,"33,69,149","46,14,03,393.16","23,149","11,88,450",35.27
PROSTARM,EQ,27-06-2025,135.39,136.06,145.0,133.97,144.1,142.18,139.24,"23,93,515","33,32,78,295.68","14,397","11,28,659",47.15
PROSTARM,EQ,30-06-2025,142.18,145.8,155.9,140.05,143.6,142.73,148.53,"60,16,929","89,37,16,967.82","39,265","19,21,536",31.94
PROSTARM,EQ,01-07-2025,142.73,142.7,156.05,141.5,152.85,152.26,150.35,"54,21,694","81,51,54,870.44","34,895","17,73,284",32.71
PROSTARM,EQ,02-07-2025,152.26,153.5,158.8,147.75,150.0,149.36,151.6,"30,31,288","45,95,58,125.96","20,133","11,36,417",37.49
PROSTARM,EQ,03-07-2025,149.36,150.0,152.08,143.8,144.79,144.54,146.61,"14,44,748","21,18,19,362.21","13,075","5,69,379",39.41
PROSTARM,EQ,04-07-2025,144.54,145.0,153.01,144.1,152.1,152.13,149.57,"23,45,599","35,08,29,886.29","20,371","8,76,499",37.37
PROSTARM,EQ,07-07-2025,152.13,153.0,157.99,149.31,155.0,155.95,153.79,"18,39,624","28,29,24,196.75","18,250","5,76,244",31.32
PROSTARM,EQ,08-07-2025,155.95,158.0,165.95,155.41,165.95,164.06,160.96,"41,61,919","66,99,00,985.13","34,625","14,27,182",34.29
PROSTARM,EQ,09-07-2025,164.06,167.5,196.87,163.66,196.87,196.87,184.4,"1,54,55,673","2,85,00,96,746.46","94,606","27,43,444",17.75
PROSTARM,EQ,10-07-2025,196.87,205.4,216.55,196.87,215.1,213.92,209.39,"2,04,04,943","4,27,24,96,972.92","1,14,849","26,98,826",13.23
PROSTARM,EQ,11-07-2025,213.92,212.95,223.65,203.1,205.99,205.88,214.15,"71,58,638","1,53,30,16,398.52","62,691","16,09,205",22.48
PROSTARM,EQ,14-07-2025,205.88,213.0,216.0,188.11,202.0,202.01,198.65,"68,31,672","1,35,71,15,388.25","57,012","17,73,325",25.96
PROSTARM,EQ,15-07-2025,202.01,203.0,208.5,195.0,197.7,196.07,201.34,"17,40,827","35,04,98,335.29","15,861","7,03,008",40.38
PROSTARM,EQ,16-07-2025,196.07,198.0,198.85,192.0,195.0,193.36,194.59,"12,98,483","25,26,70,234.24","10,954","5,63,405",43.39
PROSTARM,EQ,17-07-2025,193.36,197.5,205.8,195.53,201.0,200.22,200.82,"20,04,355","40,25,05,794.84","18,895","6,89,252",34.39
PROSTARM,EQ,18-07-2025,200.22,204.0,220.24,200.36,220.24,220.24,214.94,"45,71,077","98,25,19,900.21","36,231","16,29,060",35.64
PROSTARM,EQ,21-07-2025,220.24,225.8,238.17,212.8,228.5,228.63,226.87,"67,45,460","1,53,03,56,517.80","62,375","15,05,939",22.33
PROSTARM,EQ,22-07-2025,228.63,229.0,233.0,214.11,218.7,218.67,223.07,"25,89,693","57,76,75,097.48","26,756","9,27,700",35.82
PROSTARM,EQ,23-07-2025,218.67,219.7,227.84,214.6,222.9,222.83,221.79,"19,85,216","44,02,99,235.94","18,826","6,47,626",32.62
PROSTARM,EQ,24-07-2025,222.83,224.65,226.01,210.5,213.99,213.24,217.6,"12,16,449","26,47,00,817.30","12,887","5,29,083",43.49
PROSTARM,EQ,25-07-2025,213.24,213.0,225.0,207.06,220.0,222.21,218.6,2547851,5569.67,25518, 717188, 28.15
PROSTARM,EQ,28-07-2025,222.21,219.97,226.8,212.91,218.95,218.44,218.93,1338380,2930.15,15146, 428519, 32.02
PROSTARM,EQ,29-07-2025,218.44,220.0,240.28,215.21,240.28,239.61,232.97,3734250,8699.52,32332, 1511583, 40.48
PROSTARM,EQ,30-07-2025,239.61,240.35,253.49,231.1,232.05,234.38,244.25,3431335,8381.15,35287, 1268903, 36.98
PROSTARM,EQ,31-07-2025,234.38,227.0,242.99,227.0,233.5,232.85,235.68,1520414,3583.38,16277, 541543, 35.62
PROSTARM,EQ,01-08-2025,232.85,233.5,236.19,222.0,226.1,225.63,227.86,1551780,3535.91,17019, 630342, 40.62
PROSTARM,EQ,04-08-2025,225.63,228.59,230.0,222.51,228.68,227.28,227.72,784825,1787.22,9657, 276180, 35.19
PROSTARM,EQ,05-08-2025,227.28,228.4,233.7,220.5,222.0,222.9,226.58,878499,1990.5,10886, 367097, 41.79
PROSTARM,EQ,06-08-2025,222.9,223.8,223.95,201.16,203.4,202.6,207.59,2151347,4465.95,25743, 892934, 41.51
PROSTARM,EQ,07-08-2025,202.6,203.4,214.9,202.19,210.7,209.53,209.15,1484301,3104.42,16202, 448186, 30.20
PROSTARM,EQ,08-08-2025,209.53,210.0,210.48,196.0,198.3,198.58,203.36,891230,1812.4,10308, 421898, 47.34
PROSTARM,EQ,11-08-2025,198.58,199.5,214.69,198.7,208.6,208.29,207.84,1281879,2664.21,15812, 437803, 34.15
PROSTARM,EQ,12-08-2025,208.29,209.4,213.0,202.0,204.45,203.35,207.69,641043,1331.38,8499, 232189, 36.22
PROSTARM,EQ,13-08-2025,203.35,205.5,212.9,205.5,212.0,211.26,209.77,730312,1532.0,8629, 284490, 38.95
PROSTARM,EQ,14-08-2025,211.26,212.79,213.8,204.07,206.0,205.81,206.87,501877,1038.23,7308, 217441, 43.33
PROSTARM,EQ,18-08-2025,205.81,185.22,195.18,185.22,185.99,186.42,187.89,4622259,8684.7,26780, 1703290, 36.85
PROSTARM,EQ,19-08-2025,186.42,187.38,199.79,185.51,193.0,193.87,192.17,1862010,3578.24,19515, 576767, 30.98
PROSTARM,EQ,20-08-2025,193.87,194.3,213.25,194.3,208.94,208.95,207.54,3441177,7141.7,21511, 966022, 28.07
PROSTARM,EQ,21-08-2025,208.95,213.0,213.0,206.76,207.28,207.78,209.46,1002131,2099.09,11343, 353026, 35.23
PROSTARM,EQ,22-08-2025,207.78,207.5,209.36,202.15,204.6,203.26,205.68,604401,1243.14,9640, 220047, 36.41
PROSTARM,EQ,25-08-2025,203.26,205.0,210.15,198.4,205.98,205.37,205.4,643888,1322.57,8639, 245191, 38.08
PROSTARM,EQ,26-08-2025,205.37,205.99,206.4,197.15,198.9,198.34,200.48,528150,1058.85,7685, 219209, 41.51
PROSTARM,EQ,28-08-2025,198.34,196.51,196.51,185.25,189.5,189.49,190.19,1076222,2046.82,13171, 426404, 39.62
PROSTARM,EQ,29-08-2025,189.49,190.5,192.21,187.7,188.5,188.77,189.42,946856,1793.57,8579, 451402, 47.67
PROSTARM,EQ,01-09-2025,188.77,190.0,195.0,186.0,191.0,191.4,189.28,903332,1709.82,8395, 419062, 46.39
PROSTARM,EQ,02-09-2025,191.4,192.0,192.0,183.0,183.02,183.95,186.02,1034440,1924.3,11542, 532719, 51.50
PROSTARM,EQ,03-09-2025,183.95,183.98,193.0,181.9,191.0,190.72,188.95,1373764,2595.72,14593, 447214, 32.55
PROSTARM,EQ,04-09-2025,190.72,192.47,196.08,185.0,189.0,188.43,191.46,850364,1628.09,10581, 263371, 30.97
PROSTARM,EQ,05-09-2025,188.43,188.99,207.27,187.1,207.27,207.11,202.86,3564876,7231.77,30092, 1067084, 29.93
PROSTARM,EQ,08-09-2025,207.11,208.65,215.9,206.1,208.0,208.32,211.66,1503747,3182.78,19525, 547634, 36.42
PROSTARM,EQ,09-09-2025,208.32,207.9,208.32,198.6,203.0,203.09,202.72,698169,1415.35,9270, 293331, 42.01
PROSTARM,EQ,10-09-2025,203.09,203.88,222.3,201.0,220.6,220.41,216.35,3624350,7841.33,41722, 1204817, 33.24
PROSTARM,EQ,11-09-2025,220.41,222.4,228.6,218.12,225.03,226.42,224.41,3777047,8475.92,40284, 827933, 21.92
PROSTARM,EQ,12-09-2025,226.42,228.75,231.72,216.55,220.0,218.69,224.89,1796039,4039.07,22466, 638159, 35.53
PROSTARM,EQ,15-09-2025,218.69,220.0,223.99,217.8,222.5,222.52,221.17,804964,1780.31,10389, 246579, 30.63
PROSTARM,EQ,16-09-2025,222.52,223.49,237.0,223.49,230.0,229.35,231.46,2896689,6704.61,32853, 907508, 31.33
PROSTARM,EQ,17-09-2025,229.35,230.5,231.2,219.1,221.99,220.63,223.62,964205,2156.17,14634, 373065, 38.69
PROSTARM,EQ,18-09-2025,220.63,220.63,229.0,220.26,223.0,222.52,224.58,887166,1992.39,9845, 276773, 31.20
PROSTARM,EQ,19-09-2025,222.52,224.5,234.85,201.2,209.0,207.39,217.15,3630890,7884.34,35560, 1154691, 31.80
PROSTARM,EQ,22-09-2025,207.39,208.0,214.0,206.56,209.6,209.83,210.03,990242,2079.8,12859, 298398, 30.13
PROSTARM,EQ,23-09-2025,209.83,210.0,210.0,203.52,206.0,206.22,205.64,628175,1291.78,8259, 219481, 34.94
PROSTARM,EQ,24-09-2025,206.22,207.25,209.44,203.09,203.94,204.42,205.55,525616,1080.4,7049, 178493, 33.96
PROSTARM,EQ,25-09-2025,204.42,204.7,207.2,199.0,200.79,200.48,203.26,550518,1118.99,8137, 223976, 40.68
PROSTARM,EQ,26-09-2025,200.48,199.8,202.3,195.01,197.9,198.12,198.25,586657,1163.06,9319, 204094, 34.79
PROSTARM,EQ,29-09-2025,198.12,199.25,200.5,190.95,194.67,193.66,195.01,628045,1224.72,9437, 242933, 38.68
PROSTARM,EQ,30-09-2025,193.66,194.0,196.59,190.5,192.5,192.61,192.84,400304,771.94,5968, 131428, 32.83
PROSTARM,EQ,01-10-2025,192.61,192.11,200.0,191.2,199.0,199.31,196.22,771758,1514.33,8871, 251731, 32.62
PROSTARM,EQ,03-10-2025,199.31,199.31,207.0,197.74,206.5,205.93,202.1,784885,1586.24,10389, 244348, 31.13
PROSTARM,EQ,06-10-2025,205.93,208.7,208.7,199.0,200.0,200.25,202.69,543681,1101.99,8223, 198183, 36.45
PROSTARM,EQ,07-10-2025,200.25,200.4,202.0,196.12,197.84,197.86,198.87,325963,648.25,5581, 119206, 36.57
PROSTARM,EQ,08-10-2025,197.86,200.9,202.0,192.25,195.3,195.61,197.59,496918,981.85,8349, 164447, 33.09
PROSTARM,EQ,09-10-2025,195.61,195.61,195.79,192.72,193.75,193.43,193.99,266887,517.72,6012, 119440, 44.75
PROSTARM,EQ,10-10-2025,193.43,193.43,203.5,192.8,194.91,196.2,199.06,995817,1982.28,15058, 314443, 31.58
PROSTARM,EQ,13-10-2025,196.2,194.79,194.79,190.0,190.42,190.52,192.04,392447,753.67,7169, 199942, 50.95
PROSTARM,EQ,14-10-2025,190.52,190.7,191.52,182.81,185.5,186.37,186.38,619887,1155.31,10576, 286252, 46.18
PROSTARM,EQ,15-10-2025,186.37,186.97,194.5,185.5,193.45,192.5,189.4,501670,950.15,8742, 172781, 34.44
PROSTARM,EQ,16-10-2025,192.5,193.6,193.6,182.47,185.0,183.74,186.09,900083,1675.0,14073, 487768, 54.19
PROSTARM,EQ,17-10-2025,183.74,184.5,185.43,175.71,178.75,178.18,179.57,1012997,1819.06,18976, 425054, 41.96
PROSTARM,EQ,20-10-2025,178.18,179.65,181.19,173.25,176.55,175.57,175.79,581616,1022.45,11755, 228657, 39.31
PROSTARM,EQ,21-10-2025,175.57,182.5,184.0,178.09,181.7,181.29,180.74,214987,388.56,4246, 102999, 48.07
PROSTARM,EQ,23-10-2025,181.29,182.2,183.28,176.65,177.8,177.82,178.87,338285,605.1,7563, 164435, 48.61
PROSTARM,EQ,24-10-2025,177.82,174.31,178.5,174.0,175.17,175.58,175.59,382778,672.13,6689, 166756, 43.56
PROSTARM,EQ,27-10-2025,175.58,177.95,178.5,172.26,173.9,173.49,175.48,326290,572.56,6577, 143003, 43.83
PROSTARM,EQ,28-10-2025,173.49,173.4,174.47,170.16,170.99,170.71,172.03,286652,493.13,6689, 138705, 48.39
PROSTARM,EQ,29-10-2025,170.71,170.73,179.69,170.21,178.5,176.76,175.97,519276,913.76,7546, 192244, 37.02
PROSTARM,EQ,30-10-2025,176.76,176.8,177.6,171.9,172.4,172.41,173.41,211026,365.94,3622, 111810, 52.98
PROSTARM,EQ,31-10-2025,172.41,172.9,175.02,171.0,171.39,171.79,172.8,191876,331.56,3167, 98450, 51.31
PROSTARM,EQ,03-11-2025,171.79,171.9,172.21,166.5,168.1,168.71,169.17,299445,506.56,4776, 156293, 52.19
PROSTARM,EQ,04-11-2025,168.71,168.4,170.65,163.1,164.01,164.16,165.88,314245,521.26,5180, 172404, 54.86
PROSTARM,EQ,06-11-2025,164.16,165.0,167.06,158.42,159.49,158.9,161.02,417548,672.35,6059, 223462, 53.52
PROSTARM,EQ,07-11-2025,158.9,158.9,166.5,154.91,164.2,162.05,160.88,577088,928.41,8419, 189444, 32.83
PROSTARM,EQ,10-11-2025,162.05,162.2,162.97,157.0,157.64,157.37,158.53,241894,383.48,4357, 115062, 47.57
PROSTARM,EQ,11-11-2025,157.37,157.37,160.84,156.23,159.4,158.17,158.29,200505,317.37,3806, 79061, 39.43
PROSTARM,EQ,12-11-2025,158.17,159.4,170.36,159.4,161.0,160.89,163.88,577357,946.17,8036, 206601, 35.78
PROSTARM,EQ,13-11-2025,160.89,160.9,164.44,160.22,161.25,161.38,162.35,219100,355.7,3425, 123515, 56.37
PROSTARM,EQ,14-11-2025,161.38,161.0,164.98,160.5,163.0,161.65,162.38,256475,416.45,3172, 117792, 45.93
PROSTARM,EQ,17-11-2025,161.65,165.0,165.0,153.28,154.68,154.41,156.46,732808,1146.54,8750, 371365, 50.68
PROSTARM,EQ,18-11-2025,154.41,154.05,160.51,151.5,159.5,159.36,156.74,501066,785.39,6592, 197578, 39.43
PROSTARM,EQ,19-11-2025,159.36,161.75,164.35,160.05,161.9,161.17,161.94,272615,441.46,4198, 110043, 40.37
PROSTARM,EQ,20-11-2025,161.17,162.0,162.46,155.5,156.3,156.46,157.14,215320,338.35,3962, 86698, 40.26
PROSTARM,EQ,21-11-2025,156.46,156.46,156.69,153.7,155.0,154.72,155.03,158521,245.75,2793, 80407, 50.72
PROSTARM,EQ,24-11-2025,154.72,154.72,154.72,149.07,152.3,151.54,151.81,245992,373.44,5006, 132249, 53.76
PROSTARM,EQ,25-11-2025,151.54,150.3,158.46,150.0,156.89,156.25,155.59,251184,390.81,5318, 86879, 34.59
PROSTARM,EQ,26-11-2025,156.25,157.5,160.9,154.96,160.25,159.64,158.97,195402,310.64,2894, 93373, 47.79
PROSTARM,EQ,27-11-2025,159.64,160.5,190.0,160.25,178.0,182.07,183.75,21411287,39343.7,134771, 1994178, 9.31
PROSTARM,EQ,28-11-2025,182.07,177.4,180.34,172.0,173.15,173.05,175.97,2687309,4728.75,27519, 471316, 17.54
PROSTARM,EQ,01-12-2025,173.05,174.0,182.0,170.15,177.37,177.94,177.75,1733061,3080.56,22806, 322177, 18.59
PROSTARM,EQ,02-12-2025,177.94,178.49,208.65,175.68,189.85,193.96,199.63,52853155,105511.13,347763, 3088980, 5.84
PROSTARM,EQ,03-12-2025,193.96,190.06,194.0,182.42,186.11,187.02,187.66,11415345,21421.55,85492, 1127848, 9.88
PROSTARM,EQ,04-12-2025,187.02,186.0,187.8,179.11,180.5,180.98,182.03,1817468,3308.28,18705, 396636, 21.82
