SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
PSUBANKICI,EQ,21-03-2023,36.39,37.0,42.7,36.35,36.61,36.61,36.83,"9,325","3,43,463.11",60,"6,138",65.82
PSUBANKICI,EQ,22-03-2023,36.61,36.99,40.2,36.99,37.01,37.04,37.66,"8,168","3,07,628.53",116,"3,862",47.28
PSUBANKICI,EQ,23-03-2023,37.04,37.04,37.14,36.41,36.47,36.51,36.83,"27,890","10,27,302.22",76,"21,643",77.6
PSUBANKICI,EQ,24-03-2023,36.51,36.5,36.63,35.36,35.57,35.57,35.88,"35,066","12,58,223.19",109,"31,756",90.56
PSUBANKICI,EQ,27-03-2023,35.57,35.71,35.98,35.5,35.55,35.59,35.72,"8,964","3,20,178.91",54,"5,722",63.83
PSUBANKICI,EQ,28-03-2023,35.59,35.8,35.89,35.34,35.6,35.59,35.53,"4,277","1,51,979.41",45,766,17.91
PSUBANKICI,EQ,29-03-2023,35.59,35.51,37.02,35.51,36.99,36.91,35.8,"36,158","12,94,445.63",77,"12,477",34.51
PSUBANKICI,EQ,31-03-2023,36.91,36.9,37.8,36.89,37.17,37.17,37.32,"14,27,528","5,32,70,677.17",129,"14,05,314",98.44
PSUBANKICI,EQ,03-04-2023,37.17,37.2,37.69,37.2,37.69,37.66,37.56,"8,851","3,32,456.23",68,"4,251",48.03
PSUBANKICI,EQ,05-04-2023,37.66,37.73,37.73,37.01,37.21,37.2,37.22,"16,657","6,20,032.85",79,"12,179",73.12
PSUBANKICI,EQ,06-04-2023,37.2,37.3,37.89,37.26,37.27,37.42,37.68,"3,632","1,36,843.28",63,"2,531",69.69
PSUBANKICI,EQ,10-04-2023,37.42,37.42,37.6,36.73,37.2,37.19,37.15,"5,572","2,06,975.53",59,"4,009",71.95
PSUBANKICI,EQ,11-04-2023,37.19,37.58,38.07,37.58,37.8,37.79,37.93,"27,969","10,60,962.51",106,"16,308",58.31
PSUBANKICI,EQ,12-04-2023,37.79,37.79,37.79,37.41,37.62,37.61,37.58,"7,595","2,85,397.20",41,"1,055",13.89
PSUBANKICI,EQ,13-04-2023,37.61,37.59,38.16,37.41,37.99,37.98,37.69,"19,138","7,21,361.27",44,"7,225",37.75
PSUBANKICI,EQ,17-04-2023,37.98,37.99,39.49,37.82,39.42,39.34,38.37,"41,368","15,87,120.94",110,"27,834",67.28
PSUBANKICI,EQ,18-04-2023,39.34,39.4,39.77,39.24,39.55,39.47,39.42,"30,980","12,21,115.88",139,"3,297",10.64
PSUBANKICI,EQ,19-04-2023,39.47,39.49,39.88,39.11,39.2,39.2,39.49,"13,891","5,48,546.44",105,"10,169",73.21
PSUBANKICI,EQ,20-04-2023,39.2,39.26,39.39,38.99,39.2,39.08,39.11,"14,349","5,61,194.62",61,"7,651",53.32
PSUBANKICI,EQ,21-04-2023,39.08,39.05,39.05,38.51,38.64,38.66,38.73,"11,516","4,46,069.94",65,"2,381",20.68
PSUBANKICI,EQ,24-04-2023,38.66,38.8,40.0,38.8,40.0,39.81,39.52,"28,343","11,20,173.69",107,"24,170",85.28
PSUBANKICI,EQ,25-04-2023,39.81,40.16,40.72,39.88,40.4,40.41,40.41,"13,024","5,26,235.67",100,"10,448",80.22
PSUBANKICI,EQ,26-04-2023,40.41,40.58,41.0,40.05,40.67,40.66,40.47,"15,535","6,28,754.38",139,"8,788",56.57
PSUBANKICI,EQ,27-04-2023,40.66,40.61,40.79,40.45,40.56,40.75,40.59,"8,832","3,58,497.84",76,"4,566",51.7
PSUBANKICI,EQ,28-04-2023,40.75,40.87,41.86,40.82,41.75,41.49,41.38,"43,561","18,02,645.37",135,"31,261",71.76
PSUBANKICI,EQ,02-05-2023,41.49,42.38,42.38,41.79,41.89,41.86,41.91,"28,042","11,75,349.83",169,"14,522",51.79
PSUBANKICI,EQ,03-05-2023,41.86,41.81,41.81,41.26,41.55,41.42,41.41,"17,192","7,11,920.29",130,"8,727",50.76
PSUBANKICI,EQ,04-05-2023,41.42,41.52,42.13,41.52,41.99,42.0,41.67,"54,418","22,67,417.89",70,"7,028",12.91
PSUBANKICI,EQ,05-05-2023,42.0,42.09,42.49,41.36,41.59,41.51,42.01,"32,137","13,49,976.91",193,"17,091",53.18
PSUBANKICI,EQ,08-05-2023,41.51,41.71,41.71,40.59,41.22,41.19,41.23,"71,488","29,47,703.36",253,"35,073",49.06
PSUBANKICI,EQ,09-05-2023,41.19,41.89,41.89,39.78,40.01,39.95,40.3,"71,865","28,96,290.23",515,"67,169",93.47
PSUBANKICI,EQ,10-05-2023,39.95,40.31,40.31,39.05,39.7,39.63,39.35,"1,03,808","40,84,673.73",390,"34,714",33.44
PSUBANKICI,EQ,11-05-2023,39.63,39.63,40.09,39.63,39.7,39.73,39.86,"61,857","24,65,773.01",216,"23,352",37.75
PSUBANKICI,EQ,12-05-2023,39.73,39.74,39.99,39.58,39.82,39.82,39.8,"7,740","3,08,048.72",95,"4,786",61.83
PSUBANKICI,EQ,15-05-2023,39.82,39.8,40.27,39.5,40.27,40.14,39.84,"41,438","16,50,747.45",97,"36,846",88.92
PSUBANKICI,EQ,16-05-2023,40.14,40.31,40.89,40.31,40.4,40.56,40.61,"40,094","16,28,214.74",118,"8,926",22.26
PSUBANKICI,EQ,17-05-2023,40.56,40.59,40.89,39.94,40.41,40.41,40.36,"32,955","13,30,066.93",135,"10,437",31.67
PSUBANKICI,EQ,18-05-2023,40.41,40.54,40.68,39.45,39.65,39.56,39.89,"1,02,791","41,00,448.56",287,"83,136",80.88
PSUBANKICI,EQ,19-05-2023,39.56,39.87,39.98,39.11,39.84,39.78,39.43,"33,162","13,07,438.92",179,"15,816",47.69
PSUBANKICI,EQ,22-05-2023,39.78,39.8,40.17,39.61,39.99,39.99,39.9,"40,142","16,01,861.93",211,"19,681",49.03
PSUBANKICI,EQ,23-05-2023,39.99,40.0,40.24,39.91,40.12,40.17,40.15,"11,479","4,60,844.49",88,"7,925",69.04
PSUBANKICI,EQ,24-05-2023,40.17,40.06,40.24,39.85,39.94,39.92,40.02,"32,681","13,07,749.70",159,"14,074",43.06
PSUBANKICI,EQ,25-05-2023,39.92,39.93,39.93,39.47,39.76,39.73,39.68,"21,684","8,60,341.25",165,"14,768",68.11
PSUBANKICI,EQ,26-05-2023,39.73,39.8,40.29,39.77,40.24,40.25,39.91,"82,401","32,88,244.90",80,"9,182",11.14
PSUBANKICI,EQ,29-05-2023,40.25,40.6,40.6,40.21,40.45,40.49,40.49,"49,075","19,87,024.43",117,"27,259",55.55
PSUBANKICI,EQ,30-05-2023,40.49,40.35,40.49,40.25,40.3,40.32,40.31,"9,336","3,76,322.57",75,"6,741",72.2
PSUBANKICI,EQ,31-05-2023,40.32,40.3,40.59,40.01,40.42,40.44,40.41,"54,958","22,20,753.95",93,"5,073",9.23
PSUBANKICI,EQ,01-06-2023,40.44,41.65,41.65,40.52,40.77,40.76,40.81,"85,606","34,93,361.19",173,"65,468",76.48
PSUBANKICI,EQ,02-06-2023,40.76,40.8,41.48,40.8,41.06,41.13,41.12,"43,388","17,84,313.31",132,"34,417",79.32
PSUBANKICI,EQ,05-06-2023,41.13,41.2,41.3,40.99,41.05,41.04,41.1,"6,269","2,57,686.73",73,"4,051",64.62
