SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
PTCIL,EQ,09-06-2023,"3,015.70","3,090.00","3,149.95","2,950.00","3,070.00","3,070.15","3,085.79","7,308","2,25,50,934.25",777,"5,295",72.45
PTCIL,EQ,12-06-2023,"3,070.15","3,132.00","3,684.15","3,129.95","3,684.15","3,684.15","3,531.56","28,360","10,01,55,176.00","1,921","17,986",63.42
PTCIL,EQ,13-06-2023,"3,684.15","3,768.00","3,975.00","3,550.00","3,739.95","3,655.65","3,756.44","44,403","16,67,97,305.15","6,085","14,946",33.66
PTCIL,EQ,14-06-2023,"3,655.65","3,787.95","3,787.95","3,450.00","3,470.00","3,491.45","3,600.13","8,669","3,12,09,503.60","1,800","4,405",50.81
PTCIL,EQ,15-06-2023,"3,491.45","3,525.00","3,840.55","3,484.05","3,740.00","3,726.95","3,781.74","56,911","21,52,22,815.40","5,325","14,586",25.63
PTCIL,EQ,16-06-2023,"3,726.95","3,750.00","3,784.80","3,672.00","3,711.10","3,737.25","3,746.16","9,569","3,58,46,971.15","1,973","4,396",45.94
PTCIL,EQ,19-06-2023,"3,737.25","3,783.00","4,050.00","3,750.00","4,050.00","4,032.35","3,931.01","21,915","8,61,48,181.90","4,879","12,163",55.5
PTCIL,EQ,20-06-2023,"4,032.35","4,048.00","4,297.65","3,955.00","4,220.00","4,212.20","4,166.71","17,679","7,36,63,256.25","3,506","7,332",41.47
PTCIL,EQ,21-06-2023,"4,212.20","4,250.00","4,633.40","4,232.15","4,452.65","4,454.10","4,507.68","52,319","23,58,37,268.35","7,741","16,830",32.17
PTCIL,EQ,22-06-2023,"4,454.10","4,490.00","4,674.30","4,335.00","4,545.00","4,527.25","4,503.19","21,867","9,84,71,176.05","6,002","10,247",46.86
PTCIL,EQ,23-06-2023,"4,527.25","4,527.25","4,600.00","4,352.70","4,550.00","4,518.85","4,500.11","9,082","4,08,70,010.60","1,661","5,539",60.99
PTCIL,EQ,26-06-2023,"4,518.85","4,552.00","4,650.00","4,333.30","4,612.00","4,602.20","4,480.39","14,958","6,70,17,601.35","2,116","9,839",65.78
PTCIL,EQ,27-06-2023,"4,602.20","4,586.00","4,640.20","4,552.00","4,588.05","4,592.85","4,590.33","2,561","1,17,55,834.25",625,"1,365",53.3
PTCIL,EQ,28-06-2023,"4,592.85","4,560.00","4,626.45","4,480.00","4,580.00","4,598.75","4,587.26","4,926","2,25,96,865.10",753,"3,433",69.69
PTCIL,EQ,30-06-2023,"4,598.75","4,700.00","4,700.00","4,551.00","4,600.00","4,602.15","4,604.11","4,133","1,90,28,800.35",864,"2,562",61.99
PTCIL,EQ,03-07-2023,"4,602.15","4,585.05","4,586.05","4,491.00","4,510.00","4,519.50","4,546.09","2,726","1,23,92,628.10",572,"1,402",51.43
