SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
ICICIBANKP,EQ,14-08-2019,154.84,150.08,179.87,150.08,157.02,157.02,157.07,"1,621","2,54,607.12",20,"1,432",88.34
ICICIBANKP,EQ,16-08-2019,157.02,155.88,158.8,155.02,158.8,158.8,156.24,"2,889","4,51,380.22",29,"2,151",74.45
ICICIBANKP,EQ,19-08-2019,158.8,159.0,159.45,157.35,158.55,157.59,158.47,"13,857","21,95,853.01",36,"13,800",99.59
ICICIBANKP,EQ,20-08-2019,157.59,157.39,157.44,155.55,156.5,156.5,155.73,"1,477","2,30,008.16",21,"1,325",89.71
ICICIBANKP,EQ,21-08-2019,156.5,156.63,157.67,155.5,155.5,155.5,156.11,653,"1,01,939.60",29,648,99.23
ICICIBANKP,EQ,22-08-2019,155.5,155.5,155.5,151.7,151.87,151.81,153.45,"1,050","1,61,124.74",34,"1,035",98.57
ICICIBANKP,EQ,23-08-2019,151.81,148.55,151.81,148.55,151.26,151.26,151.0,180,"27,179.80",14,150,83.33
ICICIBANKP,EQ,26-08-2019,151.26,152.0,156.5,150.3,156.5,156.5,152.47,595,"90,719.19",20,570,95.8
ICICIBANKP,EQ,27-08-2019,156.5,157.5,158.14,157.0,157.45,157.45,157.46,300,"47,237.43",12,192,64.0
ICICIBANKP,EQ,28-08-2019,157.45,158.0,158.0,154.35,154.95,154.95,156.23,"1,299","2,02,943.25",15,"1,148",88.38
ICICIBANKP,EQ,29-08-2019,154.95,153.5,153.8,151.29,152.6,152.6,152.75,"1,053","1,60,844.05",26,629,59.73
ICICIBANKP,EQ,30-08-2019,152.6,154.31,154.31,151.54,153.38,153.38,152.26,267,"40,654.64",12,157,58.8
ICICIBANKP,EQ,03-09-2019,153.38,151.2,151.62,149.9,149.9,150.09,150.66,"1,901","2,86,408.50",61,"1,793",94.32
ICICIBANKP,EQ,04-09-2019,150.09,150.0,152.01,149.81,151.21,151.21,150.71,575,"86,660.38",20,235,40.87
ICICIBANKP,EQ,05-09-2019,151.21,151.27,151.5,149.05,150.2,150.25,150.69,266,"40,083.81",31,172,64.66
ICICIBANKP,EQ,06-09-2019,150.25,153.0,156.0,145.69,151.43,152.4,150.9,199,"30,029.30",34,58,29.15
ICICIBANKP,EQ,09-09-2019,152.4,153.2,153.95,140.0,152.8,153.66,152.0,95,"14,439.60",16,73,76.84
ICICIBANKP,EQ,11-09-2019,153.66,150.7,155.6,148.7,154.34,155.53,154.04,316,"48,675.30",40,289,91.46
ICICIBANKP,EQ,12-09-2019,155.53,150.0,156.5,150.0,155.53,155.4,156.24,"1,422","2,22,179.66",24,"1,296",91.14
ICICIBANKP,EQ,13-09-2019,155.4,152.0,157.2,152.0,157.2,157.04,155.19,125,"19,398.95",21,95,76.0
ICICIBANKP,EQ,16-09-2019,157.04,154.0,156.45,154.0,154.9,154.96,155.94,434,"67,677.46",35,391,90.09
ICICIBANKP,EQ,17-09-2019,154.96,154.9,155.65,151.25,152.12,151.9,153.51,551,"84,582.33",37,398,72.23
