SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
PYRAMID,BE,29-08-2023,166.0,187.0,188.0,177.65,177.65,177.65,184.14,"19,05,748","35,09,33,652.30","15,307",-,-
PYRAMID,BE,30-08-2023,177.65,168.8,168.8,168.8,168.8,168.8,168.8,"3,45,450","5,83,11,960.00","2,013",-,-
PYRAMID,BE,31-08-2023,168.8,164.1,176.8,164.1,167.0,166.85,167.14,"12,91,997","21,59,50,566.60","17,327",-,-
PYRAMID,BE,01-09-2023,166.85,162.55,164.95,160.2,161.5,161.1,161.98,"3,82,825","6,20,09,853.25","6,137",-,-
PYRAMID,BE,04-09-2023,161.1,162.65,162.9,157.0,158.0,158.0,158.16,"2,52,434","3,99,25,849.45","4,550",-,-
PYRAMID,BE,05-09-2023,158.0,158.0,165.9,155.0,165.9,165.9,162.29,"4,65,461","7,55,37,588.75","4,710",-,-
PYRAMID,BE,06-09-2023,165.9,169.25,172.8,166.25,170.3,171.0,169.85,"4,31,036","7,32,10,488.80","5,041",-,-
PYRAMID,BE,07-09-2023,171.0,171.7,172.0,165.0,171.0,169.2,168.2,"2,11,994","3,56,58,234.10","2,883",-,-
PYRAMID,BE,08-09-2023,169.2,169.95,172.1,168.05,170.25,171.3,170.79,"2,57,871","4,40,42,049.30","3,473",-,-
PYRAMID,BE,11-09-2023,171.3,172.25,179.85,172.0,179.85,179.85,178.54,"6,26,700","11,18,91,432.40","5,329",-,-
PYRAMID,EQ,12-09-2023,179.85,182.8,188.25,166.0,168.95,169.6,174.19,"7,55,485","13,15,94,691.70","6,495","5,08,298",67.28
PYRAMID,EQ,13-09-2023,169.6,169.95,177.95,165.5,175.5,176.2,172.43,"2,96,944","5,12,02,381.30","3,200","1,96,529",66.18
