SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
RAJESHEXPO,EQ,09-02-2000,235.0,232.0,246.25,232.0,246.25,246.25,242.43,900,"2,18,190.00",-,-,-
RAJESHEXPO,EQ,10-02-2000,246.25,265.95,265.95,265.9,265.95,265.95,265.94,400,"1,06,375.00",-,-,-
RAJESHEXPO,EQ,11-02-2000,265.95,287.25,287.25,287.25,287.25,287.25,287.25,100,"28,725.00",-,-,-
RAJESHEXPO,EQ,14-02-2000,287.25,310.25,310.25,310.25,310.25,310.25,310.25,100,"31,025.00",-,-,-
RAJESHEXPO,EQ,15-02-2000,310.25,335.1,335.1,335.1,335.1,335.1,335.1,200,"67,020.00",-,-,-
RAJESHEXPO,EQ,16-02-2000,335.1,361.95,361.95,361.95,361.95,361.95,361.95,100,"36,195.00",-,-,-
RAJESHEXPO,EQ,17-02-2000,361.95,390.95,390.95,390.95,390.95,390.95,390.95,100,"39,095.00",-,-,-
RAJESHEXPO,EQ,18-02-2000,390.95,422.25,422.25,422.25,422.25,422.25,422.25,100,"42,225.00",-,-,-
RAJESHEXPO,EQ,21-02-2000,422.25,450.0,456.05,440.0,451.0,446.0,450.24,"3,600","16,20,850.00",-,-,-
RAJESHEXPO,EQ,22-02-2000,446.0,430.0,434.0,425.0,430.0,427.5,428.91,"1,700","7,29,150.00",-,-,-
RAJESHEXPO,EQ,23-02-2000,427.5,460.0,460.0,435.0,435.0,435.0,441.67,900,"3,97,500.00",-,-,-
RAJESHEXPO,EQ,24-02-2000,435.0,434.0,437.0,419.0,419.0,419.15,432.77,"4,500","19,47,485.00",-,-,-
RAJESHEXPO,EQ,25-02-2000,419.15,419.05,428.9,410.0,410.0,410.0,416.48,900,"3,74,835.00",-,-,-
RAJESHEXPO,EQ,28-02-2000,410.0,403.0,407.0,403.0,407.0,407.0,404.78,900,"3,64,305.00",-,-,-
RAJESHEXPO,EQ,29-02-2000,407.0,400.0,400.0,390.0,395.0,392.5,397.5,600,"2,38,500.00",-,-,-
RAJESHEXPO,EQ,01-03-2000,392.5,405.0,423.0,405.0,423.0,423.0,414.0,200,"82,800.00",-,-,-
RAJESHEXPO,EQ,02-03-2000,423.0,420.0,420.0,400.0,400.0,400.0,410.0,300,"1,23,000.00",-,-,-
RAJESHEXPO,EQ,06-03-2000,400.0,395.0,395.0,395.0,395.0,395.0,395.0,100,"39,500.00",-,-,-
RAJESHEXPO,EQ,08-03-2000,395.0,375.0,375.0,375.0,375.0,375.0,375.0,100,"37,500.00",-,-,-
RAJESHEXPO,EQ,31-03-2000,375.0,345.0,345.0,345.0,345.0,345.0,345.0,100,"34,500.00",-,-,-
RAJESHEXPO,BE,01-08-2000,345.0,360.0,360.0,350.0,350.0,350.0,355.0,50,"17,750.00",-,-,-
RAJESHEXPO,BE,03-08-2000,350.0,322.0,370.0,294.0,294.0,294.0,326.2,5,"1,631.00",-,-,-
RAJESHEXPO,BE,29-08-2000,294.0,350.0,350.0,350.0,350.0,350.0,350.0,1,350.00,-,-,-
RAJESHEXPO,BE,05-09-2000,350.0,322.0,322.0,294.0,294.0,294.0,308.0,110,"33,880.00",-,-,-
RAJESHEXPO,BE,06-09-2000,294.0,270.5,270.5,247.0,247.0,247.0,261.69,80,"20,935.00",-,-,-
RAJESHEXPO,BE,07-09-2000,247.0,227.25,227.25,207.5,207.5,207.5,210.79,6,"1,264.75",-,-,-
RAJESHEXPO,BE,08-09-2000,207.5,190.9,190.9,174.3,174.3,174.3,185.37,75,"13,902.50",-,-,-
RAJESHEXPO,BE,12-09-2000,174.3,160.4,160.4,146.45,146.45,146.45,158.08,6,948.45,-,-,-
RAJESHEXPO,BE,13-09-2000,146.45,146.0,146.0,139.0,139.0,139.0,139.4,174,"24,256.00",-,-,-
RAJESHEXPO,BE,14-09-2000,139.0,127.9,127.9,127.9,127.9,127.9,127.9,25,"3,197.50",-,-,-
RAJESHEXPO,BE,21-09-2000,127.9,118.75,118.75,118.75,118.75,118.75,118.75,10,"1,187.50",-,-,-
RAJESHEXPO,BE,22-09-2000,118.75,111.0,111.0,111.0,111.0,111.0,111.0,75,"8,325.00",-,-,-
RAJESHEXPO,BE,29-09-2000,111.0,105.25,105.25,104.0,104.0,104.0,104.63,50,"5,231.25",-,-,-
RAJESHEXPO,BE,31-10-2000,104.0,96.25,96.25,96.25,96.25,96.25,96.25,200,"19,250.00",-,-,-
RAJESHEXPO,BE,03-11-2000,96.25,90.1,90.1,90.1,90.1,90.1,90.1,100,"9,010.00",-,-,-
RAJESHEXPO,BE,14-11-2000,90.1,86.0,86.0,86.0,86.0,86.0,86.0,10,860.00,-,-,-
RAJESHEXPO,BE,22-12-2000,86.0,81.0,81.0,81.0,81.0,81.0,81.0,200,"16,200.00",-,-,-
RAJESHEXPO,BE,26-12-2000,81.0,78.0,78.0,78.0,78.0,78.0,78.0,100,"7,800.00",-,-,-
RAJESHEXPO,BE,27-12-2000,78.0,81.0,81.0,81.0,81.0,81.0,81.0,100,"8,100.00",-,-,-
RAJESHEXPO,BE,28-12-2000,81.0,81.25,87.0,81.25,87.0,87.0,83.32,150,"12,497.50",-,-,-
RAJESHEXPO,BE,29-12-2000,87.0,81.0,88.9,81.0,88.9,88.9,83.47,105,"8,764.00",-,-,-
RAJESHEXPO,BE,01-01-2001,88.9,88.0,88.0,88.0,88.0,88.0,88.0,10,880.00,-,-,-
RAJESHEXPO,BE,02-01-2001,88.0,83.0,83.0,81.0,81.5,81.5,82.19,200,"16,437.50",-,-,-
RAJESHEXPO,BE,03-01-2001,81.5,82.75,82.75,82.75,82.75,82.75,82.75,75,"6,206.25",-,-,-
RAJESHEXPO,BE,04-01-2001,82.75,80.0,80.0,80.0,80.0,80.0,80.0,50,"4,000.00",-,-,-
RAJESHEXPO,BE,05-01-2001,80.0,84.0,86.4,84.0,86.4,86.4,84.31,160,"13,489.00",-,-,-
RAJESHEXPO,BE,09-01-2001,86.4,82.0,82.0,82.0,82.0,82.0,82.0,15,"1,230.00",-,-,-
RAJESHEXPO,BE,12-01-2001,82.0,82.0,82.0,82.0,82.0,82.0,82.0,200,"16,400.00",-,-,-
RAJESHEXPO,BE,15-01-2001,82.0,81.0,81.0,81.0,81.0,81.0,81.0,50,"4,050.00",-,-,-
RAJESHEXPO,BE,17-01-2001,81.0,84.95,84.95,84.95,84.95,84.95,84.95,10,849.50,-,-,-
RAJESHEXPO,BE,19-01-2001,84.95,80.8,80.8,80.8,80.8,80.8,80.8,100,"8,080.00",-,-,-
RAJESHEXPO,BE,22-01-2001,80.8,84.95,91.0,84.95,91.0,91.0,87.54,105,"9,191.75",-,-,-
RAJESHEXPO,BE,23-01-2001,91.0,86.0,86.0,85.05,85.05,85.05,85.46,200,"17,092.50",-,-,-
RAJESHEXPO,BE,24-01-2001,85.05,82.0,82.0,82.0,82.0,82.0,82.0,50,"4,100.00",-,-,-
RAJESHEXPO,BE,25-01-2001,82.0,81.05,81.05,81.05,81.05,81.05,81.05,50,"4,052.50",-,-,-
RAJESHEXPO,BE,29-01-2001,81.05,81.05,81.05,80.05,80.25,80.25,80.62,300,"24,185.00",-,-,-
RAJESHEXPO,BE,30-01-2001,80.25,86.7,86.7,86.7,86.7,86.7,86.7,50,"4,335.00",-,-,-
RAJESHEXPO,BE,02-02-2001,86.7,85.0,85.0,85.0,85.0,85.0,85.0,50,"4,250.00",-,-,-
RAJESHEXPO,BE,06-02-2001,85.0,81.75,81.75,81.75,81.75,81.75,81.75,10,817.50,-,-,-
RAJESHEXPO,BE,08-02-2001,81.75,78.5,78.5,78.5,78.5,78.5,78.5,50,"3,925.00",-,-,-
RAJESHEXPO,BE,09-02-2001,78.5,84.0,84.8,84.0,84.8,84.8,84.13,60,"5,048.00",-,-,-
RAJESHEXPO,BE,13-02-2001,84.8,84.5,84.5,82.55,82.55,82.55,83.53,20,"1,670.50",-,-,-
RAJESHEXPO,BE,15-02-2001,82.55,87.0,89.15,84.0,84.0,84.0,86.35,340,"29,358.00",-,-,-
RAJESHEXPO,BE,16-02-2001,84.0,85.0,86.0,85.0,86.0,86.0,85.5,10,855.00,-,-,-
