SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
RALLIS,EQ,01-01-1996,280.00,252.5,252.5,252.5,-,252.5,252.5,50,"12,625.00",-,-,-
RALLIS,EQ,02-01-1996,252.50,236.0,275.3,236.0,-,275.0,260.32,250,"65,080.00",-,-,-
RALLIS,EQ,05-01-1996,275.00,251.0,290.0,251.0,-,290.0,270.5,600,"1,62,300.00",-,-,-
RALLIS,EQ,12-01-1996,290.00,261.0,261.0,261.0,-,261.0,261.0,50,"13,050.00",-,-,-
RALLIS,EQ,23-01-1996,261.00,261.0,261.0,261.0,-,261.0,261.0,100,"26,100.00",-,-,-
RALLIS,EQ,31-01-1996,261.00,270.0,270.0,270.0,-,270.0,270.0,100,"27,000.00",-,-,-
RALLIS,EQ,01-02-1996,270.00,243.0,243.0,243.0,-,243.0,243.0,100,"24,300.00",-,-,-
RALLIS,EQ,02-02-1996,243.00,265.0,265.0,265.0,-,265.0,265.0,50,"13,250.00",-,-,-
RALLIS,EQ,20-02-1996,265.00,270.0,280.0,270.0,-,280.0,275.0,200,"55,000.00",-,-,-
RALLIS,EQ,23-02-1996,280.00,280.0,280.0,280.0,-,280.0,280.0,100,"28,000.00",-,-,-
RALLIS,EQ,27-02-1996,280.00,270.0,299.55,270.0,-,270.5,284.31,"2,100","5,97,050.00",-,-,-
RALLIS,EQ,28-02-1996,270.50,280.0,280.05,280.0,-,280.05,280.02,"1,050","2,94,025.00",-,-,-
RALLIS,EQ,29-02-1996,280.05,299.1,299.5,299.1,-,299.5,299.26,"1,000","2,99,260.00",-,-,-
RALLIS,EQ,01-03-1996,299.50,280.0,280.0,280.0,-,280.0,280.0,100,"28,000.00",-,-,-
RALLIS,EQ,04-03-1996,280.00,265.0,265.0,265.0,-,265.0,265.0,50,"13,250.00",-,-,-
RALLIS,EQ,15-03-1996,265.00,275.0,275.0,275.0,-,275.0,275.0,50,"13,750.00",-,-,-
RALLIS,EQ,19-03-1996,275.00,300.0,302.5,300.0,-,302.5,301.67,150,"45,250.00",-,-,-
RALLIS,EQ,27-03-1996,302.50,272.5,272.5,272.5,-,272.5,272.5,50,"13,625.00",-,-,-
RALLIS,EQ,28-03-1996,272.50,272.5,268.0,265.0,-,267.35,266.4,250,"66,600.00",-,-,-
RALLIS,EQ,29-03-1996,267.35,260.05,260.05,260.05,-,260.05,260.05,50,"13,002.50",-,-,-
RALLIS,EQ,02-04-1996,260.05,274.0,284.0,274.0,-,278.0,277.0,200,"55,400.00",-,-,-
RALLIS,EQ,03-04-1996,278.00,299.0,299.0,299.0,-,299.0,299.0,50,"14,950.00",-,-,-
RALLIS,EQ,04-04-1996,299.00,276.0,276.0,270.0,-,270.0,272.86,350,"95,502.50",-,-,-
RALLIS,EQ,09-04-1996,270.00,268.0,270.0,268.0,-,270.0,269.33,150,"40,400.00",-,-,-
RALLIS,EQ,10-04-1996,270.00,268.05,290.0,268.05,-,290.0,284.51,200,"56,902.50",-,-,-
RALLIS,EQ,11-04-1996,290.00,262.0,280.0,262.0,-,272.0,271.91,"1,100","2,99,100.00",-,-,-
RALLIS,EQ,12-04-1996,272.00,269.0,288.0,269.0,-,288.0,278.5,100,"27,850.00",-,-,-
RALLIS,EQ,15-04-1996,288.00,271.0,271.0,271.0,-,271.0,271.0,50,"13,550.00",-,-,-
RALLIS,EQ,16-04-1996,271.00,271.0,271.0,271.0,-,271.0,271.0,200,"54,200.00",-,-,-
RALLIS,EQ,17-04-1996,271.00,280.0,281.25,280.0,-,280.65,280.63,100,"28,062.50",-,-,-
RALLIS,EQ,18-04-1996,280.65,297.0,300.0,295.0,-,300.0,298.0,200,"59,600.00",-,-,-
RALLIS,EQ,19-04-1996,300.00,300.0,315.0,305.0,-,307.0,308.8,250,"77,200.00",-,-,-
RALLIS,EQ,22-04-1996,307.00,304.0,304.0,281.0,-,281.0,296.35,850,"2,51,900.00",-,-,-
RALLIS,EQ,23-04-1996,281.00,281.0,290.0,290.0,-,290.0,290.0,100,"29,000.00",-,-,-
RALLIS,EQ,24-04-1996,290.00,300.0,300.0,298.0,-,298.0,299.0,200,"59,800.00",-,-,-
RALLIS,EQ,26-04-1996,298.00,298.0,281.0,281.0,-,281.0,281.0,100,"28,100.00",-,-,-
RALLIS,EQ,29-04-1996,281.00,281.0,281.0,281.0,-,281.0,281.0,50,"14,050.00",-,-,-
RALLIS,EQ,30-04-1996,281.00,281.0,270.0,270.0,-,270.0,270.0,50,"13,500.00",-,-,-
RALLIS,EQ,02-05-1996,270.00,270.0,295.0,292.0,-,295.0,293.5,100,"29,350.00",-,-,-
RALLIS,EQ,03-05-1996,295.00,294.95,294.95,280.0,-,282.0,284.24,200,"56,847.50",-,-,-
RALLIS,EQ,06-05-1996,282.00,282.0,299.0,285.0,-,299.0,292.0,100,"29,200.00",-,-,-
RALLIS,EQ,07-05-1996,299.00,299.0,293.0,282.0,-,282.0,286.58,450,"1,28,962.50",-,-,-
RALLIS,EQ,08-05-1996,282.00,282.0,270.0,270.0,-,270.0,270.0,50,"13,500.00",-,-,-
RALLIS,EQ,13-05-1996,270.00,261.0,261.0,261.0,-,261.0,261.0,100,"26,100.00",-,-,-
RALLIS,EQ,16-05-1996,261.00,263.0,263.0,263.0,-,263.0,263.0,100,"26,300.00",-,-,-
RALLIS,EQ,20-05-1996,263.00,265.0,285.0,265.0,-,274.95,270.99,250,"67,747.50",-,-,-
RALLIS,EQ,21-05-1996,274.95,274.95,265.0,247.5,-,258.0,255.6,250,"63,900.00",-,-,-
RALLIS,EQ,24-05-1996,258.00,258.0,256.0,251.0,-,251.0,254.25,200,"50,850.00",-,-,-
RALLIS,EQ,27-05-1996,251.00,250.0,250.0,250.0,-,250.0,250.0,100,"25,000.00",-,-,-
RALLIS,EQ,28-05-1996,250.00,250.0,256.0,242.15,-,256.0,248.06,250,"62,015.00",-,-,-
RALLIS,EQ,30-05-1996,256.00,256.0,258.15,258.15,-,258.15,258.15,100,"25,815.00",-,-,-
