SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
MADRASCEM,EQ,02-01-1996,"8,615.00","8,800.00","8,800.00","8,800.00",-,"8,800.00","8,800.00",5,"44,000.00",-,-,-
MADRASCEM,EQ,03-01-1996,"8,800.00","8,725.00","8,725.00","8,725.00",-,"8,725.00","8,725.00",20,"1,74,500.00",-,-,-
MADRASCEM,EQ,04-01-1996,"8,725.00","8,575.00","8,605.00","8,575.00",-,"8,605.00","8,590.00",10,"85,900.00",-,-,-
MADRASCEM,EQ,05-01-1996,"8,605.00","8,700.00","9,000.00","8,700.00",-,"8,860.00","8,847.97","1,605","1,42,00,984.75",-,-,-
MADRASCEM,EQ,08-01-1996,"8,860.00","8,668.00","8,850.00","8,668.00",-,"8,797.70","8,782.57",270,"23,71,294.75",-,-,-
MADRASCEM,EQ,09-01-1996,"8,797.70","8,775.00","8,900.00","8,765.00",-,"8,850.00","8,806.36",55,"4,84,350.00",-,-,-
MADRASCEM,EQ,10-01-1996,"8,850.00","8,850.00","8,850.00","8,775.00",-,"8,850.00","8,825.00",15,"1,32,375.00",-,-,-
MADRASCEM,EQ,11-01-1996,"8,850.00","8,900.00","9,150.00","8,900.00",-,"9,150.00","9,019.23",65,"5,86,249.75",-,-,-
MADRASCEM,EQ,12-01-1996,"9,150.00","9,150.00","9,600.00","9,150.00",-,"9,500.00","9,370.24",85,"7,96,470.00",-,-,-
MADRASCEM,EQ,15-01-1996,"9,500.00","9,500.00","9,600.00","9,500.00",-,"9,550.00","9,561.54",65,"6,21,500.00",-,-,-
MADRASCEM,EQ,16-01-1996,"9,550.00","9,550.00","9,550.00","9,350.00",-,"9,437.50","9,467.89",95,"8,99,450.00",-,-,-
MADRASCEM,EQ,17-01-1996,"9,437.50","9,437.50","9,437.00","9,300.00",-,"9,300.00","9,385.36",55,"5,16,195.00",-,-,-
MADRASCEM,EQ,18-01-1996,"9,300.00","9,300.00","9,100.00","8,700.00",-,"8,940.00","8,896.43",70,"6,22,750.00",-,-,-
