SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
RCF,EQ,25-01-1996,14.0,14.0,12.75,12.75,-,12.75,12.75,100,"1,275.00",-,-,-
RCF,EQ,08-02-1996,12.75,12.05,12.05,12.05,-,12.05,12.05,200,"2,410.00",-,-,-
RCF,EQ,09-02-1996,12.05,12.05,12.05,12.05,-,12.05,12.05,100,"1,205.00",-,-,-
RCF,EQ,17-04-1996,12.05,11.75,11.75,11.75,-,11.75,11.75,100,"1,175.00",-,-,-
RCF,EQ,19-04-1996,11.75,12.0,12.0,12.0,-,12.0,12.0,100,"1,200.00",-,-,-
RCF,EQ,24-04-1996,12.0,12.5,12.5,12.5,-,12.5,12.5,100,"1,250.00",-,-,-
RCF,EQ,01-05-1996,12.5,12.5,12.5,12.5,-,12.5,12.5,200,"2,500.00",-,-,-
RCF,EQ,10-05-1996,12.5,11.5,11.5,11.5,-,11.5,11.5,100,"1,150.00",-,-,-
RCF,EQ,14-05-1996,11.5,10.55,10.55,10.35,-,10.35,10.49,"1,300","13,635.00",-,-,-
RCF,EQ,16-05-1996,10.35,11.0,11.0,11.0,-,11.0,11.0,100,"1,100.00",-,-,-
RCF,EQ,17-05-1996,11.0,11.0,11.2,10.25,-,10.25,10.37,"4,900","50,820.00",-,-,-
RCF,EQ,20-05-1996,10.25,11.0,11.0,11.0,-,11.0,11.0,100,"1,100.00",-,-,-
RCF,EQ,22-05-1996,11.0,10.5,10.5,10.5,-,10.5,10.5,500,"5,250.00",-,-,-
RCF,EQ,28-05-1996,10.5,10.5,10.5,10.5,-,10.5,10.5,100,"1,050.00",-,-,-
RCF,EQ,31-05-1996,10.5,10.0,10.0,10.0,-,10.0,10.0,300,"3,000.00",-,-,-
RCF,EQ,05-06-1996,10.0,11.0,11.0,11.0,-,11.0,11.0,500,"5,500.00",-,-,-
RCF,EQ,06-06-1996,11.0,10.05,10.1,10.05,-,10.1,10.05,"1,800","18,095.00",-,-,-
RCF,EQ,07-06-1996,10.1,10.15,10.15,10.15,-,10.15,10.15,100,"1,015.00",-,-,-
RCF,EQ,09-07-1996,10.15,10.0,10.0,10.0,-,10.0,10.0,300,"3,000.00",-,-,-
RCF,EQ,15-07-1996,10.0,9.0,9.0,8.95,-,8.95,8.99,800,"7,195.00",-,-,-
RCF,EQ,16-07-1996,8.95,9.5,9.5,9.5,-,9.5,9.5,100,950.00,-,-,-
RCF,EQ,08-08-1996,9.5,9.5,9.5,9.5,-,9.5,9.5,200,"1,900.00",-,-,-
