SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
RELIGARE,EQ,21-11-2007,185.0,323.75,601.0,323.75,522.0,525.3,557.3,"1,60,54,884","8,94,73,26,938.90",-,"27,98,103",17.43
RELIGARE,EQ,22-11-2007,525.3,525.0,558.0,516.35,553.0,546.3,539.64,"44,80,014","2,41,75,72,439.75",-,"5,61,119",12.52
RELIGARE,EQ,23-11-2007,546.3,550.05,564.0,525.5,529.2,532.0,540.23,"14,07,518","76,03,86,631.40",-,"2,69,460",19.14
RELIGARE,EQ,26-11-2007,532.0,538.7,543.0,521.0,524.0,525.45,531.49,"9,19,696","48,88,09,870.30",-,"2,54,149",27.63
RELIGARE,EQ,27-11-2007,525.45,522.1,525.0,496.0,501.0,504.8,507.14,"8,80,693","44,66,36,787.65",-,"2,99,861",34.05
RELIGARE,EQ,28-11-2007,504.8,510.0,542.0,504.0,504.5,506.1,520.06,"12,31,245","64,03,21,788.40",-,"2,22,398",18.06
RELIGARE,EQ,29-11-2007,506.1,515.0,522.0,495.1,499.9,499.9,509.45,"4,83,387","24,62,62,756.30",-,"1,48,881",30.8
RELIGARE,EQ,30-11-2007,499.9,495.0,514.9,495.0,507.0,505.45,506.81,"3,17,171","16,07,46,120.15",-,"1,19,634",37.72
RELIGARE,EQ,03-12-2007,505.45,507.9,519.0,504.0,507.0,506.1,510.1,"2,69,053","13,72,44,404.45",-,"89,615",33.31
RELIGARE,EQ,04-12-2007,506.1,510.0,517.8,506.0,507.5,508.05,510.77,"3,21,368","16,41,46,393.70",-,"92,723",28.85
RELIGARE,EQ,05-12-2007,508.05,512.0,527.75,511.0,517.45,517.65,518.44,"4,63,031","24,00,55,840.20",-,"1,74,916",37.78
RELIGARE,EQ,06-12-2007,517.65,525.0,537.0,520.05,527.0,524.8,529.04,"5,44,947","28,82,96,410.25",-,"1,88,742",34.63
RELIGARE,EQ,07-12-2007,524.8,530.05,551.7,526.0,538.05,541.55,539.19,"7,77,003","41,89,48,940.95",-,"2,06,878",26.63
RELIGARE,EQ,10-12-2007,541.55,544.9,560.0,538.0,549.0,549.05,551.06,"8,23,072","45,35,64,726.75",-,"1,84,068",22.36
RELIGARE,EQ,11-12-2007,549.05,555.0,557.9,535.0,537.0,538.25,548.11,"3,80,565","20,85,91,913.95",-,"1,46,486",38.49
RELIGARE,EQ,12-12-2007,538.25,535.0,539.8,529.0,530.25,531.15,532.95,"3,29,591","17,56,54,616.40",-,"1,93,179",58.61
RELIGARE,EQ,13-12-2007,531.15,535.0,538.0,525.0,530.0,529.6,530.91,"1,86,421","9,89,73,681.40",-,"81,006",43.45
RELIGARE,EQ,14-12-2007,529.6,531.0,536.0,523.05,524.9,525.35,528.93,"1,34,400","7,10,88,325.90",-,"64,878",48.27
RELIGARE,EQ,17-12-2007,525.35,521.3,537.9,510.6,516.5,514.75,523.71,"2,19,816","11,51,20,641.35",-,"93,136",42.37
RELIGARE,EQ,18-12-2007,514.75,512.0,518.9,500.0,501.75,502.8,505.72,"2,42,180","12,24,74,919.10",-,"1,73,422",71.61
RELIGARE,EQ,19-12-2007,502.8,512.5,523.9,510.0,513.0,512.5,515.12,"1,72,792","8,90,08,610.55",-,"82,013",47.46
RELIGARE,EQ,20-12-2007,512.5,513.0,521.0,499.0,511.0,512.2,511.87,"2,40,997","12,33,59,462.30",-,"1,38,528",57.48
RELIGARE,EQ,24-12-2007,512.2,511.0,524.9,504.0,511.25,516.5,515.62,"2,33,424","12,03,58,465.45",-,"76,622",32.83
RELIGARE,EQ,26-12-2007,516.5,519.0,526.5,513.1,519.0,518.9,520.91,"1,43,218","7,46,03,345.85",-,"56,110",39.18
RELIGARE,EQ,27-12-2007,518.9,518.0,559.7,518.0,540.55,541.9,546.21,"7,43,883","40,63,13,139.70",-,"2,08,516",28.03
RELIGARE,EQ,28-12-2007,541.9,540.9,572.35,532.0,550.4,551.85,558.33,"8,66,563","48,38,26,738.15",-,"2,79,060",32.2
RELIGARE,EQ,31-12-2007,551.85,555.0,634.4,555.0,606.25,610.45,600.6,"26,92,146","1,61,69,08,726.45",-,"9,20,948",34.21
RELIGARE,EQ,01-01-2008,610.45,614.0,639.0,614.0,618.0,619.3,624.6,"12,39,272","77,40,53,413.20",-,"4,01,509",32.4
RELIGARE,EQ,02-01-2008,619.3,620.8,729.0,620.8,697.0,694.1,691.94,"53,41,595","3,69,60,57,234.25",-,"9,68,170",18.13
RELIGARE,EQ,03-01-2008,694.1,685.0,727.8,685.0,700.0,697.8,705.83,"16,69,131","1,17,81,31,025.80",-,"5,17,407",31.0
RELIGARE,EQ,04-01-2008,697.8,705.0,716.8,680.0,682.15,683.75,700.38,"8,37,462","58,65,38,138.55",-,"3,52,744",42.12
RELIGARE,EQ,07-01-2008,683.75,685.0,722.0,662.15,697.0,696.4,699.49,"10,34,069","72,33,25,932.65",-,"2,92,343",28.27
RELIGARE,EQ,08-01-2008,696.4,703.9,713.95,642.5,659.1,661.25,677.67,"7,33,761","49,72,51,002.15",-,"2,77,113",37.77
