SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
RILINFRA,ST,10-06-2022,135.00,138.00,140.00,138.00,138.10,138.55,138.15,"5,25,000","7,25,31,100.00",272,"5,25,000",100.0
RILINFRA,ST,13-06-2022,138.55,138.65,140.00,138.65,139.10,139.10,139.17,"5,25,000","7,30,64,950.00",227,"5,25,000",100.0
RILINFRA,ST,14-06-2022,139.10,139.20,139.40,139.15,139.30,139.30,139.30,"6,93,000","9,65,37,550.00",216,"6,93,000",100.0
RILINFRA,ST,15-06-2022,139.30,139.70,140.00,139.50,139.50,139.50,139.52,"9,80,000","13,67,31,950.00",448,"9,80,000",100.0
RILINFRA,ST,16-06-2022,139.50,141.95,142.10,139.75,140.25,140.10,140.00,"2,92,000","4,08,78,750.00",65,"2,87,000",98.29
RILINFRA,ST,17-06-2022,140.10,140.25,147.10,140.25,147.00,145.80,141.41,"2,53,000","3,57,76,900.00",53,"2,33,000",92.09
RILINFRA,ST,20-06-2022,145.80,153.05,153.05,152.00,153.05,153.05,153.05,"4,39,000","6,71,87,750.00",59,"4,37,000",99.54
RILINFRA,ST,21-06-2022,153.05,160.50,160.70,160.50,160.70,160.70,160.70,"2,36,000","3,79,25,000.00",78,"2,34,000",99.15
RILINFRA,ST,22-06-2022,160.70,166.20,168.70,166.20,168.70,168.70,168.56,"1,14,000","1,92,15,650.00",63,"1,01,000",88.6
RILINFRA,ST,23-06-2022,168.70,175.20,177.10,175.20,177.10,177.10,176.29,"37,000","65,22,650.00",33,"31,000",83.78
RILINFRA,SM,24-06-2022,177.10,192.00,212.50,184.00,212.50,212.50,202.88,"2,47,000","5,01,12,250.00",158,"1,39,000",56.28
RILINFRA,SM,27-06-2022,212.50,228.00,244.00,201.25,202.45,201.85,206.09,"3,25,000","6,69,79,200.00",214,"63,000",19.38
RILINFRA,SM,28-06-2022,201.85,208.00,208.00,201.30,201.30,201.60,202.28,"21,000","42,47,900.00",20,"9,000",42.86
RILINFRA,SM,29-06-2022,201.60,202.55,206.00,202.15,206.00,202.85,202.89,"65,000","1,31,87,900.00",43,"27,000",41.54
RILINFRA,SM,30-06-2022,202.85,213.90,213.90,205.60,207.95,207.95,207.91,"5,000","10,39,550.00",5,"4,000",80.0
RILINFRA,SM,01-07-2022,207.95,212.00,212.00,205.90,206.10,206.25,206.39,"81,000","1,67,17,550.00",44,"68,000",83.95
RILINFRA,SM,04-07-2022,206.25,208.40,212.50,208.20,208.20,208.25,208.70,"15,000","31,30,450.00",14,"13,000",86.67
RILINFRA,SM,05-07-2022,208.25,210.00,214.80,209.25,209.25,209.50,210.06,"42,000","88,22,450.00",29,"20,000",47.62
RILINFRA,SM,06-07-2022,209.50,212.90,212.90,200.00,212.90,211.15,207.60,"76,000","1,57,77,500.00",51,"34,000",44.74
RILINFRA,SM,07-07-2022,211.15,212.25,221.00,212.25,219.00,219.30,218.25,"17,000","37,10,250.00",17,"14,000",82.35
RILINFRA,SM,08-07-2022,219.30,229.00,229.00,220.25,221.00,221.25,221.67,"22,000","48,76,700.00",22,"17,000",77.27
RILINFRA,SM,11-07-2022,221.25,244.70,244.70,222.75,225.00,225.00,226.90,"10,000","22,68,950.00",10,"7,000",70.0
RILINFRA,SM,12-07-2022,225.00,230.00,230.00,226.25,230.00,227.60,227.86,"10,000","22,78,550.00",10,"8,000",80.0
RILINFRA,SM,13-07-2022,227.60,228.55,229.95,228.15,228.15,228.20,228.51,"33,000","75,40,800.00",26,"17,000",51.52
RILINFRA,SM,14-07-2022,228.20,234.00,235.00,230.20,235.00,231.70,231.75,"9,000","20,85,750.00",9,"6,000",66.67
RILINFRA,SM,15-07-2022,231.70,240.00,240.00,232.20,232.20,232.30,234.24,"10,000","23,42,350.00",10,"9,000",90.0
RILINFRA,SM,18-07-2022,232.30,235.25,235.85,235.20,235.50,235.50,235.36,"15,000","35,30,350.00",11,"8,000",53.33
RILINFRA,SM,19-07-2022,235.50,236.20,238.85,236.20,236.25,236.85,236.82,"18,000","42,62,750.00",17,"7,000",38.89
RILINFRA,SM,20-07-2022,236.85,238.50,238.50,237.20,237.20,237.20,237.33,"21,000","49,83,900.00",15,"10,000",47.62
RILINFRA,SM,21-07-2022,237.20,248.00,248.00,238.20,244.00,240.20,240.64,"10,000","24,06,400.00",9,"8,000",80.0
RILINFRA,SM,22-07-2022,240.20,242.50,243.50,242.20,242.20,242.50,242.47,"16,000","38,79,500.00",12,"11,000",68.75
