SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
ROSSARI,EQ,23-07-2020,425.0,669.25,803.10,664.0,752.00,741.65,722.81,"3,57,81,623","25,86,34,51,611.00","9,98,295","69,67,004",19.47
ROSSARI,EQ,24-07-2020,741.65,754.00,793.90,723.35,734.50,731.2,756.53,"77,43,490","5,85,81,60,293.85","3,11,421","10,70,353",13.82
ROSSARI,EQ,27-07-2020,731.2,737.25,748.80,681.2,723.00,727.3,719.48,"45,12,553","3,24,66,83,490.25","1,56,953","4,70,183",10.42
ROSSARI,EQ,28-07-2020,727.3,715.00,738.00,711.1,714.00,716.5,726.09,"14,27,725","1,03,66,52,596.85","55,435","1,84,963",12.96
ROSSARI,EQ,29-07-2020,716.5,714.05,722.20,700.0,702.00,702.85,710.36,"8,79,722","62,49,14,944.20","33,599","2,00,343",22.77
ROSSARI,EQ,30-07-2020,702.85,705.00,713.00,675.0,679.20,683.8,691.27,"10,91,599","75,45,90,207.25","49,949","2,48,121",22.73
ROSSARI,EQ,31-07-2020,683.8,686.00,730.00,666.0,718.00,715.05,711.96,"25,28,271","1,80,00,16,098.05","68,574","3,90,408",15.44
ROSSARI,EQ,03-08-2020,715.05,714.80,717.90,697.0,713.10,711.9,708.67,"7,12,557","50,49,68,983.35","19,297","1,60,680",22.55
ROSSARI,EQ,04-08-2020,711.9,717.10,748.50,707.75,741.30,742.5,731.12,"14,16,595","1,03,57,03,216.60","39,018","3,23,835",22.86
ROSSARI,EQ,05-08-2020,742.5,744.00,772.75,742.1,746.00,748.95,759.56,"21,43,492","1,62,81,02,175.80","57,402","3,78,415",17.65
ROSSARI,EQ,06-08-2020,748.95,751.60,767.85,750.1,753.10,754.75,758.62,"8,42,088","63,88,26,830.40","21,038","1,39,490",16.56
ROSSARI,EQ,07-08-2020,754.75,756.90,769.50,742.3,754.00,753.65,756.38,"7,44,142","56,28,53,664.40","17,888","1,40,524",18.88
ROSSARI,EQ,10-08-2020,753.65,757.90,768.00,743.7,752.00,751.15,757.7,"5,29,715","40,13,66,500.95","13,567","1,60,344",30.27
ROSSARI,EQ,11-08-2020,751.15,754.95,818.80,751.05,763.00,766.85,792.69,"60,08,822","4,76,31,06,890.45","1,23,865","7,22,831",12.03
ROSSARI,EQ,12-08-2020,766.85,755.40,778.90,751.0,757.00,758.0,766.34,"9,22,208","70,67,21,966.85","26,043","1,60,495",17.4
ROSSARI,EQ,13-08-2020,758.0,765.80,784.95,757.5,772.20,773.3,774.36,"10,39,156","80,46,83,131.55","29,859","1,61,117",15.5
ROSSARI,EQ,14-08-2020,773.3,774.00,781.90,675.15,743.00,740.65,749.45,"9,97,328","74,74,47,169.00","30,423","1,84,221",18.47
ROSSARI,EQ,17-08-2020,740.65,750.75,755.95,734.1,737.50,738.5,744.15,"5,49,428","40,88,55,554.90","17,288","89,547",16.3
ROSSARI,EQ,18-08-2020,738.5,743.65,793.85,739.25,784.20,783.75,771.91,"16,30,817","1,25,88,40,524.60","54,388","3,40,435",20.88
ROSSARI,EQ,19-08-2020,783.75,787.90,797.50,768.05,782.20,781.25,785.24,"13,77,909","1,08,19,92,088.80","32,816","1,78,747",12.97
ROSSARI,EQ,20-08-2020,781.25,771.20,775.45,761.15,767.80,769.1,767.79,"8,33,008","63,95,78,974.70","22,126","2,77,865",33.36
ROSSARI,EQ,21-08-2020,769.1,777.70,805.90,776.4,799.95,795.8,795.19,"18,67,968","1,48,53,96,143.10","50,638","2,90,408",15.55
ROSSARI,EQ,24-08-2020,795.8,800.00,814.25,793.0,796.60,800.85,802.26,"14,27,333","1,14,50,87,716.35","38,294","3,64,823",25.56
ROSSARI,EQ,25-08-2020,800.85,812.95,816.00,785.0,792.10,793.25,801.91,"11,35,067","91,02,18,607.80","25,401","3,21,348",28.31
ROSSARI,EQ,26-08-2020,793.25,793.00,799.75,770.0,780.25,779.55,784.48,"7,09,216","55,63,66,584.65","14,486","3,73,210",52.62
ROSSARI,EQ,27-08-2020,779.55,787.90,795.00,777.05,782.15,782.05,785.69,"3,91,967","30,79,65,766.10","14,242","1,00,661",25.68
ROSSARI,EQ,28-08-2020,782.05,786.90,793.60,772.55,774.65,775.2,783.29,"2,74,889","21,53,16,870.45","8,638","77,350",28.14
ROSSARI,EQ,31-08-2020,775.2,776.00,781.40,721.0,741.00,738.1,749.02,"6,41,896","48,07,90,054.40","20,779","2,08,318",32.45
ROSSARI,EQ,01-09-2020,738.1,738.50,745.80,719.0,726.00,725.05,732.86,"3,02,856","22,19,51,543.40","12,726","66,566",21.98
ROSSARI,EQ,02-09-2020,725.05,725.70,839.90,725.7,821.00,815.75,789.75,"20,95,168","1,65,46,69,197.35","58,138","4,16,477",19.88
ROSSARI,EQ,03-09-2020,815.75,844.40,859.00,767.0,777.00,775.15,818.17,"36,13,435","2,95,64,08,221.65","1,04,613","3,17,038",8.77
ROSSARI,EQ,04-09-2020,775.15,765.00,805.00,755.25,794.50,793.05,787.68,"13,80,767","1,08,75,99,623.75","49,368","1,14,835",8.32
ROSSARI,EQ,07-09-2020,793.05,794.50,807.70,783.35,802.10,801.95,797.04,"7,27,530","57,98,66,996.65","24,748","1,33,613",18.37
ROSSARI,EQ,08-09-2020,801.95,801.00,808.00,782.5,783.00,787.5,795.47,"3,13,842","24,96,53,004.90","13,304","53,757",17.13
ROSSARI,EQ,09-09-2020,787.5,783.80,784.80,767.0,774.00,772.5,773.96,"2,11,266","16,35,12,258.10","9,473","44,521",21.07
ROSSARI,EQ,10-09-2020,772.5,780.00,790.00,771.25,775.90,777.4,779.82,"2,32,518","18,13,22,385.55","8,753","52,805",22.71
ROSSARI,EQ,11-09-2020,777.4,775.95,794.20,771.75,781.90,780.95,784.96,"3,33,887","26,20,86,290.70","12,418","47,517",14.23
ROSSARI,EQ,14-09-2020,780.95,788.50,838.80,782.35,820.95,820.35,815.25,"8,20,442","66,88,69,188.95","27,186","1,98,054",24.14
ROSSARI,EQ,15-09-2020,820.35,824.95,829.15,811.25,822.90,821.2,819.75,"2,63,066","21,56,49,256.30","11,441","51,404",19.54
ROSSARI,EQ,16-09-2020,821.2,825.70,843.90,816.05,836.40,835.05,827.95,"3,38,360","28,01,44,616.25","13,229","84,190",24.88
ROSSARI,EQ,17-09-2020,835.05,820.00,838.00,816.55,820.20,826.0,826.67,"3,08,706","25,51,98,617.90","11,446","49,134",15.92
ROSSARI,EQ,18-09-2020,826.0,832.00,853.70,821.75,822.00,827.6,838.19,"6,23,387","52,25,15,088.30","22,012","87,880",14.1
ROSSARI,EQ,21-09-2020,827.6,827.60,829.90,771.1,775.00,780.3,801.95,"2,45,500","19,68,78,426.30","10,853","76,918",31.33
ROSSARI,EQ,22-09-2020,780.3,783.00,786.00,741.05,774.50,762.45,758.3,"2,68,773","20,38,09,988.70","11,821","57,414",21.36
ROSSARI,EQ,23-09-2020,762.45,770.25,784.70,754.9,769.90,770.5,771.36,"1,80,797","13,94,58,817.45","8,883","31,241",17.28
ROSSARI,EQ,24-09-2020,770.5,760.00,763.25,740.95,742.00,747.5,753.27,"1,40,016","10,54,69,288.30","6,481","35,392",25.28
ROSSARI,EQ,25-09-2020,747.5,762.00,775.00,753.0,767.95,768.95,761.73,"1,97,374","15,03,46,073.70","7,115","33,516",16.98
ROSSARI,EQ,28-09-2020,768.95,770.00,794.30,770.0,788.00,786.3,785.33,"1,92,204","15,09,42,952.60","12,461","44,465",23.13
ROSSARI,EQ,29-09-2020,786.3,783.00,815.00,775.05,784.80,786.3,797.34,"4,05,814","32,35,72,104.90","19,912","83,882",20.67
ROSSARI,EQ,30-09-2020,786.3,786.30,812.00,781.05,803.05,797.3,799.42,"4,02,353","32,16,49,333.40","17,309","60,978",15.16
ROSSARI,EQ,01-10-2020,797.3,800.00,811.95,790.0,799.80,795.6,801.18,"2,02,251","16,20,38,658.60","10,759","53,496",26.45
ROSSARI,EQ,05-10-2020,795.6,797.20,805.00,780.75,787.60,787.25,792.67,"3,25,708","25,81,79,973.35","11,003","1,79,998",55.26
ROSSARI,EQ,06-10-2020,787.25,796.00,799.65,781.0,784.55,785.25,790.71,"1,06,352","8,40,93,823.90","5,176","21,059",19.8
ROSSARI,EQ,07-10-2020,785.25,790.90,791.95,775.0,775.00,778.9,784.13,"1,02,072","8,00,37,911.40","5,004","22,229",21.78
ROSSARI,EQ,08-10-2020,778.9,788.00,788.00,773.05,780.00,776.45,779.43,"85,554","6,66,83,189.40","3,983","19,853",23.21
ROSSARI,EQ,09-10-2020,776.45,778.60,780.00,762.25,763.00,765.05,768.49,"1,32,844","10,20,88,773.05","8,672","49,006",36.89
ROSSARI,EQ,12-10-2020,765.05,769.80,771.05,750.0,754.25,756.1,759.16,"1,12,621","8,54,97,232.90","11,091","35,696",31.7
ROSSARI,EQ,13-10-2020,756.1,754.25,779.85,748.65,773.00,773.4,766.71,"1,41,650","10,86,04,808.90","11,770","35,767",25.25
ROSSARI,EQ,14-10-2020,773.4,771.90,797.70,767.95,793.00,791.2,784.36,"1,90,126","14,91,27,530.85","13,817","57,374",30.18
ROSSARI,EQ,15-10-2020,791.2,791.20,793.95,768.0,777.00,771.15,780.7,"86,989","6,79,12,328.40","9,065","36,507",41.97
ROSSARI,EQ,16-10-2020,771.15,768.00,784.50,767.8,774.00,774.05,773.58,"77,780","6,01,68,947.70","12,989","30,327",38.99
ROSSARI,EQ,19-10-2020,774.05,772.00,807.70,768.0,793.00,794.55,794.99,"2,91,292","23,15,74,274.30","16,041","71,807",24.65
ROSSARI,EQ,20-10-2020,794.55,790.00,802.00,784.3,793.45,793.0,793.43,"74,056","5,87,58,497.40","7,831","21,724",29.33
ROSSARI,EQ,21-10-2020,793.0,793.90,799.70,786.45,790.00,790.25,793.08,"72,273","5,73,18,059.85","8,420","28,215",39.04
ROSSARI,EQ,22-10-2020,790.25,789.80,807.00,780.0,800.20,801.55,795.38,"1,18,374","9,41,52,644.00","7,656","37,697",31.85
ROSSARI,EQ,23-10-2020,801.55,808.00,824.00,796.0,807.00,806.9,812.16,"2,99,184","24,29,86,697.90","40,352","1,31,568",43.98
ROSSARI,EQ,26-10-2020,806.9,810.50,812.00,779.8,790.50,798.45,794.51,"2,22,794","17,70,11,540.00","18,021","64,566",28.98
ROSSARI,EQ,27-10-2020,798.45,790.00,824.00,785.05,810.00,809.7,809.56,"2,60,031","21,05,10,103.05","17,459","79,647",30.63
ROSSARI,EQ,28-10-2020,809.7,810.00,831.00,796.65,824.00,823.15,819.99,"2,64,153","21,66,03,605.10","18,986","75,859",28.72
ROSSARI,EQ,29-10-2020,823.15,810.00,819.00,792.0,798.80,797.95,800.8,"1,19,438","9,56,45,593.20","11,561","48,038",40.22
ROSSARI,EQ,30-10-2020,797.95,805.00,805.00,772.0,794.00,795.3,794.27,"89,005","7,06,93,699.30","6,217","31,264",35.13
ROSSARI,EQ,02-11-2020,795.3,794.00,795.90,781.2,785.05,785.5,788.71,"77,597","6,12,01,632.85","5,604","27,871",35.92
ROSSARI,EQ,03-11-2020,785.5,792.70,792.70,773.05,777.20,777.9,780.34,"94,269","7,35,61,422.65","10,850","38,554",40.9
ROSSARI,EQ,04-11-2020,777.9,777.75,791.95,775.2,781.05,783.4,784.05,"1,07,904","8,46,02,536.15","7,509","68,108",63.12
ROSSARI,EQ,05-11-2020,783.4,783.70,789.00,779.55,782.90,781.35,784.55,"56,727","4,45,05,358.65","4,590","25,363",44.71
ROSSARI,EQ,06-11-2020,781.35,787.70,788.80,780.0,782.00,780.75,782.79,"1,08,956","8,52,89,625.70","5,602","81,278",74.6
ROSSARI,EQ,09-11-2020,780.75,788.00,789.00,773.0,775.00,775.45,780.24,"44,568","3,47,73,533.85","3,239","24,282",54.48
