SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
ROSSELLIND,EQ,25-09-2012,30.85,31.65,31.65,30.0,30.0,30.0,30.03,"61,381","18,43,070.70",67,"50,025",81.5
ROSSELLIND,EQ,26-09-2012,30.0,31.25,31.25,30.5,30.5,30.9,30.9,405,"12,513.65",19,302,74.57
ROSSELLIND,EQ,27-09-2012,30.9,35.85,35.85,32.0,33.0,33.7,34.47,"65,951","22,73,339.50",354,"32,960",49.98
ROSSELLIND,EQ,28-09-2012,33.7,35.7,35.7,32.4,32.9,33.4,33.76,"5,236","1,76,780.95",48,"4,216",80.52
ROSSELLIND,EQ,01-10-2012,33.4,35.4,35.4,31.0,32.0,32.0,32.58,"11,080","3,61,025.95",68,"8,575",77.39
ROSSELLIND,EQ,03-10-2012,32.0,30.7,31.0,30.1,31.0,31.0,30.92,"23,436","7,24,556.40",69,"15,046",64.2
ROSSELLIND,EQ,04-10-2012,31.0,31.0,32.0,30.9,32.0,31.9,31.02,"1,53,246","47,53,117.80",64,"1,52,185",99.31
ROSSELLIND,EQ,05-10-2012,31.9,31.0,32.0,31.0,31.25,31.45,31.03,"1,63,927","50,87,320.00",65,"1,57,087",95.83
ROSSELLIND,EQ,08-10-2012,31.45,31.5,34.75,30.95,31.5,31.8,31.22,"1,77,206","55,32,645.95",87,"1,59,735",90.14
ROSSELLIND,EQ,09-10-2012,31.8,31.05,31.75,30.5,30.95,30.95,30.94,"1,59,912","49,48,112.95",122,"1,40,203",87.68
ROSSELLIND,EQ,10-10-2012,30.95,32.0,32.0,31.0,31.1,31.15,31.09,"18,866","5,86,551.45",38,"16,747",88.77
ROSSELLIND,EQ,11-10-2012,31.15,32.85,32.85,28.5,32.5,32.4,31.35,"9,869","3,09,419.05",72,"7,431",75.3
ROSSELLIND,EQ,12-10-2012,32.4,33.85,34.3,32.25,32.65,33.25,33.01,"3,669","1,21,107.50",51,"1,764",48.08
ROSSELLIND,EQ,15-10-2012,33.25,34.8,34.8,32.5,34.3,33.9,33.57,628,"21,081.70",9,427,67.99
ROSSELLIND,EQ,16-10-2012,33.9,34.0,34.4,33.0,33.9,33.6,33.39,"4,863","1,62,370.30",41,"2,410",49.56
ROSSELLIND,EQ,17-10-2012,33.6,36.75,36.75,31.25,32.85,32.9,33.28,"5,189","1,72,693.35",37,"4,282",82.52
ROSSELLIND,EQ,18-10-2012,32.9,33.05,34.35,33.05,34.2,34.2,34.01,"3,265","1,11,046.55",18,"3,013",92.28
ROSSELLIND,EQ,19-10-2012,34.2,36.95,37.4,34.1,37.4,36.85,35.76,"1,418","50,702.95",32,"1,104",77.86
ROSSELLIND,EQ,22-10-2012,36.85,39.75,44.2,36.9,44.2,44.2,42.19,"56,725","23,93,167.70",536,"23,824",42.0
ROSSELLIND,EQ,23-10-2012,44.2,47.7,52.7,42.2,43.85,44.05,47.96,"2,48,838","1,19,35,480.45","3,009","74,156",29.8
ROSSELLIND,EQ,25-10-2012,44.05,44.0,47.1,42.0,43.15,42.9,44.9,"20,295","9,11,246.10",355,"10,213",50.32
ROSSELLIND,EQ,26-10-2012,42.9,43.0,44.0,38.2,39.8,38.85,40.19,"31,249","12,55,878.40",364,"17,258",55.23
ROSSELLIND,EQ,29-10-2012,38.85,39.0,39.95,36.5,36.55,36.65,37.85,"9,192","3,47,887.90",112,"6,639",72.23
ROSSELLIND,EQ,30-10-2012,36.65,36.7,38.5,36.0,37.5,36.85,37.41,"9,195","3,43,980.40",111,"4,777",51.95
ROSSELLIND,EQ,31-10-2012,36.85,39.45,39.45,36.6,39.0,38.85,38.29,"11,728","4,49,052.10",79,"9,633",82.14
ROSSELLIND,EQ,01-11-2012,38.85,40.9,45.4,40.9,43.0,43.15,43.54,"65,664","28,58,813.10",521,"29,691",45.22
ROSSELLIND,EQ,02-11-2012,43.15,42.7,45.95,40.3,42.0,42.4,43.54,"26,487","11,53,323.95",325,"14,465",54.61
ROSSELLIND,EQ,05-11-2012,42.4,44.4,44.4,39.2,39.6,40.15,40.72,"24,080","9,80,465.95",219,"13,436",55.8
ROSSELLIND,EQ,06-11-2012,40.15,41.2,41.2,39.35,39.7,39.75,40.0,"3,678","1,47,135.95",52,"2,483",67.51
ROSSELLIND,EQ,07-11-2012,39.75,40.9,40.9,39.2,39.2,39.7,40.17,"6,162","2,47,499.40",81,"3,911",63.47
