SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
RUBICON,EQ,16-10-2025,485.0,620.0,639.0,587.35,632.0,628.2,615.14,"2,46,88,246","15,18,67,62,737.85","3,13,107","1,36,37,130",55.24
RUBICON,EQ,17-10-2025,628.2,628.5,637.0,615.0,618.05,618.8,623.83,2670670,16660.33,65190, 913658,34.21
RUBICON,EQ,20-10-2025,618.8,618.0,618.0,601.55,605.0,604.9,605.63,845549,5120.94,24217, 507760,60.05
RUBICON,EQ,21-10-2025,604.9,609.0,618.4,609.0,612.5,611.85,612.66,126686,776.15,4633, 63199,49.91
RUBICON,EQ,23-10-2025,611.85,612.3,614.7,594.75,597.0,600.15,602.32,494649,2979.37,18233, 221129,44.7
RUBICON,EQ,24-10-2025,600.15,598.8,599.65,570.75,573.7,577.25,582.4,788455,4591.99,34790, 293065,37.17
RUBICON,EQ,27-10-2025,577.25,576.5,601.65,576.0,592.0,589.85,589.39,1020168,6012.81,29637, 609962,59.79
RUBICON,EQ,28-10-2025,589.85,591.0,622.0,590.95,622.0,618.2,610.69,610072,3725.62,24794, 262761,43.07
RUBICON,EQ,29-10-2025,618.2,622.0,639.7,598.0,600.0,600.45,621.6,1090113,6776.18,32285, 421632,38.68
RUBICON,EQ,30-10-2025,600.45,600.9,612.9,600.9,607.5,609.8,606.6,159122,965.23,7348, 58846,36.98
RUBICON,EQ,31-10-2025,609.8,614.25,627.15,612.3,615.9,618.15,620.06,609379,3778.53,14170, 325487,53.41
RUBICON,EQ,03-11-2025,618.15,620.0,663.0,607.15,662.0,653.6,640.57,1254314,8034.74,43759, 394932,31.49
RUBICON,EQ,04-11-2025,653.6,662.0,671.95,635.2,653.8,652.65,655.57,791479,5188.73,33596, 193085,24.4
RUBICON,EQ,06-11-2025,652.65,652.05,654.9,621.05,632.0,638.5,634.91,560225,3556.95,37274, 197745,35.3
RUBICON,EQ,07-11-2025,638.5,634.65,641.95,624.0,626.55,627.2,631.21,359161,2267.05,24423, 87272,24.3
RUBICON,EQ,10-11-2025,627.2,630.0,634.0,616.0,618.1,620.2,624.95,419581,2622.18,31702, 180226,42.95
RUBICON,EQ,11-11-2025,620.2,622.0,629.3,617.05,618.5,620.9,620.86,175157,1087.49,15370, 65287,37.27
RUBICON,EQ,12-11-2025,620.9,618.05,632.6,617.0,629.7,627.25,626.6,356041,2230.96,28915, 157804,44.32
RUBICON,EQ,13-11-2025,627.25,625.0,669.0,625.0,655.0,654.35,651.88,1072466,6991.22,43493, 487192,45.43
RUBICON,EQ,14-11-2025,654.35,675.95,731.9,662.2,711.55,713.8,699.8,5056058,35382.18,140123, 1142002,22.59
RUBICON,EQ,17-11-2025,713.8,712.85,754.8,677.6,749.0,742.1,712.65,1319952,9406.67,40721, 347187,26.3
RUBICON,EQ,18-11-2025,742.1,744.05,752.25,717.55,723.0,724.4,733.7,677527,4971.02,31092, 221191,32.65
RUBICON,EQ,19-11-2025,724.4,722.0,729.4,683.25,695.0,695.05,697.96,564836,3942.35,22454, 217797,38.56
RUBICON,EQ,20-11-2025,695.05,700.0,712.45,690.5,694.0,696.15,701.88,305870,2146.83,16435, 99014,32.37
RUBICON,EQ,21-11-2025,696.15,692.0,694.95,666.3,677.0,677.9,678.65,391448,2656.56,23569, 151295,38.65
RUBICON,EQ,24-11-2025,677.9,679.9,679.9,650.5,657.3,655.75,666.83,226703,1511.73,15288, 97062,42.81
RUBICON,EQ,25-11-2025,655.75,656.0,667.75,652.2,654.0,654.8,660.85,183865,1215.08,11895, 57563,31.31
RUBICON,EQ,26-11-2025,654.8,662.85,685.65,656.95,660.7,658.75,668.57,265649,1776.06,12384, 114406,43.07
RUBICON,EQ,27-11-2025,658.75,665.25,665.25,638.1,649.4,644.7,650.72,252502,1643.08,12552, 135448,53.64
RUBICON,EQ,28-11-2025,644.7,648.6,664.0,648.6,656.0,655.85,657.18,195096,1282.13,10438, 76472,39.2
RUBICON,EQ,01-12-2025,655.85,658.5,663.1,636.1,640.0,640.2,643.82,203639,1311.07,12143, 80669, 39.61
