SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
SANGAMIND,EQ,25-07-1996,12.0,11.0,11.0,11.0,-,11.0,11.0,400,"4,400.00",-,-,-
SANGAMIND,EQ,29-07-1996,11.0,10.25,10.25,10.25,-,10.25,10.25,200,"2,050.00",-,-,-
SANGAMIND,EQ,30-07-1996,10.25,11.0,11.0,11.0,-,11.0,11.0,200,"2,200.00",-,-,-
SANGAMIND,EQ,31-07-1996,11.0,11.0,11.0,11.0,-,11.0,11.0,100,"1,100.00",-,-,-
SANGAMIND,EQ,28-08-1996,11.0,10.5,10.5,10.5,-,10.5,10.5,200,"2,100.00",-,-,-
SANGAMIND,EQ,30-08-1996,10.5,10.5,10.5,10.5,-,10.5,10.5,100,"1,050.00",-,-,-
SANGAMIND,EQ,02-09-1996,10.5,10.5,10.5,10.5,-,10.5,10.5,100,"1,050.00",-,-,-
SANGAMIND,EQ,04-09-1996,10.5,10.3,10.3,10.3,-,10.3,10.3,100,"1,030.00",-,-,-
SANGAMIND,EQ,05-09-1996,10.3,10.3,10.4,10.3,-,10.4,10.32,600,"6,190.00",-,-,-
SANGAMIND,EQ,06-09-1996,10.4,10.35,10.45,10.25,-,10.25,10.31,800,"8,250.00",-,-,-
SANGAMIND,EQ,09-09-1996,10.25,9.9,9.9,9.9,-,9.9,9.9,100,990.00,-,-,-
SANGAMIND,EQ,10-09-1996,9.9,9.8,10.0,9.6,-,9.6,9.75,"1,300","12,675.00",-,-,-
SANGAMIND,EQ,11-09-1996,9.6,10.0,10.0,9.6,-,9.6,9.73,"1,000","9,730.00",-,-,-
SANGAMIND,EQ,03-10-1996,9.6,9.0,9.0,9.0,-,9.0,9.0,200,"1,800.00",-,-,-
SANGAMIND,EQ,04-10-1996,9.0,8.65,8.65,8.65,-,8.65,8.65,300,"2,595.00",-,-,-
SANGAMIND,EQ,08-10-1996,8.65,8.2,8.2,8.0,-,8.0,8.08,500,"4,040.00",-,-,-
SANGAMIND,EQ,18-10-1996,8.0,8.0,8.0,8.0,-,8.0,8.0,600,"4,800.00",-,-,-
SANGAMIND,EQ,22-11-1996,8.0,7.25,7.25,7.25,-,7.25,7.25,100,725.00,-,-,-
SANGAMIND,EQ,26-11-1996,7.25,8.0,8.0,8.0,-,8.0,8.0,100,800.00,-,-,-
SANGAMIND,EQ,26-12-1996,8.0,7.7,7.75,7.7,-,7.75,7.73,300,"2,320.00",-,-,-
SANGAMIND,EQ,01-01-1997,7.75,8.55,8.55,8.55,-,8.55,8.55,100,855.00,-,-,-
SANGAMIND,EQ,03-01-1997,8.55,9.45,9.45,9.45,-,9.45,9.45,100,945.00,-,-,-
SANGAMIND,EQ,08-01-1997,9.45,13.25,14.2,12.05,-,12.2,12.83,"2,700","34,640.00",-,-,-
SANGAMIND,EQ,09-01-1997,12.2,12.5,12.5,12.0,-,12.4,12.15,"4,000","48,605.00",-,-,-
SANGAMIND,EQ,10-01-1997,12.4,12.25,12.8,11.4,-,12.8,12.0,"4,400","52,780.00",-,-,-
