SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
SATECH,ST,02-08-2024,59.0,112.1,117.7,112.1,117.7,117.7,115.45,"5,08,000","5,86,49,200.00",216,"5,08,000",100.0
SATECH,ST,05-08-2024,117.7,123.55,123.55,123.55,123.55,123.55,123.55,"7,06,000","8,72,26,300.00",170,"7,06,000",100.0
SATECH,ST,06-08-2024,123.55,129.7,129.7,117.4,118.2,119.0,125.59,"15,56,000","19,54,23,600.00",620,"15,26,000",98.07
SATECH,ST,07-08-2024,119.0,113.05,119.0,113.05,113.05,113.05,113.32,"4,76,000","5,39,42,200.00",159,"4,52,000",94.96
SATECH,ST,08-08-2024,113.05,109.05,109.05,107.4,107.4,107.4,108.0,"98,000","1,05,83,900.00",40,"96,000",97.96
SATECH,ST,09-08-2024,107.4,102.05,112.75,102.05,110.0,111.1,105.69,"5,44,000","5,74,96,400.00",177,"4,40,000",80.88
SATECH,ST,12-08-2024,111.1,108.05,116.65,105.55,116.65,116.65,114.35,"3,78,000","4,32,23,600.00",154,"3,62,000",95.77
SATECH,ST,13-08-2024,116.65,116.0,120.45,110.85,113.0,112.25,114.63,"2,88,000","3,30,14,700.00",129,"2,70,000",93.75
SATECH,ST,14-08-2024,112.25,116.25,117.85,113.5,117.85,117.85,117.09,"1,36,000","1,59,24,600.00",63,"1,26,000",92.65
SATECH,ST,16-08-2024,117.85,123.7,123.7,123.7,123.7,123.7,123.7,"86,000","1,06,38,200.00",22,"86,000",100.0
SATECH,SM,19-08-2024,123.7,134.0,148.4,129.45,148.4,148.05,142.59,"18,08,000","25,78,11,500.00",717,"8,44,000",46.68
SATECH,SM,20-08-2024,148.05,148.4,158.0,137.0,149.85,150.05,150.78,"8,62,000","12,99,71,900.00",416,"3,88,000",45.01
SATECH,SM,21-08-2024,150.05,154.95,180.05,145.1,180.05,180.05,165.47,"9,10,000","15,05,80,600.00",438,"4,20,000",46.15
SATECH,SM,22-08-2024,180.05,198.05,198.05,198.05,198.05,198.05,198.05,"66,000","1,30,71,300.00",27,"66,000",100.0
SATECH,SM,23-08-2024,198.05,217.85,217.85,217.85,217.85,217.85,217.85,"62,000","1,35,06,700.00",28,"62,000",100.0
SATECH,SM,26-08-2024,217.85,233.0,239.6,197.55,239.6,239.6,230.57,"14,06,000","32,41,86,400.00",567,"6,30,000",44.81
SATECH,SM,27-08-2024,239.6,244.0,250.0,227.65,227.65,227.65,235.63,"5,30,000","12,48,86,000.00",256,"2,86,000",53.96
SATECH,SM,28-08-2024,227.65,216.3,226.95,216.3,216.3,216.3,218.77,"4,04,000","8,83,84,700.00",192,"2,14,000",52.97
SATECH,SM,29-08-2024,216.3,206.0,212.0,205.5,205.5,205.5,207.01,"96,000","1,98,73,200.00",41,"74,000",77.08
SATECH,SM,30-08-2024,205.5,200.3,215.75,195.25,207.45,207.0,202.29,"10,20,000","20,63,37,100.00",398,"3,30,000",32.35
