SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
SBGLP,EQ,10-02-2023,219.65,229.0,230.05,205.0,220.0,220.95,221.7,"30,825","68,33,760.35",329,"4,744",15.39
SBGLP,EQ,13-02-2023,220.95,223.5,223.5,214.95,218.25,216.85,216.89,"1,702","3,69,149.00",179,"1,063",62.46
SBGLP,EQ,14-02-2023,216.85,217.8,219.4,203.25,205.0,209.85,212.87,"23,360","49,72,530.95",361,"2,848",12.19
SBGLP,EQ,15-02-2023,209.85,206.75,217.3,204.1,210.0,208.95,213.47,"24,146","51,54,401.85",461,"3,294",13.64
SBGLP,EQ,16-02-2023,208.95,210.1,210.1,204.95,208.95,207.05,207.31,"1,612","3,34,175.80",141,783,48.57
SBGLP,EQ,17-02-2023,207.05,209.85,225.05,201.15,203.25,210.3,214.25,"6,338","13,57,893.75",484,"3,807",60.07
SBGLP,EQ,20-02-2023,210.3,211.15,219.0,210.25,219.0,216.85,214.8,"9,887","21,23,746.80",909,"6,779",68.56
SBGLP,EQ,21-02-2023,216.85,221.65,223.0,208.05,217.0,218.15,217.53,"6,507","14,15,466.30",397,"2,773",42.62
SBGLP,EQ,22-02-2023,218.15,214.45,215.55,205.1,205.1,210.85,212.72,"1,058","2,25,058.65",76,489,46.22
SBGLP,EQ,23-02-2023,210.85,213.95,213.95,203.2,204.25,208.75,208.79,"2,788","5,82,109.00",350,"1,343",48.17
SBGLP,EQ,24-02-2023,208.75,212.5,212.5,203.4,207.0,206.95,208.12,"1,574","3,27,577.45",184,939,59.66
SBGLP,EQ,27-02-2023,206.95,220.0,220.0,203.25,203.25,205.15,208.12,"1,921","3,99,807.15",244,"1,325",68.97
SBGLP,EQ,28-02-2023,205.15,213.0,213.2,201.05,206.45,205.3,206.71,"2,589","5,35,160.75",187,"2,230",86.13
SBGLP,EQ,01-03-2023,205.3,209.6,210.2,202.55,206.0,205.95,206.25,691,"1,42,518.60",121,558,80.75
SBGLP,EQ,02-03-2023,205.95,207.95,211.9,201.5,203.0,203.65,205.27,"3,038","6,23,620.60",180,"2,710",89.2
SBGLP,EQ,03-03-2023,203.65,210.75,211.0,198.0,205.2,203.95,206.37,"4,256","8,78,324.85",291,"3,378",79.37
SBGLP,EQ,06-03-2023,203.95,206.45,209.95,201.9,202.55,203.8,204.78,"3,300","6,75,762.95",276,"1,730",52.42
SBGLP,EQ,08-03-2023,203.8,209.95,210.0,188.1,192.0,198.4,197.53,"15,076","29,78,007.90","1,119","9,117",60.47
SBGLP,EQ,09-03-2023,198.4,207.95,207.95,195.05,201.65,200.1,199.51,"31,163","62,17,267.75",968,"2,851",9.15
SBGLP,EQ,10-03-2023,200.1,196.25,200.0,188.1,199.9,195.95,196.49,"22,285","43,78,762.55",304,"1,361",6.11
SBGLP,EQ,13-03-2023,195.95,186.7,199.0,182.25,194.95,194.6,194.94,"11,911","23,21,913.10",244,675,5.67
SBGLP,EQ,14-03-2023,194.6,194.6,194.6,186.7,186.7,187.6,189.19,"1,849","3,49,816.40",174,437,23.63
SBGLP,EQ,15-03-2023,187.6,186.05,190.9,170.0,188.0,184.25,189.88,"8,562","16,25,715.20",268,568,6.63
SBGLP,EQ,16-03-2023,184.25,198.95,198.95,171.4,175.0,175.0,175.26,"6,691","11,72,688.30",407,"4,068",60.8
SBGLP,EQ,17-03-2023,175.0,190.7,200.4,172.0,172.0,174.95,187.37,"22,271","41,72,875.30","1,513","6,779",30.44
SBGLP,EQ,20-03-2023,174.95,173.3,188.5,164.9,187.5,185.75,178.35,"12,719","22,68,387.65",510,"2,681",21.08
SBGLP,EQ,21-03-2023,185.75,188.4,194.9,175.2,175.6,179.5,188.12,"25,010","47,04,882.05",716,"10,939",43.74
SBGLP,EQ,22-03-2023,179.5,176.45,187.8,176.45,187.4,185.85,184.08,"3,674","6,76,298.70",279,"2,420",65.87
SBGLP,EQ,23-03-2023,185.85,183.05,192.0,183.0,192.0,188.25,186.56,"1,148","2,14,167.40",264,465,40.51
SBGLP,EQ,24-03-2023,188.25,191.95,192.0,174.8,178.0,185.3,185.67,"15,222","28,26,244.60",254,"14,406",94.64
SBGLP,EQ,27-03-2023,185.3,188.0,192.8,176.05,183.55,188.5,185.5,"5,188","9,62,366.70",221,"3,923",75.62
SBGLP,EQ,28-03-2023,188.5,191.65,191.65,176.0,185.8,183.6,183.81,"2,487","4,57,139.50",249,"1,556",62.57
SBGLP,EQ,29-03-2023,183.6,183.95,189.7,168.0,186.0,181.35,175.73,"17,408","30,59,023.35",450,"14,352",82.44
SBGLP,EQ,31-03-2023,181.35,181.3,187.7,181.0,186.35,185.1,185.16,"7,690","14,23,870.60",334,"3,854",50.12
SBGLP,EQ,03-04-2023,185.1,183.7,184.0,171.2,182.45,179.6,180.84,"7,765","14,04,202.40",295,"1,588",20.45
SBGLP,EQ,05-04-2023,179.6,182.95,185.0,180.8,185.0,183.5,182.88,"2,321","4,24,467.75",212,"1,994",85.91
SBGLP,EQ,06-04-2023,183.5,183.9,187.5,182.75,184.0,184.1,184.08,"12,072","22,22,205.50",115,"11,670",96.67
SBGLP,EQ,10-04-2023,184.1,182.9,193.7,181.9,193.7,191.15,185.86,"4,224","7,85,090.85",511,"1,393",32.98
SBGLP,EQ,11-04-2023,191.15,191.0,192.45,182.1,190.0,186.1,185.15,"8,719","16,14,293.50",463,"7,127",81.74
SBGLP,EQ,12-04-2023,186.1,186.15,190.05,182.05,189.7,185.45,186.41,"26,011","48,48,727.55",790,"23,582",90.66
SBGLP,EQ,13-04-2023,185.45,184.45,185.95,179.2,183.0,185.25,184.56,"20,467","37,77,364.10",778,"1,080",5.28
SBGLP,EQ,17-04-2023,185.25,180.5,193.0,178.1,192.9,190.45,184.18,"2,925","5,38,733.30",232,"1,609",55.01
SBGLP,EQ,18-04-2023,190.45,195.0,195.0,183.05,191.0,187.5,190.61,"9,401","17,91,881.75",291,"2,534",26.95
SBGLP,EQ,19-04-2023,187.5,190.4,190.95,184.35,184.35,184.45,188.17,"2,029","3,81,789.80",128,251,12.37
SBGLP,EQ,20-04-2023,184.45,189.5,190.0,184.65,189.5,189.35,187.97,"1,439","2,70,486.00",133,"1,068",74.22
SBGLP,EQ,21-04-2023,189.35,194.75,194.8,189.35,189.95,191.5,191.11,"5,739","10,96,772.55",360,"4,890",85.21
SBGLP,EQ,24-04-2023,191.5,195.0,199.6,183.25,192.5,191.2,192.03,"34,163","65,60,356.75",276,"31,539",92.32
SBGLP,EQ,25-04-2023,191.2,188.35,192.45,185.0,185.05,187.5,189.66,"2,492","4,72,631.00",242,612,24.56
SBGLP,EQ,26-04-2023,187.5,190.1,190.25,183.1,183.3,185.85,187.38,676,"1,26,668.75",168,425,62.87
SBGLP,EQ,27-04-2023,185.85,192.25,200.5,188.1,192.0,188.8,190.37,"1,638","3,11,825.35",172,975,59.52
SBGLP,EQ,28-04-2023,188.8,185.75,191.3,185.0,186.55,185.5,189.77,"21,706","41,19,093.85",99,"21,570",99.37
SBGLP,EQ,02-05-2023,185.5,187.0,196.4,186.8,196.0,194.7,191.03,"8,678","16,57,762.30",391,"4,281",49.33
SBGLP,EQ,03-05-2023,194.7,207.9,207.9,191.95,200.0,198.65,199.69,"16,343","32,63,490.75",282,"3,557",21.76
SBGLP,EQ,04-05-2023,198.65,199.25,199.25,193.0,197.0,195.75,193.99,"2,756","5,34,644.50",78,"2,282",82.8
SBGLP,EQ,05-05-2023,195.75,191.85,193.45,188.0,190.0,190.2,190.02,"3,399","6,45,873.15",115,"2,072",60.96
SBGLP,EQ,08-05-2023,190.2,193.6,195.9,190.1,195.8,193.0,192.61,"1,425","2,74,470.30",170,871,61.12
SBGLP,EQ,09-05-2023,193.0,192.45,195.8,187.0,195.0,192.45,192.37,"2,159","4,15,316.30",175,"1,573",72.86
SBGLP,EQ,10-05-2023,192.45,193.4,193.5,186.95,190.05,193.3,190.69,"4,043","7,70,972.70",236,"2,678",66.24
SBGLP,EQ,11-05-2023,193.3,199.5,203.9,192.05,203.9,202.2,196.69,"62,382","1,22,69,816.00",483,"24,864",39.86
SBGLP,EQ,12-05-2023,202.2,202.2,209.0,200.25,209.0,206.5,204.09,"65,528","1,33,73,401.90",760,"22,165",33.83
SBGLP,EQ,15-05-2023,206.5,208.35,215.7,207.0,207.25,210.2,209.65,"32,927","69,03,138.60",357,"6,216",18.88
SBGLP,EQ,16-05-2023,210.2,209.8,212.95,204.1,210.0,208.85,208.65,"43,111","89,95,016.85",910,"3,482",8.08
SBGLP,EQ,17-05-2023,208.85,207.0,219.0,206.0,217.9,215.8,210.11,"1,02,873","2,16,15,021.55","1,162","66,748",64.88
SBGLP,EQ,18-05-2023,215.8,211.05,220.5,206.1,217.0,215.05,215.51,"37,442","80,69,179.55",823,"7,778",20.77
SBGLP,EQ,19-05-2023,215.05,212.95,217.05,201.0,209.7,208.65,209.07,"39,932","83,48,406.70","1,384","15,481",38.77
SBGLP,EQ,22-05-2023,208.65,210.05,219.55,210.05,218.9,218.05,215.81,"74,127","1,59,97,525.85","1,144","40,629",54.81
SBGLP,EQ,23-05-2023,218.05,214.05,224.9,212.0,224.0,221.9,218.29,"2,26,503","4,94,42,630.65","1,389","89,837",39.66
SBGLP,EQ,24-05-2023,221.9,221.95,229.0,219.45,224.5,224.3,225.34,"33,716","75,97,643.70","1,221","16,535",49.04
SBGLP,EQ,25-05-2023,224.3,226.95,226.95,223.95,225.0,225.3,225.21,"28,410","63,98,265.80",480,"3,195",11.25
SBGLP,EQ,26-05-2023,225.3,225.2,225.25,212.6,225.2,224.4,223.36,"20,316","45,37,835.35",504,"2,066",10.17
SBGLP,EQ,29-05-2023,224.4,218.0,223.95,215.05,216.0,217.95,217.65,"9,843","21,42,346.90",227,962,9.77
SBGLP,EQ,30-05-2023,217.95,220.05,223.45,213.3,217.8,216.7,219.55,"16,331","35,85,535.45",327,"2,337",14.31
SBGLP,EQ,31-05-2023,216.7,216.0,224.45,211.3,213.3,219.7,219.17,"1,13,187","2,48,06,653.65",716,"92,324",81.57
SBGLP,EQ,01-06-2023,219.7,221.5,226.9,220.5,223.0,223.55,224.07,"36,984","82,87,109.25","1,004","14,451",39.07
SBGLP,EQ,02-06-2023,223.55,225.0,229.8,212.5,213.25,218.0,220.72,"26,587","58,68,383.15",817,"11,689",43.97
SBGLP,EQ,05-06-2023,218.0,220.0,220.0,209.0,209.0,213.65,214.43,"26,432","56,67,904.00",863,"11,848",44.82
SBGLP,EQ,06-06-2023,213.65,205.0,213.55,196.65,196.75,208.1,209.78,"39,639","83,15,333.50",936,"17,240",43.49
SBGLP,EQ,07-06-2023,208.1,202.75,219.5,201.75,219.5,218.05,211.96,"51,272","1,08,67,590.70","1,335","16,792",32.75
SBGLP,EQ,08-06-2023,218.05,221.0,223.0,211.65,223.0,219.95,216.14,"83,354","1,80,16,207.20","1,237","52,114",62.52
SBGLP,EQ,09-06-2023,219.95,220.7,224.0,214.85,223.0,219.8,218.94,"31,861","69,75,544.55",730,"11,629",36.5
SBGLP,EQ,12-06-2023,219.8,219.0,226.0,218.55,222.2,220.5,222.01,"34,241","76,01,899.70",948,"9,413",27.49
SBGLP,EQ,13-06-2023,220.5,220.95,225.2,218.3,220.0,219.9,221.65,"23,130","51,26,733.75",587,"2,838",12.27
SBGLP,EQ,14-06-2023,219.9,208.0,228.1,205.75,226.0,224.95,222.74,"42,775","95,27,587.10","1,007","22,876",53.48
SBGLP,EQ,15-06-2023,224.95,220.0,228.25,220.0,227.9,226.95,225.33,"79,223","1,78,51,420.25","1,182","59,967",75.69
SBGLP,EQ,16-06-2023,226.95,223.0,228.0,218.05,224.0,221.1,224.13,"19,446","43,58,397.20",564,"6,548",33.67
SBGLP,EQ,19-06-2023,221.1,217.95,227.35,216.75,224.8,222.35,221.49,"20,663","45,76,555.85",602,"2,133",10.32
SBGLP,EQ,20-06-2023,222.35,221.35,234.95,220.1,226.0,226.1,225.3,"37,227","83,87,285.00",871,"12,864",34.56
SBGLP,EQ,21-06-2023,226.1,230.0,230.3,220.7,227.0,225.85,223.3,"20,041","44,75,137.75",591,"2,579",12.87
SBGLP,EQ,22-06-2023,225.85,227.0,227.5,216.25,220.0,219.55,224.97,"20,831","46,86,255.20",684,"3,332",16.0
SBGLP,EQ,23-06-2023,219.55,218.45,221.2,211.85,214.0,213.5,213.99,"21,397","45,78,705.05",635,"7,137",33.36
SBGLP,EQ,26-06-2023,213.5,216.3,219.9,214.5,215.9,216.25,216.3,"23,427","50,67,314.25",336,"6,063",25.88
SBGLP,EQ,27-06-2023,216.25,217.95,219.25,213.35,218.0,217.65,216.18,"22,294","48,19,490.20",702,"3,554",15.94
SBGLP,EQ,28-06-2023,217.65,216.55,221.85,210.0,214.75,213.35,216.47,"22,684","49,10,367.45","1,348","7,347",32.39
SBGLP,EQ,30-06-2023,213.35,222.5,222.5,209.55,212.0,210.95,213.33,"12,448","26,55,590.45",518,"5,572",44.76
SBGLP,EQ,03-07-2023,210.95,220.0,220.0,200.0,201.5,207.0,209.64,"21,610","45,30,413.15","1,052","5,052",23.38
SBGLP,EQ,04-07-2023,207.0,205.5,213.9,205.5,209.0,208.7,210.61,"20,576","43,33,558.80",805,"5,554",26.99
SBGLP,EQ,05-07-2023,208.7,210.05,217.4,205.05,211.0,210.35,209.29,"6,921","14,48,513.60",656,"3,176",45.89
SBGLP,EQ,06-07-2023,210.35,214.9,214.95,201.0,206.3,208.45,206.64,"21,612","44,65,796.20",938,"6,990",32.34
SBGLP,EQ,07-07-2023,208.45,208.7,215.65,206.55,213.0,214.3,210.35,"22,245","46,79,157.05","1,315","7,246",32.57
SBGLP,EQ,10-07-2023,214.3,214.15,216.75,211.0,215.15,215.35,213.85,"17,547","37,52,389.25",418,"3,525",20.09
SBGLP,EQ,11-07-2023,215.35,215.4,216.0,212.0,214.9,214.1,213.94,"16,289","34,84,867.10",447,"1,662",10.2
SBGLP,EQ,12-07-2023,214.1,218.6,219.55,209.05,213.95,213.45,212.07,"17,026","36,10,635.15",370,"2,612",15.34
