SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
SENSEXETF,EQ,06-10-2023,65.23,66.0,67.0,65.75,66.49,66.33,66.14,"13,759","9,10,057.78",95,"10,091",73.34
SENSEXETF,EQ,09-10-2023,66.33,65.0,65.95,65.0,65.1,65.1,65.23,"2,688","1,75,340.71",33,"2,076",77.23
SENSEXETF,EQ,10-10-2023,65.1,66.72,70.5,65.67,66.8,66.3,67.58,"2,029","1,37,128.41",51,"1,088",53.62
SENSEXETF,EQ,11-10-2023,66.3,66.5,66.7,65.51,66.7,66.7,66.38,400,"26,551.54",21,266,66.5
SENSEXETF,EQ,12-10-2023,66.7,68.36,69.7,66.27,66.29,66.37,67.0,"4,708","3,15,423.51",76,"3,844",81.65
SENSEXETF,EQ,13-10-2023,66.37,66.2,68.0,66.01,66.5,66.32,66.47,"18,564","12,33,894.30",138,"12,714",68.49
SENSEXETF,EQ,16-10-2023,66.32,66.33,66.34,66.05,66.05,66.08,66.15,"3,090","2,04,407.36",55,"2,367",76.6
SENSEXETF,EQ,17-10-2023,66.08,66.69,66.69,66.32,66.68,66.32,66.41,102,"6,774.19",14,75,73.53
SENSEXETF,EQ,18-10-2023,66.32,66.5,67.24,66.21,66.3,66.22,66.52,"1,069","71,113.62",51,890,83.26
SENSEXETF,EQ,19-10-2023,66.22,66.3,67.39,65.85,67.39,67.38,66.47,"1,625","1,08,017.80",64,"1,336",82.22
SENSEXETF,EQ,20-10-2023,67.38,68.47,68.47,65.45,65.8,65.77,65.89,"4,697","3,09,478.18",140,"4,056",86.35
SENSEXETF,EQ,23-10-2023,65.77,66.44,77.0,65.63,76.99,69.08,68.32,"1,841","1,25,785.05",66,"1,299",70.56
SENSEXETF,EQ,25-10-2023,69.08,68.97,78.5,66.0,78.5,76.85,69.61,"19,910","13,85,907.53",419,"9,800",49.22
SENSEXETF,EQ,26-10-2023,76.85,76.17,77.5,62.27,62.27,63.2,63.71,"2,28,234","1,45,39,799.39","1,194","66,733",29.24
SENSEXETF,EQ,27-10-2023,63.2,65.1,65.1,62.62,63.36,63.64,63.82,"31,329","19,99,527.56",440,"19,095",60.95
SENSEXETF,EQ,30-10-2023,63.64,63.65,64.41,63.0,64.25,64.28,64.04,"13,745","8,80,268.06",201,"8,432",61.35
SENSEXETF,EQ,31-10-2023,64.28,64.95,64.95,63.9,64.24,64.23,64.06,"4,930","3,15,804.16",123,"3,965",80.43
SENSEXETF,EQ,01-11-2023,64.23,64.25,64.39,63.61,63.63,63.78,63.87,"3,626","2,31,579.72",102,"1,997",55.07
SENSEXETF,EQ,02-11-2023,63.78,64.34,64.99,63.92,64.98,64.34,64.27,"3,908","2,51,174.24",71,"2,634",67.4
SENSEXETF,EQ,03-11-2023,64.34,64.41,64.86,64.2,64.84,64.7,64.6,"5,952","3,84,512.52",116,"2,920",49.06
SENSEXETF,EQ,06-11-2023,64.7,64.84,65.95,64.71,65.95,65.57,65.12,"5,543","3,60,951.44",81,"3,965",71.53
SENSEXETF,EQ,07-11-2023,65.57,65.1,65.5,64.95,65.5,65.47,65.25,"2,486","1,62,200.11",65,"1,390",55.91
SENSEXETF,EQ,08-11-2023,65.47,65.4,65.47,64.74,65.05,65.17,64.87,"3,049","1,97,797.93",67,"2,518",82.58
SENSEXETF,EQ,09-11-2023,65.17,65.17,65.43,64.71,65.27,65.27,65.08,702,"45,688.80",37,651,92.74
SENSEXETF,EQ,10-11-2023,65.27,65.05,65.3,64.93,65.27,65.27,65.04,"2,096","1,36,317.81",74,"1,873",89.36
