SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
SBIGETS,EQ,28-05-2009,"1,463.10","1,539.99","1,539.99","1,415.30","1,466.99","1,462.73","1,443.43","3,270","47,20,000.86",-,"1,407",43.03
SBIGETS,EQ,29-05-2009,"1,462.73","1,466.99","1,489.00","1,425.12","1,474.00","1,474.81","1,473.71","1,900","28,00,051.10",-,"1,726",90.84
SBIGETS,EQ,01-06-2009,"1,474.81","1,475.00","1,547.00","1,454.00","1,470.00","1,471.48","1,478.78","3,929","58,10,145.85",-,"3,414",86.89
SBIGETS,EQ,02-06-2009,"1,471.48","1,471.00","1,492.95","1,460.01","1,487.99","1,480.37","1,478.54",892,"13,18,859.09",-,690,77.35
SBIGETS,EQ,03-06-2009,"1,480.37","1,481.00","1,503.50","1,481.00","1,503.48","1,502.10","1,494.24",648,"9,68,269.51",-,472,72.84
SBIGETS,EQ,04-06-2009,"1,502.10","1,499.70","1,500.00","1,485.00","1,494.00","1,493.70","1,492.70",392,"5,85,136.89",-,328,83.67
SBIGETS,EQ,05-06-2009,"1,493.70","1,493.70","1,500.00","1,490.15","1,500.00","1,499.40","1,497.46",593,"8,87,993.36",-,426,71.84
SBIGETS,EQ,08-06-2009,"1,499.40","1,498.75","1,498.75","1,450.00","1,480.00","1,484.11","1,477.80",647,"9,56,133.95",-,400,61.82
SBIGETS,EQ,09-06-2009,"1,484.11","1,460.00","1,498.00","1,460.00","1,476.01","1,476.64","1,480.50",853,"12,62,865.36",-,440,51.58
SBIGETS,EQ,10-06-2009,"1,476.64","1,497.00","1,497.00","1,475.00","1,481.05","1,486.22","1,482.05",557,"8,25,500.74",-,284,50.99
SBIGETS,EQ,11-06-2009,"1,486.22","1,480.00","1,493.00","1,475.05","1,480.00","1,479.99","1,478.57",690,"10,20,216.38",-,575,83.33
SBIGETS,EQ,12-06-2009,"1,479.99","1,694.00","1,694.00","1,475.00","1,481.00","1,481.09","1,485.16",427,"6,34,163.76",-,282,66.04
SBIGETS,EQ,15-06-2009,"1,481.09","1,481.00","1,490.00","1,464.00","1,472.00","1,467.88","1,472.05",584,"8,59,678.00",-,319,54.62
SBIGETS,EQ,16-06-2009,"1,467.88","1,478.00","1,478.00","1,464.00","1,473.95","1,471.28","1,469.37",313,"4,59,913.35",-,271,86.58
SBIGETS,EQ,17-06-2009,"1,471.28","1,401.00","1,477.95","1,401.00","1,476.99","1,460.38","1,470.57",499,"7,33,814.84",-,327,65.53
SBIGETS,EQ,18-06-2009,"1,460.38","1,460.00","1,488.95","1,460.00","1,470.00","1,471.80","1,471.11",442,"6,50,231.46",-,336,76.02
SBIGETS,EQ,19-06-2009,"1,471.80","1,480.00","1,487.85","1,450.00","1,467.01","1,470.94","1,469.10",362,"5,31,814.22",-,233,64.36
SBIGETS,EQ,22-06-2009,"1,470.94","1,470.00","1,496.00","1,467.24","1,471.00","1,472.47","1,479.82",250,"3,69,954.83",-,141,56.4
SBIGETS,EQ,23-06-2009,"1,472.47","1,465.00","1,475.00","1,355.00","1,462.00","1,462.00","1,447.88",537,"7,77,511.99",-,316,58.85
SBIGETS,EQ,24-06-2009,"1,462.00","1,480.00","1,480.00","1,455.00","1,466.00","1,472.08","1,468.83",277,"4,06,867.28",-,124,44.77
SBIGETS,EQ,25-06-2009,"1,472.08","1,495.00","1,497.99","1,461.00","1,478.00","1,484.51","1,481.33",463,"6,85,857.43",-,307,66.31
SBIGETS,EQ,26-06-2009,"1,484.51","1,490.00","1,500.00","1,481.20","1,488.50","1,488.44","1,488.82",787,"11,71,703.99",-,629,79.92
SBIGETS,EQ,29-06-2009,"1,488.44","1,480.00","1,493.50","1,470.50","1,483.00","1,478.05","1,482.27",269,"3,98,730.29",-,148,55.02
SBIGETS,EQ,30-06-2009,"1,478.05","1,489.99","1,489.99","1,470.00","1,484.00","1,478.82","1,478.44",392,"5,79,548.77",-,220,56.12
SBIGETS,EQ,01-07-2009,"1,478.82","1,485.10","1,485.10","1,461.21","1,474.00","1,473.24","1,476.43","1,064","15,70,920.25",-,752,70.68
SBIGETS,EQ,02-07-2009,"1,473.24","1,486.50","1,486.50","1,470.40","1,473.00","1,478.67","1,476.84",115,"1,69,836.70",-,86,74.78
SBIGETS,EQ,03-07-2009,"1,478.67","1,482.00","1,482.00","1,452.00","1,465.00","1,470.63","1,463.27",446,"6,52,620.05",-,257,57.62
SBIGETS,EQ,06-07-2009,"1,470.63","1,484.90","1,484.90","1,460.00","1,478.00","1,471.77","1,471.24",780,"11,47,567.51",-,456,58.46
SBIGETS,EQ,07-07-2009,"1,471.77","1,483.50","1,650.00","1,475.27","1,476.00","1,481.31","1,498.62","1,104","16,54,476.68",-,644,58.33
SBIGETS,EQ,08-07-2009,"1,481.31","1,500.00","1,505.00","1,462.00","1,467.00","1,468.17","1,482.64","1,581","23,44,052.74",-,487,30.8
SBIGETS,EQ,09-07-2009,"1,468.17","1,470.15","1,479.98","1,455.00","1,462.00","1,468.45","1,468.69",656,"9,63,458.09",-,409,62.35
SBIGETS,EQ,10-07-2009,"1,468.45","1,470.00","1,473.99","1,432.00","1,458.00","1,459.19","1,454.68",549,"7,98,621.17",-,301,54.83
SBIGETS,EQ,13-07-2009,"1,459.19","1,497.99","1,497.99","1,455.25","1,494.00","1,491.85","1,477.50",394,"5,82,133.31",-,265,67.26
SBIGETS,EQ,14-07-2009,"1,491.85","1,493.84","1,493.84","1,465.02","1,471.00","1,472.71","1,475.37","1,114","16,43,563.78",-,816,73.25
