SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
SFL,EQ,09-12-2016,730.00,860.00,"1,032.00",850.1,"1,032.00","1,032.00",969.94,"48,39,221","4,69,37,64,732.35","88,342","18,15,621",37.52
SFL,EQ,12-12-2016,"1,032.00","1,122.00","1,164.00",954.0,"1,004.95","1,007.05","1,022.48","28,06,329","2,86,94,11,351.65","1,04,792","2,98,927",10.65
SFL,EQ,13-12-2016,"1,007.05",988.00,"1,013.00",969.4,"1,003.00",998.15,996.80,"7,90,335","78,78,02,477.20","32,018","83,146",10.52
SFL,EQ,14-12-2016,998.15,994.00,"1,052.00",947.2,964.00,961.65,"1,002.31","19,12,964","1,91,73,76,151.20","71,146","1,40,098",7.32
SFL,EQ,15-12-2016,961.65,939.00,969.95,931.05,962.00,959.35,953.52,"6,57,598","62,70,30,398.90","29,574","75,580",11.49
SFL,EQ,16-12-2016,959.35,960.00,978.00,952.6,956.10,959.35,964.55,"2,41,941","23,33,63,369.50","9,613","30,162",12.47
SFL,EQ,19-12-2016,959.35,963.70,963.70,926.7,928.00,930.70,938.18,"1,93,491","18,15,28,786.15","9,834","69,903",36.13
SFL,EQ,20-12-2016,930.70,930.00,943.00,926.2,930.50,930.45,932.13,"1,02,020","9,50,95,446.50","5,647","37,193",36.46
SFL,EQ,21-12-2016,930.45,935.00,935.00,923.0,927.50,925.65,926.47,"70,668","6,54,71,640.35","3,877","32,557",46.07
SFL,EQ,22-12-2016,925.65,925.00,956.00,914.95,956.00,946.50,935.04,"1,90,884","17,84,84,207.60","12,686","47,367",24.81
SFL,EQ,23-12-2016,946.50,957.00,957.00,930.0,941.00,941.35,934.65,"2,90,979","27,19,62,957.15","7,295","2,20,483",75.77
SFL,EQ,26-12-2016,941.35,940.90,940.90,912.6,916.00,916.00,919.79,"44,257","4,07,06,960.10","7,725","21,990",49.69
SFL,EQ,27-12-2016,916.00,910.00,939.00,910.0,930.00,932.95,929.67,"42,610","3,96,13,190.20","5,189","11,652",27.35
SFL,EQ,28-12-2016,932.95,935.00,948.00,931.55,934.20,934.25,938.23,"28,817","2,70,36,969.40","2,608","7,334",25.45
SFL,EQ,29-12-2016,934.25,939.75,944.50,925.0,938.50,936.40,937.96,"18,725","1,75,63,219.70","1,582","3,866",20.65
SFL,EQ,30-12-2016,936.40,938.95,950.00,929.9,931.20,935.45,941.31,"23,976","2,25,68,967.40","1,893","6,320",26.36
SFL,EQ,02-01-2017,935.45,930.00,952.85,930.00,950.00,949.80,946.05,"35,565","3,36,46,106.30","2,584","13,928",39.16
SFL,EQ,03-01-2017,949.80,945.00,950.00,940.00,940.00,941.25,943.74,"11,622","1,09,68,181.10",828,"4,016",34.56
SFL,EQ,04-01-2017,941.25,941.05,948.00,931.50,940.00,935.85,940.68,"8,249","77,59,669.05",506,"2,664",32.29
SFL,EQ,05-01-2017,935.85,940.85,945.00,921.00,926.00,928.80,934.58,"9,468","88,48,598.50",693,"4,613",48.72
SFL,EQ,06-01-2017,928.80,934.90,989.00,934.85,965.00,966.00,958.25,"3,35,531","32,15,22,530.95","16,230","1,82,456",54.38
SFL,EQ,09-01-2017,966.00,970.00,970.00,945.00,946.00,950.70,956.32,"1,30,539","12,48,37,103.15","2,171","1,17,772",90.22
SFL,EQ,10-01-2017,950.70,949.95,970.00,942.00,969.00,966.80,960.20,"29,984","2,87,90,664.60","2,734","11,691",38.99
SFL,EQ,11-01-2017,966.80,968.85,981.00,953.05,981.00,977.05,970.69,"26,325","2,55,53,518.35","2,276","12,040",45.74
SFL,EQ,12-01-2017,977.05,971.00,998.90,966.00,993.50,992.35,984.42,"26,445","2,60,32,919.70","2,507","10,103",38.2
SFL,EQ,13-01-2017,992.35,990.00,999.00,970.55,993.00,990.40,986.58,"22,076","2,17,79,804.55","3,059","6,631",30.04
SFL,EQ,16-01-2017,990.40,989.95,989.95,962.00,964.00,968.40,971.95,"29,489","2,86,61,748.75","2,127","21,090",71.52
SFL,EQ,17-01-2017,968.40,965.25,981.60,960.00,981.50,977.85,972.65,"12,897","1,25,44,276.45","1,055","5,616",43.55
SFL,EQ,18-01-2017,977.85,977.05,983.00,955.00,960.00,964.80,979.29,"58,743","5,75,26,219.15",943,"53,469",91.02
SFL,EQ,19-01-2017,964.80,965.00,973.95,956.00,969.50,969.95,968.18,"22,611","2,18,91,509.25","2,552","13,766",60.88
SFL,EQ,20-01-2017,969.95,965.00,973.80,946.85,959.00,953.65,957.93,"9,783","93,71,387.80","1,331","5,341",54.59
SFL,EQ,23-01-2017,953.65,950.15,964.90,946.00,954.80,955.65,957.30,"8,044","77,00,553.55","2,618","4,762",59.2
SFL,EQ,24-01-2017,955.65,954.95,963.90,925.00,942.00,952.40,952.59,"79,693","7,59,14,709.75",972,"74,014",92.87
SFL,EQ,25-01-2017,952.40,952.30,952.30,930.00,930.00,942.85,942.38,"14,745","1,38,95,342.85","2,305","9,302",63.09
SFL,EQ,27-01-2017,942.85,948.80,971.00,936.55,956.00,957.45,953.26,"23,573","2,24,71,114.40","2,352","9,239",39.19
SFL,EQ,30-01-2017,957.45,962.25,968.00,946.15,964.00,962.20,960.67,"29,723","2,85,53,977.60","1,538","16,568",55.74
SFL,EQ,31-01-2017,962.20,965.00,985.00,960.00,971.00,973.70,974.11,"29,969","2,91,93,061.65","6,298","19,115",63.78
SFL,EQ,01-02-2017,973.70,980.05,980.05,958.00,959.00,960.95,964.45,"4,613","44,49,028.30",486,"2,567",55.65
SFL,EQ,02-02-2017,960.95,969.95,983.00,957.00,980.00,979.40,975.84,"9,796","95,59,362.65","1,199","7,122",72.7
SFL,EQ,03-02-2017,979.40,975.55,999.00,960.00,985.00,991.80,987.39,"19,554","1,93,07,408.30","3,429","12,863",65.78
SFL,EQ,06-02-2017,991.80,996.00,"1,025.90",990.00,991.00,"1,001.60","1,007.62","26,130","2,63,29,053.40","2,566","10,578",40.48
SFL,EQ,07-02-2017,"1,001.60",994.95,"1,015.00",984.00,986.65,993.15,"1,000.30","14,250","1,42,54,216.70","2,359","5,846",41.02
SFL,EQ,08-02-2017,993.15,"1,002.05","1,005.00",987.90,997.00,995.90,996.05,"11,759","1,17,12,503.60",856,"8,410",71.52
SFL,EQ,09-02-2017,995.90,999.45,"1,002.00",986.50,992.90,992.10,995.31,"8,983","89,40,884.10",484,"5,597",62.31
