SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
SHANTIGEAR,EQ,02-01-1996,186.05,183.0,184.0,182.0,-,184.0,183.0,500,"91,500.00",-,-,-
SHANTIGEAR,EQ,03-01-1996,184.00,186.0,188.0,186.0,-,187.5,186.77,600,"1,12,060.00",-,-,-
SHANTIGEAR,EQ,04-01-1996,187.50,187.0,189.0,187.0,-,187.0,187.5,400,"75,000.00",-,-,-
SHANTIGEAR,EQ,05-01-1996,187.00,187.0,185.0,185.0,-,185.0,185.0,400,"74,000.00",-,-,-
SHANTIGEAR,EQ,08-01-1996,185.00,184.25,185.0,184.0,-,185.0,184.45,500,"92,225.00",-,-,-
SHANTIGEAR,EQ,09-01-1996,185.00,180.0,180.0,177.0,-,177.0,177.87,800,"1,42,295.00",-,-,-
SHANTIGEAR,EQ,10-01-1996,177.00,177.0,177.0,177.0,-,177.0,177.0,"2,000","3,54,000.00",-,-,-
SHANTIGEAR,EQ,12-01-1996,177.00,179.0,179.0,179.0,-,179.0,179.0,100,"17,900.00",-,-,-
SHANTIGEAR,EQ,15-01-1996,179.00,172.0,172.0,172.0,-,172.0,172.0,200,"34,400.00",-,-,-
SHANTIGEAR,EQ,16-01-1996,172.00,165.5,165.5,165.5,-,165.5,165.5,100,"16,550.00",-,-,-
SHANTIGEAR,EQ,18-01-1996,165.50,169.0,173.0,169.0,-,173.0,172.0,400,"68,800.00",-,-,-
SHANTIGEAR,EQ,19-01-1996,173.00,173.0,173.0,172.0,-,172.0,172.5,200,"34,500.00",-,-,-
SHANTIGEAR,EQ,25-01-1996,172.00,172.0,172.0,172.0,-,172.0,172.0,100,"17,200.00",-,-,-
SHANTIGEAR,EQ,30-01-1996,172.00,170.0,170.0,170.0,-,170.0,170.0,300,"51,000.00",-,-,-
SHANTIGEAR,EQ,05-02-1996,170.00,180.0,180.0,180.0,-,180.0,180.0,100,"18,000.00",-,-,-
SHANTIGEAR,EQ,06-02-1996,180.00,187.5,187.5,174.0,-,183.0,187.08,"5,300","9,91,500.00",-,-,-
SHANTIGEAR,EQ,07-02-1996,183.00,180.0,184.0,180.0,-,184.0,182.0,200,"36,400.00",-,-,-
SHANTIGEAR,EQ,08-02-1996,184.00,179.0,180.0,179.0,-,180.0,179.67,300,"53,900.00",-,-,-
SHANTIGEAR,EQ,09-02-1996,180.00,180.0,180.0,180.0,-,180.0,180.0,100,"18,000.00",-,-,-
SHANTIGEAR,EQ,12-02-1996,180.00,185.0,191.0,185.0,-,186.75,187.73,"1,100","2,06,505.00",-,-,-
SHANTIGEAR,EQ,13-02-1996,186.75,190.1,192.5,190.1,-,192.5,191.3,200,"38,260.00",-,-,-
SHANTIGEAR,EQ,14-02-1996,192.50,197.0,203.0,197.0,-,203.0,200.14,700,"1,40,100.00",-,-,-
