SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
SHETHJI,ST,12-11-2025,125.0,100.0,105.0,98.0,101.0,101.7,101.91,"28,91,000","29,46,22,700.00","1,492","28,84,000",99.76
SHETHJI,ST,13-11-2025,101.7,98.5,101.9,96.65,97.3,99.15,99.84,367000,366.41,213, 340000,92.64
SHETHJI,ST,14-11-2025,99.15,98.85,100.9,95.5,100.0,97.75,97.87,254000,248.6,120, 248000,97.64
SHETHJI,ST,17-11-2025,97.75,97.45,102.6,97.45,102.35,102.1,101.09,204000,206.22,124, 198000,97.06
SHETHJI,ST,18-11-2025,102.1,102.9,107.2,102.9,107.2,107.2,106.16,99000,105.1,87, 97000,97.98
SHETHJI,ST,19-11-2025,107.2,110.0,112.55,109.0,112.55,112.55,110.84,161000,178.45,101, 158000,98.14
SHETHJI,ST,20-11-2025,112.55,117.9,118.15,117.0,118.15,118.15,118.1,113000,133.46,74, 109000,96.46
SHETHJI,ST,21-11-2025,118.15,118.15,118.15,112.25,115.8,114.65,114.75,161000,184.75,148, 148000,91.93
SHETHJI,ST,24-11-2025,114.65,113.15,119.5,108.95,116.0,118.0,115.36,108000,124.59,91, 99000,91.67
SHETHJI,ST,25-11-2025,118.0,118.35,118.5,112.25,116.35,114.35,116.31,47000,54.67,45, 44000,93.62
SHETHJI,SM,26-11-2025,114.35,117.5,123.65,116.0,116.0,116.6,119.55,158000,188.89,143, 84000,53.16
SHETHJI,SM,27-11-2025,116.6,117.0,118.6,114.0,117.85,117.25,117.27,108000,126.65,70, 94000,87.04
SHETHJI,SM,28-11-2025,117.25,117.25,117.5,112.6,115.0,115.9,115.75,58000,67.13,48, 44000,75.86
SHETHJI,SM,01-12-2025,115.9,116.25,118.0,113.4,113.9,113.9,115.13,42000,48.36,37, 33000,78.57
SHETHJI,SM,02-12-2025,113.9,113.9,116.0,110.1,112.15,112.3,112.57,43000,48.41,31, 38000,88.37
SHETHJI,SM,03-12-2025,112.3,111.15,111.25,100.0,111.0,110.3,107.37,79000,84.82,69, 40000,50.63
SHETHJI,SM,04-12-2025,110.3,105.05,110.15,105.0,109.5,109.5,107.4,12000,12.89,12, 6000,50.0
SHETHJI,SM,05-12-2025,109.5,102.25,109.9,96.5,101.0,108.6,104.34,155000,161.73,111, 79000,50.97
SHETHJI,SM,08-12-2025,108.6,107.0,107.0,102.0,106.7,106.15,105.37,44000,46.36,42, 35000,79.55
SHETHJI,SM,09-12-2025,106.15,104.0,108.1,103.0,106.0,107.7,106.78,66000,70.48,53, 51000,77.27
SHETHJI,SM,10-12-2025,107.7,103.0,110.4,103.0,108.0,107.9,107.63,25000,26.91,18, 15000,60.0
SHETHJI,SM,11-12-2025,107.9,107.5,109.8,106.0,109.4,108.65,108.27,30000,32.48,29, 21000, 70.00
